"","sampledate","cyano_relabund","CD_cellsmL","Yr","daynum"
"1",2015-06-05,98.53,133463,2015,156
"2",2015-06-11,99.15,112359,2015,162
"3",2015-06-18,99.38,92736,2015,169
"4",2015-06-22,95.94,31178,2015,173
"5",2015-06-26,95.92,152979,2015,177
"6",2015-07-15,96.91,328629,2015,196
"7",2015-08-21,82.03,45394,2015,233
"8",2015-09-02,85.24,35689,2015,245
"9",2015-09-09,84.39,26344,2015,252
"10",2015-09-16,87.04,92197,2015,259
"11",2015-09-23,89.34,49816,2015,266
"12",2015-11-03,90.23,11344,2015,307
"13",2015-11-24,5.26,33,2015,328
"14",2015-12-08,73.23,795,2015,342
"15",2016-05-25,8.71,2378,2016,146
"16",2016-05-31,97.25,168551,2016,152
"17",2016-06-20,98.28,237929,2016,172
"18",2016-07-01,94.8,263967,2016,183
"19",2016-09-28,96.51,63385,2016,272
"20",2017-04-26,43.36,1949,2017,116
"21",2017-05-03,51.92,849,2017,123
"22",2017-05-17,91.2,29017,2017,137
"23",2017-05-31,87.34,54482,2017,151
"24",2017-06-05,92.63,511101,2017,156
"25",2017-07-05,99.5,397925,2017,186
"26",2017-07-12,99.53,1119565,2017,193
"27",2017-07-26,99.01,126719,2017,207
"28",2017-08-09,96.18,49942,2017,221
"29",2017-08-30,99.2,549616,2017,242
