"","SiteID","sampledate","Depth_m","avgtemp_C"
"1","BUO",2015-06-09,0,23.72
"2","BUO",2015-06-09,1.524,23.09
"3","BUO",2015-06-09,3.048,22.75
"4","BUO",2015-06-09,4.572,20.88
"5","BUO",2015-06-09,6.096,18.3
"6","BUO",2015-06-09,7.62,15.01
"7","BUO",2015-06-09,9.144,13.88
"8","BUO",2015-06-09,10.668,13.3
"9","BUO",2015-06-09,12.192,12.97
"10","BUO",2015-06-09,13.716,12.4
"11","BUO",2015-06-09,14.9352,12.05
"12","BUO",2015-06-23,0,27.51
"13","BUO",2015-06-23,1.524,27.26
"14","BUO",2015-06-23,3.048,26.67
"15","BUO",2015-06-23,4.572,23.83
"16","BUO",2015-06-23,6.096,22.33
"17","BUO",2015-06-23,7.62,20.48
"18","BUO",2015-06-23,9.144,18.25
"19","BUO",2015-06-23,10.668,15.45
"20","BUO",2015-06-23,12.192,14.29
"21","BUO",2015-06-23,13.716,13.58
"22","BUO",2015-06-23,15.24,13.07
"23","BUO",2015-06-23,15.8496,12.91
"24","BUO",2015-06-30,0,24.85
"25","BUO",2015-06-30,1.524,24.87
"26","BUO",2015-06-30,3.048,24.55
"27","BUO",2015-06-30,4.572,24.5
"28","BUO",2015-06-30,6.096,23.4
"29","BUO",2015-06-30,7.62,21.89
"30","BUO",2015-06-30,9.144,19.52
"31","BUO",2015-06-30,10.668,17.04
"32","BUO",2015-06-30,12.192,15.34
"33","BUO",2015-06-30,13.716,13.88
"34","BUO",2015-06-30,15.24,13.3
"35","BUO",2015-07-21,0,28.13
"36","BUO",2015-07-21,1.524,26.74
"37","BUO",2015-07-21,3.048,25.52
"38","BUO",2015-07-21,4.572,24.9
"39","BUO",2015-07-21,6.096,24.15
"40","BUO",2015-07-21,7.62,24
"41","BUO",2015-07-21,9.144,23.8
"42","BUO",2015-07-21,10.668,23.76
"43","BUO",2015-07-21,12.192,23.59
"44","BUO",2015-07-21,13.716,23.36
"45","BUO",2015-07-21,15.24,23.21
"46","BUO",2015-07-21,16.764,23.07
"47","BUO",2015-08-12,0,26.62
"48","BUO",2015-08-12,1.524,26.56
"49","BUO",2015-08-12,3.048,26.5
"50","BUO",2015-08-12,4.572,26.28
"51","BUO",2015-08-12,6.096,25.18
"52","BUO",2015-08-12,7.62,24.41
"53","BUO",2015-08-12,9.144,23.84
"54","BUO",2015-08-12,10.668,23.56
"55","BUO",2015-08-12,12.192,23.45
"56","BUO",2015-08-12,13.716,23.33
"57","BUO",2015-08-12,14.9352,23.24
"58","BUO",2015-09-01,0,27.27
"59","BUO",2015-09-01,1.524,26.92
"60","BUO",2015-09-01,3.048,25.79
"61","BUO",2015-09-01,4.572,25.28
"62","BUO",2015-09-01,6.096,25.01
"63","BUO",2015-09-01,7.62,24.87
"64","BUO",2015-09-01,9.144,24.5
"65","BUO",2015-09-01,10.668,23.82
"66","BUO",2015-09-01,12.192,23.32
"67","BUO",2015-09-01,13.716,23.16
"68","BUO",2015-09-01,14.9352,23.04
"69","BUO",2015-09-22,0,23.58
"70","BUO",2015-09-22,1.524,23.44
"71","BUO",2015-09-22,3.048,23.42
"72","BUO",2015-09-22,4.572,23.41
"73","BUO",2015-09-22,6.096,23.4
"74","BUO",2015-09-22,7.62,23.4
"75","BUO",2015-09-22,9.144,23.38
"76","BUO",2015-09-22,10.668,23.36
"77","BUO",2015-09-22,12.192,23.32
"78","BUO",2015-09-22,13.716,23.3
"79","BUO",2015-09-22,14.3256,23.25
"80","BUO",2015-10-13,0,20.63
"81","BUO",2015-10-13,1.524,20.65
"82","BUO",2015-10-13,3.048,20.65
"83","BUO",2015-10-13,4.572,20.65
"84","BUO",2015-10-13,6.096,20.65
"85","BUO",2015-10-13,7.62,20.64
"86","BUO",2015-10-13,10.668,20.61
"87","BUO",2015-10-13,12.192,20.58
"88","BUO",2015-10-13,13.716,20.52
"89","BUO",2015-10-13,14.3256,20.46
"90","BUO",2016-06-01,0,28.203768115942
"91","BUO",2016-06-01,2,23.4498550724638
"92","BUO",2016-06-01,4,18.9078260869565
"93","BUO",2016-06-01,6,17.3066666666667
"94","BUO",2016-06-01,8,16.705
"95","BUO",2016-06-01,10,16.1557971014493
"96","BUO",2016-06-01,12,15.2747826086957
"97","BUO",2016-06-01,14,14.105
"98","BUO",2016-06-01,16,12.529347826087
"99","BUO",2016-06-01,18,12.3440579710145
"100","BUO",2016-06-02,0,27.3858333333333
"101","BUO",2016-06-02,2,23.8267361111111
"102","BUO",2016-06-02,4,19.1279861111111
"103","BUO",2016-06-02,6,17.2845138888889
"104","BUO",2016-06-02,8,16.7155555555556
"105","BUO",2016-06-02,10,16.1877083333333
"106","BUO",2016-06-02,12,15.303125
"107","BUO",2016-06-02,14,14.0128472222222
"108","BUO",2016-06-02,16,12.2483333333333
"109","BUO",2016-06-02,18,12.1204861111111
"110","BUO",2016-06-03,0,27.5973611111111
"111","BUO",2016-06-03,2,23.8832638888889
"112","BUO",2016-06-03,4,19.1330555555556
"113","BUO",2016-06-03,6,17.3065277777778
"114","BUO",2016-06-03,8,16.7159027777778
"115","BUO",2016-06-03,10,16.1516666666667
"116","BUO",2016-06-03,12,15.19375
"117","BUO",2016-06-03,14,13.9266666666667
"118","BUO",2016-06-03,16,12.4119444444444
"119","BUO",2016-06-03,18,12.2159027777778
"120","BUO",2016-06-04,0,27.0202777777778
"121","BUO",2016-06-04,2,25.015
"122","BUO",2016-06-04,4,19.545
"123","BUO",2016-06-04,6,17.3397916666667
"124","BUO",2016-06-04,8,16.7000694444444
"125","BUO",2016-06-04,10,16.1359027777778
"126","BUO",2016-06-04,12,15.1820138888889
"127","BUO",2016-06-04,14,13.8807638888889
"128","BUO",2016-06-04,16,12.3522916666667
"129","BUO",2016-06-04,18,12.2628472222222
"130","BUO",2016-06-05,0,25.7101388888889
"131","BUO",2016-06-05,2,25.3499305555556
"132","BUO",2016-06-05,4,19.3936111111111
"133","BUO",2016-06-05,6,17.32
"134","BUO",2016-06-05,8,16.6520138888889
"135","BUO",2016-06-05,10,16.1061805555556
"136","BUO",2016-06-05,12,15.1108333333333
"137","BUO",2016-06-05,14,13.9146527777778
"138","BUO",2016-06-05,16,12.3688194444444
"139","BUO",2016-06-05,18,12.3136111111111
"140","BUO",2016-06-06,0,24.8873611111111
"141","BUO",2016-06-06,2,24.6726388888889
"142","BUO",2016-06-06,4,20.1765277777778
"143","BUO",2016-06-06,6,17.2325694444444
"144","BUO",2016-06-06,8,16.6376388888889
"145","BUO",2016-06-06,10,16.1402083333333
"146","BUO",2016-06-06,12,15.1406944444444
"147","BUO",2016-06-06,14,13.8681944444444
"148","BUO",2016-06-06,16,12.2102083333333
"149","BUO",2016-06-06,18,12.0927083333333
"150","BUO",2016-06-07,0,24.5360689655172
"151","BUO",2016-06-07,1.524,23.43
"152","BUO",2016-06-07,2,24.10125
"153","BUO",2016-06-07,3.048,22.17
"154","BUO",2016-06-07,4,19.7335416666667
"155","BUO",2016-06-07,4.572,17.47
"156","BUO",2016-06-07,6,17.3430555555556
"157","BUO",2016-06-07,6.096,16.26
"158","BUO",2016-06-07,7.62,15.83
"159","BUO",2016-06-07,8,16.6944444444444
"160","BUO",2016-06-07,9.144,15.55
"161","BUO",2016-06-07,10,16.128125
"162","BUO",2016-06-07,10.668,15.01
"163","BUO",2016-06-07,12,15.0725
"164","BUO",2016-06-07,12.192,14.24
"165","BUO",2016-06-07,13.716,13.32
"166","BUO",2016-06-07,14,13.8885416666667
"167","BUO",2016-06-07,15.24,11.68
"168","BUO",2016-06-07,16,12.3843055555556
"169","BUO",2016-06-07,18,12.293125
"170","BUO",2016-06-08,0,23.8913888888889
"171","BUO",2016-06-08,2,23.5369444444444
"172","BUO",2016-06-08,4,21.5141666666667
