Field Sample Number,Depth_ft,SampleDate,Value,Units,Variable
BUO,0,10/10/2023,19.9,ug/L,Chl-a
BUO,10,10/10/2023,19.3,ug/L,Chl-a
BUO,5,10/10/2023,20.7,ug/L,Chl-a
BUO,0,11/7/2023,25.5,ug/L,Chl-a
BUO,10,11/7/2023,23.9,ug/L,Chl-a
BUO,5,11/7/2023,28.3,ug/L,Chl-a
BUO,0,4/25/2023,5.17,ug/L,Chl-a
BUO,10,4/25/2023,5.21,ug/L,Chl-a
BUO,5,4/25/2023,5.49,ug/L,Chl-a
BUO,0,5/16/2023,40.8,ug/L,Chl-a
BUO,10,5/16/2023,32.8,ug/L,Chl-a
BUO,5,5/16/2023,17.1,ug/L,Chl-a
BUO,0,6/27/2023,32.7,ug/L,Chl-a
BUO,10,6/27/2023,36.4,ug/L,Chl-a
BUO,5,6/27/2023,38.8,ug/L,Chl-a
BUO,0,6/6/2023,43,ug/L,Chl-a
BUO,10,6/6/2023,33.4,ug/L,Chl-a
BUO,5,6/6/2023,27.8,ug/L,Chl-a
BUO,0,7/18/2023,45.2,ug/L,Chl-a
BUO,10,7/18/2023,45.3,ug/L,Chl-a
BUO,5,7/18/2023,47.8,ug/L,Chl-a
BUO,0,8/10/2023,29,ug/L,Chl-a
BUO,10,8/10/2023,31.6,ug/L,Chl-a
BUO,5,8/10/2023,33.3,ug/L,Chl-a
BUO,0,9/19/2023,21.8,ug/L,Chl-a
BUO,10,9/19/2023,24.2,ug/L,Chl-a
BUO,5,9/19/2023,22.1,ug/L,Chl-a
EMB,0,4/4/2023,2.6,ug/L,Chl-a
EMB,5,4/4/2023,2.36,ug/L,Chl-a
EMB,10,4/4/2023,2.34,ug/L,Chl-a
EMB,0,4/25/2023,3.97,ug/L,Chl-a
EMB,5,4/25/2023,4.87,ug/L,Chl-a
EMB,10,4/25/2023,3.29,ug/L,Chl-a
EMB,0,5/16/2023,62.1,ug/L,Chl-a
EMB,5,5/16/2023,63.3,ug/L,Chl-a
EMB,10,5/16/2023,35.1,ug/L,Chl-a
EMB,0,6/6/2023,48.1,ug/L,Chl-a
EMB,5,6/6/2023,46.4,ug/L,Chl-a
EMB,10,6/6/2023,21.3,ug/L,Chl-a
EMB,0,6/27/2023,30.8,ug/L,Chl-a
EMB,5,6/27/2023,34.5,ug/L,Chl-a
EMB,10,6/27/2023,27.8,ug/L,Chl-a
EMB,0,6/12/2023,34.9,ug/L,Chl-a
EMB,0,7/3/2023,51.4,ug/L,Chl-a
EMB,0,7/10/2023,31.2,ug/L,Chl-a
EMB,0,7/18/2023,39.3,ug/L,Chl-a
EMB,5,7/18/2023,39.3,ug/L,Chl-a
EMB,10,7/18/2023,37.9,ug/L,Chl-a
EMB,0,7/25/2023,29.7,ug/L,Chl-a
EMB,0,8/10/2023,34.2,ug/L,Chl-a
EMB,5,8/10/2023,36.2,ug/L,Chl-a
EMB,10,8/10/2023,33.2,ug/L,Chl-a
EMB,0,8/14/2023,39.2,ug/L,Chl-a
EMB,0,8/21/2023,31.8,ug/L,Chl-a
EMB,0,9/11/2023,24.5,ug/L,Chl-a
EMB,0,9/19/2023,22.9,ug/L,Chl-a
EMB,5,9/19/2023,28.5,ug/L,Chl-a
EMB,10,9/19/2023,27,ug/L,Chl-a
EMB,0,10/2/2023,14.5,ug/L,Chl-a
EMB,0,10/10/2023,29.6,ug/L,Chl-a
EMB,5,10/10/2023,32.1,ug/L,Chl-a
EMB,10,10/10/2023,30.1,ug/L,Chl-a
EMB,0,10/17/2023,32.8,ug/L,Chl-a
EMB,0,10/23/2023,26.9,ug/L,Chl-a
EMB,0,11/7/2023,17,ug/L,Chl-a
EMB,5,11/7/2023,20.6,ug/L,Chl-a
EMB,10,11/7/2023,24.2,ug/L,Chl-a
EMB,0,11/1/2023,16,ug/L,Chl-a
EMB,0,11/13/2023,24.7,ug/L,Chl-a
EMB,0,11/28/2023,14.9,ug/L,Chl-a
ENN,0,4/4/2023,6.66,ug/L,Chl-a
ENN,5,4/4/2023,6.5,ug/L,Chl-a
ENN,10,4/4/2023,5.45,ug/L,Chl-a
ENN,0,4/25/2023,10.9,ug/L,Chl-a
ENN,5,4/25/2023,8.67,ug/L,Chl-a
ENN,10,4/25/2023,9.44,ug/L,Chl-a
ENN,0,5/16/2023,64.5,ug/L,Chl-a
ENN,5,5/16/2023,51.3,ug/L,Chl-a
ENN,10,5/16/2023,38,ug/L,Chl-a
ENN,0,6/6/2023,33.3,ug/L,Chl-a
ENN,5,6/6/2023,43,ug/L,Chl-a
ENN,10,6/6/2023,32.5,ug/L,Chl-a
ENN,0,6/27/2023,56.2,ug/L,Chl-a
ENN,5,6/27/2023,66.6,ug/L,Chl-a
ENN,10,6/27/2023,56.5,ug/L,Chl-a
ENN,0,7/18/2023,64.1,ug/L,Chl-a
ENN,5,7/18/2023,57.1,ug/L,Chl-a
ENN,10,7/18/2023,44.9,ug/L,Chl-a
ENN,0,8/10/2023,54.6,ug/L,Chl-a
ENN,5,8/10/2023,67.7,ug/L,Chl-a
ENN,10,8/10/2023,56.6,ug/L,Chl-a
ENN,0,9/19/2023,57.1,ug/L,Chl-a
ENN,5,9/19/2023,45,ug/L,Chl-a
ENN,0,10/10/2023,49.1,ug/L,Chl-a
ENN,5,10/10/2023,47.7,ug/L,Chl-a
ENN,10,10/10/2023,48.5,ug/L,Chl-a
ENN,0,11/7/2023,40.5,ug/L,Chl-a
ENN,5,11/7/2023,30.7,ug/L,Chl-a
ENN,10,11/7/2023,29.7,ug/L,Chl-a
EFL,0,6/12/2014,38,ug/L,Chl-a
EFL,0,5/14/2015,13.89,ug/L,Chl-a
EFL,5,5/14/2015,13.93,ug/L,Chl-a
EFL,10,5/14/2015,13.01,ug/L,Chl-a
EFL,20,5/14/2015,3.65,ug/L,Chl-a
EFL,0,5/26/2015,6.29,ug/L,Chl-a
EFL,5,5/26/2015,18.3,ug/L,Chl-a
EFL,10,5/26/2015,2.43,ug/L,Chl-a
EFL,20,5/26/2015,1.49,ug/L,Chl-a
EFL,0,6/9/2015,11.73,ug/L,Chl-a
EFL,5,6/9/2015,11.87,ug/L,Chl-a
EFL,10,6/9/2015,7.45,ug/L,Chl-a
EFL,20,6/9/2015,6.88,ug/L,Chl-a
