"","sampledate","cyano_relabund","CD_cellsmL","Yr","daynum"
"1",2010-03-29,97.42,35,2010,88
"2",2010-04-19,4.52,79,2010,109
"3",2010-04-26,65.37,51,2010,116
"4",2010-05-03,13.8,249,2010,123
"5",2010-05-17,87.15,21,2010,137
"6",2010-05-24,85.18,176,2010,144
"7",2010-12-27,43.86,16,2010,361
"8",2011-05-26,82.71,2322,2011,146
"9",2013-05-22,0,0,2013,142
"10",2013-06-20,100,255875,2013,171
"11",2013-08-20,100,561960,2013,232
"12",2013-09-03,100,477282,2013,246
"13",2013-09-24,100,451755,2013,267
"14",2013-10-12,99.99,80650,2013,285
"15",2013-11-04,100,8160,2013,308
"16",2013-11-20,100,5170,2013,324
"17",2013-12-04,100,3017,2013,338
"18",2013-12-18,100,2534,2013,352
"19",2014-06-27,96.72,371209,2014,178
"20",2015-06-11,98.62,73973,2015,162
"21",2015-07-15,87.17,13835,2015,196
"22",2015-11-24,20.83,66,2015,328
"23",2015-12-08,59.15,364,2015,342
"24",2016-05-25,44.82,29139,2016,146
"25",2017-04-26,14.71,157,2017,116
"26",2017-05-17,94.1,57669,2017,137
"27",2017-05-31,92.65,44400,2017,151
