"","sampledate","cyano_relabund","CD_cellsmL"
"1",2015-06-05,98.53,133463
"2",2015-06-11,99.15,112359
"3",2015-06-18,99.38,92736
"4",2015-06-22,95.94,31178
"5",2015-06-26,95.92,152979
"6",2015-07-15,96.91,328629
"7",2015-08-21,82.03,45394
"8",2015-09-02,85.24,35689
"9",2015-09-09,84.39,26344
"10",2015-09-16,87.04,92197
"11",2015-09-23,89.34,49816
"12",2015-11-03,90.23,11344
"13",2015-11-24,5.26,33
"14",2015-12-08,73.23,795
"15",2016-05-25,8.71,2378
"16",2016-05-31,97.25,168551
"17",2016-06-20,98.28,237929
"18",2016-07-01,94.8,263967
"19",2016-09-28,96.51,63385
"20",2017-04-26,43.36,1949
"21",2017-05-03,51.92,849
"22",2017-05-17,91.2,29017
"23",2017-05-31,87.34,54482
"24",2017-06-05,92.63,511101
"25",2017-07-05,99.5,397925
"26",2017-07-12,99.53,1119565
"27",2017-07-26,99.01,126719
"28",2017-08-09,96.18,49942
"29",2017-08-30,99.2,549616
