"","SiteID","sampledate","Depth_m","avgtemp_C"
"1","EMB",2013-06-03,0,25.54
"2","EMB",2013-06-10,0,23.89
"3","EMB",2013-06-24,0,28.89
"4","EMB",2013-07-01,0,27.15
"5","EMB",2013-07-15,0,30.8
"6","EMB",2013-07-22,0,28.78
"7","EMB",2013-08-05,0,27
"8","EMB",2013-08-12,0,27.94
"9","EMB",2013-08-26,0,28.02
"10","EMB",2013-09-03,0,28.27
"11","EMB",2013-09-16,0,24.45
"12","EMB",2013-09-23,0,24.02
"13","EMB",2014-06-02,0,25.16
"14","EMB",2014-06-18,0,27.02
"15","EMB",2014-07-07,0,26.27
"16","EMB",2014-07-16,0,27.32
"17","EMB",2014-07-28,0,25.11
"18","EMB",2014-08-04,0,26.06
"19","EMB",2014-08-18,0,26.69
"20","EMB",2014-08-25,0,29.22
"21","EMB",2014-09-08,0,27.99
"22","EMB",2014-09-15,0,24.06
"23","EMB",2014-09-29,0,25.37
"24","EMB",2014-10-06,0,19.63
"25","EMB",2015-06-02,0,21.72
"26","EMB",2015-06-09,0,23.45
"27","EMB",2015-06-09,1.524,22.88
"28","EMB",2015-06-09,3.048,22.61
"29","EMB",2015-06-09,4.572,20.8
"30","EMB",2015-06-09,6.096,18.43
"31","EMB",2015-06-09,7.62,15.46
"32","EMB",2015-06-09,9.144,14.08
"33","EMB",2015-06-09,10.668,13.56
"34","EMB",2015-06-09,12.192,13.11
"35","EMB",2015-06-09,13.716,12.55
"36","EMB",2015-06-09,15.24,12.11
"37","EMB",2015-06-09,16.764,11.63
"38","EMB",2015-06-09,18.288,11.08
"39","EMB",2015-06-09,19.812,10.56
"40","EMB",2015-06-09,21.336,9.84
"41","EMB",2015-06-16,0,27.45
"42","EMB",2015-06-23,0,27.01
"43","EMB",2015-06-23,1.524,26.86
"44","EMB",2015-06-23,3.048,26.34
"45","EMB",2015-06-23,4.572,25.53
"46","EMB",2015-06-23,6.096,21.9
"47","EMB",2015-06-23,7.62,20.93
"48","EMB",2015-06-23,9.144,18.82
"49","EMB",2015-06-23,10.668,15.88
"50","EMB",2015-06-23,12.192,14.09
"51","EMB",2015-06-23,13.716,13.54
"52","EMB",2015-06-23,15.24,13.05
"53","EMB",2015-06-23,16.764,12.67
"54","EMB",2015-06-23,18.288,12.32
"55","EMB",2015-06-23,19.812,11.91
"56","EMB",2015-06-23,21.336,11.4
"57","EMB",2015-06-23,21.9456,11.02
"58","EMB",2015-06-30,0,24.8
"59","EMB",2015-06-30,1.524,24.75
"60","EMB",2015-06-30,3.048,24.44
"61","EMB",2015-06-30,4.572,24.33
"62","EMB",2015-06-30,6.096,23.64
"63","EMB",2015-06-30,7.62,21.59
"64","EMB",2015-06-30,9.144,19.32
"65","EMB",2015-06-30,10.668,18.23
"66","EMB",2015-06-30,12.192,14.53
"67","EMB",2015-06-30,13.716,13.94
"68","EMB",2015-06-30,15.24,13.5
"69","EMB",2015-06-30,16.764,13.2
"70","EMB",2015-06-30,18.288,12.8
"71","EMB",2015-06-30,19.812,12.42
"72","EMB",2015-06-30,21.336,11.87
"73","EMB",2015-07-08,0,25.3
"74","EMB",2015-07-14,0,25.87
"75","EMB",2015-07-21,0,28.16
"76","EMB",2015-07-21,1.524,27.13
"77","EMB",2015-07-21,3.048,25.85
"78","EMB",2015-07-21,4.572,24.86
"79","EMB",2015-07-21,6.096,24.09
"80","EMB",2015-07-21,7.62,24.02
"81","EMB",2015-07-21,9.144,23.96
"82","EMB",2015-07-21,10.668,23.69
"83","EMB",2015-07-21,12.192,23.43
"84","EMB",2015-07-21,13.716,23.31
"85","EMB",2015-07-21,15.24,23.27
"86","EMB",2015-07-21,16.764,23.06
"87","EMB",2015-07-21,18.288,22.88
"88","EMB",2015-07-21,19.812,22.6
"89","EMB",2015-07-21,21.336,22.41
"90","EMB",2015-07-21,23.1648,22.16
"91","EMB",2015-08-03,0,27.23
"92","EMB",2015-08-12,0,26.92
"93","EMB",2015-08-12,1.524,26.77
"94","EMB",2015-08-12,3.048,26.69
"95","EMB",2015-08-12,4.572,26.59
"96","EMB",2015-08-12,6.096,25.64
"97","EMB",2015-08-12,7.62,24.43
"98","EMB",2015-08-12,9.144,23.85
"99","EMB",2015-08-12,10.668,23.66
"100","EMB",2015-08-12,12.192,23.53
"101","EMB",2015-08-12,13.716,23.44
"102","EMB",2015-08-12,15.24,23.3
"103","EMB",2015-08-12,16.764,23.14
"104","EMB",2015-08-12,18.288,22.93
"105","EMB",2015-08-12,19.812,22.76
"106","EMB",2015-08-12,21.6408,22.4
"107","EMB",2015-08-17,0,27.74
"108","EMB",2015-08-24,0,27.02
"109","EMB",2015-09-01,0,27.27
"110","EMB",2015-09-01,1.524,26.51
"111","EMB",2015-09-01,3.048,25.79
"112","EMB",2015-09-01,4.572,25.55
"113","EMB",2015-09-01,6.096,25.07
"114","EMB",2015-09-01,7.62,24.86
"115","EMB",2015-09-01,9.144,24.36
"116","EMB",2015-09-01,10.668,23.69
"117","EMB",2015-09-01,12.192,23.37
"118","EMB",2015-09-01,13.716,23.26
"119","EMB",2015-09-01,15.24,23.15
"120","EMB",2015-09-01,16.764,23.06
"121","EMB",2015-09-01,18.288,22.9
"122","EMB",2015-09-01,19.812,22.78
"123","EMB",2015-09-01,21.0312,22.42
"124","EMB",2015-09-08,0,28.71
"125","EMB",2015-09-22,0,24
"126","EMB",2015-09-22,1.524,23.66
"127","EMB",2015-09-22,3.048,23.6
"128","EMB",2015-09-22,4.572,23.59
"129","EMB",2015-09-22,6.096,23.59
"130","EMB",2015-09-22,7.62,23.58
"131","EMB",2015-09-22,9.144,23.57
"132","EMB",2015-09-22,10.668,23.56
"133","EMB",2015-09-22,12.192,23.48
"134","EMB",2015-09-22,13.716,23.39
"135","EMB",2015-09-22,15.24,23.06
"136","EMB",2015-09-22,16.764,22.9
"137","EMB",2015-09-22,18.288,22.7
"138","EMB",2015-09-22,20.4216,22.4
"139","EMB",2015-09-29,0,23.72
"140","EMB",2015-10-06,0,22.94
"141","EMB",2015-10-13,0,20.54
"142","EMB",2015-10-13,1.524,20.56
"143","EMB",2015-10-13,3.048,20.55
"144","EMB",2015-10-13,4.572,20.55
"145","EMB",2015-10-13,6.096,20.55
"146","EMB",2015-10-13,7.62,20.55
"147","EMB",2015-10-13,10.668,20.54
"148","EMB",2015-10-13,12.192,20.55
"149","EMB",2015-10-13,13.716,20.53
"150","EMB",2015-10-13,15.24,20.51
"151","EMB",2015-10-13,16.764,20.47
"152","EMB",2015-10-13,18.288,20.43
"153","EMB",2015-10-13,19.812,20.36
"154","EMB",2016-05-31,0,26.05
"155","EMB",2016-06-07,0,23.2
"156","EMB",2016-06-07,1.524,23.19
"157","EMB",2016-06-07,3.048,23.04
"158","EMB",2016-06-07,4.572,19.48
"159","EMB",2016-06-07,6.096,17.17
"160","EMB",2016-06-07,7.62,16.06
"161","EMB",2016-06-07,9.144,15.46
