"","sampledate","cyano_relabund","CD_cellsmL","Yr","daynum"
"1",2010-05-13,33.6,314,2010,133
"2",2012-05-24,79.28,52908,2012,145
"3",2013-05-22,0,0,2013,142
"4",2013-06-20,100,10096714,2013,171
"5",2013-07-17,99.99,200817,2013,198
"6",2013-08-05,99.98,889359,2013,217
"7",2013-09-24,99.98,488197,2013,267
"8",2013-11-04,100,16366,2013,308
"9",2013-11-20,100,100,2013,324
"10",2013-12-18,100,2000,2013,352
"11",2014-06-27,99.2,556435,2014,178
"12",2015-06-05,94.29,73067,2015,156
"13",2015-06-11,98.17,149412,2015,162
"14",2015-06-18,96.82,44753,2015,169
"15",2015-06-22,93.81,52035,2015,173
"16",2015-06-26,96.12,132161,2015,177
"17",2015-07-15,96.38,240500,2015,196
"18",2015-08-21,69.37,40816,2015,233
"19",2015-08-28,94.04,64030,2015,240
"20",2015-09-02,90.15,69130,2015,245
"21",2015-09-09,80.28,30497,2015,252
"22",2015-09-16,81.59,77763,2015,259
"23",2015-09-23,85.23,61922,2015,266
"24",2015-11-03,83.34,5142,2015,307
"25",2015-12-08,22.81,265,2015,342
"26",2016-05-31,6.73,1203,2016,152
"27",2016-06-20,93.69,171888,2016,172
"28",2016-07-01,91.91,148471,2016,183
"29",2016-09-28,96.61,108520,2016,272
"30",2017-02-08,10.14,195,2017,39
"31",2017-05-17,87.82,18816,2017,137
"32",2017-05-31,73,11129,2017,151
"33",2017-06-05,93.95,169653,2017,156
"34",2017-06-19,98.73,127530,2017,170
"35",2017-07-05,98.39,356368,2017,186
"36",2017-07-12,99.86,1571728,2017,193
"37",2017-07-26,97.37,45296,2017,207
"38",2017-08-09,95.5,69993,2017,221
"39",2017-08-30,97.65,433012,2017,242
