"","SiteID","sampledate","Depth_m","avgtemp_C"
"1","ENN",2015-06-09,0,25.45
"2","ENN",2015-06-09,1.524,23.49
"3","ENN",2015-06-09,3.048,23.33
"4","ENN",2015-06-09,4.572,21.84
"5","ENN",2015-06-09,6.096,17.62
"6","ENN",2015-06-09,7.62,15.24
"7","ENN",2015-06-09,8.2296,14.72
"8","ENN",2015-06-23,0,27.4
"9","ENN",2015-06-23,1.524,27.23
"10","ENN",2015-06-23,3.048,26.77
"11","ENN",2015-06-23,4.572,24.74
"12","ENN",2015-06-23,6.096,22.45
"13","ENN",2015-06-23,7.62,21.42
"14","ENN",2015-06-23,8.8392,19.56
"15","ENN",2015-06-30,0,25.09
"16","ENN",2015-06-30,1.524,25.07
"17","ENN",2015-06-30,3.048,25.04
"18","ENN",2015-06-30,4.572,24.96
"19","ENN",2015-06-30,6.096,23.26
"20","ENN",2015-06-30,7.62,22.48
"21","ENN",2015-06-30,8.8392,21.24
"22","ENN",2015-07-21,0,27.66
"23","ENN",2015-07-21,1.524,25.84
"24","ENN",2015-07-21,3.048,24.99
"25","ENN",2015-07-21,4.572,24.57
"26","ENN",2015-07-21,6.096,24.23
"27","ENN",2015-07-21,7.62,24.03
"28","ENN",2015-07-21,9.144,23.86
"29","ENN",2015-07-21,10.668,23.61
"30","ENN",2015-08-12,0,27.24
"31","ENN",2015-08-12,1.524,26.99
"32","ENN",2015-08-12,3.048,26.76
"33","ENN",2015-08-12,4.572,26.5
"34","ENN",2015-08-12,6.096,25.67
"35","ENN",2015-08-12,7.62,24.96
"36","ENN",2015-08-12,8.5344,24.14
"37","ENN",2015-09-01,0,28.64
"38","ENN",2015-09-01,1.524,26.3
"39","ENN",2015-09-01,3.048,25.6
"40","ENN",2015-09-01,4.572,25.36
"41","ENN",2015-09-01,6.096,25.08
"42","ENN",2015-09-01,7.62,24.94
"43","ENN",2015-09-01,8.5344,24.57
"44","ENN",2015-09-22,0,24.2
"45","ENN",2015-09-22,1.524,23.64
"46","ENN",2015-09-22,3.048,23.51
"47","ENN",2015-09-22,4.572,23.46
"48","ENN",2015-09-22,6.096,23.41
"49","ENN",2015-09-22,7.9248,23.29
"50","ENN",2015-10-13,0,20.65
"51","ENN",2015-10-13,1.524,20.66
"52","ENN",2015-10-13,3.048,20.66
"53","ENN",2015-10-13,4.572,20.66
"54","ENN",2015-10-13,6.096,20.66
"55","ENN",2015-10-13,7.9248,20.66
"56","ENN",2016-06-07,0,24
"57","ENN",2016-06-07,1.524,24
"58","ENN",2016-06-07,3.048,22.04
"59","ENN",2016-06-07,4.572,20.14
"60","ENN",2016-06-07,6.096,16.34
"61","ENN",2016-06-07,8.2296,15.67
"62","ENN",2016-06-16,0,26.26
"63","ENN",2016-06-16,1.524,26.22
"64","ENN",2016-06-16,3.048,26.15
"65","ENN",2016-06-16,4.572,21.06
"66","ENN",2016-06-16,6.096,15.75
"67","ENN",2016-06-16,7.62,15.11
"68","ENN",2016-06-16,8.5344,14.77
"69","ENN",2016-06-21,0,27.63
"70","ENN",2016-06-21,1.524,27.65
"71","ENN",2016-06-21,3.048,27.45
"72","ENN",2016-06-21,4.572,23.8
"73","ENN",2016-06-21,6.096,18.95
"74","ENN",2016-06-21,7.62,16.8
"75","ENN",2016-06-21,8.2296,16.63
"76","ENN",2016-06-28,0,29.5
"77","ENN",2016-06-28,1.524,28.09
"78","ENN",2016-06-28,3.048,26.3
"79","ENN",2016-06-28,4.572,24.69
"80","ENN",2016-06-28,6.096,19.76
"81","ENN",2016-06-28,8.2296,16.92
"82","ENN",2016-08-04,0,32.06
"83","ENN",2016-08-04,1.524,29.37
"84","ENN",2016-08-04,3.048,27.95
"85","ENN",2016-08-04,4.572,26.92
"86","ENN",2016-08-04,6.096,25.04
"87","ENN",2016-08-04,7.62,23.56
"88","ENN",2016-08-04,8.2296,22.02
"89","ENN",2016-08-30,0,29.68
"90","ENN",2016-08-30,1.524,28.42
"91","ENN",2016-08-30,3.048,27.93
"92","ENN",2016-08-30,4.572,27.16
"93","ENN",2016-08-30,6.096,26.17
"94","ENN",2016-08-30,8.2296,24.9
"95","ENN",2016-09-20,0,28
"96","ENN",2016-09-20,1.524,26.14
"97","ENN",2016-09-20,3.048,25.96
"98","ENN",2016-09-20,4.572,25.92
"99","ENN",2016-09-20,6.096,25.87
"100","ENN",2016-09-20,7.9248,25.76
"101","ENN",2016-10-11,0,21.98
"102","ENN",2016-10-11,1.524,21.84
"103","ENN",2016-10-11,3.048,21.76
"104","ENN",2016-10-11,4.572,21.69
"105","ENN",2016-10-11,6.096,21.59
"106","ENN",2016-10-11,7.62,21.62
"107","ENN",2017-06-06,0,25.6
"108","ENN",2017-06-06,1.524,24.74
"109","ENN",2017-06-06,3.048,22.38
"110","ENN",2017-06-06,4.572,21.43
"111","ENN",2017-06-06,6.096,19.56
"112","ENN",2017-06-06,7.9248,18.29
