"","sampledate","epi_TP_ugL","epi_TN_ugL","hypo_TP_ugL","hypo_TN_ugL","HE_ratio_TotP_ugL","Yr","daynum","daynum_bin"
"1",2015-05-26,86.5,925.5,193,1210,2.23121387283237,2015,146,152
"2",2015-06-09,77,1370,217,1220,2.81818181818182,2015,160,159
"3",2015-06-23,57.5,1127.5,189,1140,3.28695652173913,2015,174,173
"4",2015-06-30,127.333333333333,1716.66666666667,224,1110,1.75916230366492,2015,181,180
"5",2015-07-21,99,1295,230.5,1560,2.58461712305548,2015,202,201
"6",2015-08-12,69.5,871.5,237,985,3.41007194244604,2015,224,222
"7",2015-09-01,79,901,333,1190,4.21518987341772,2015,244,243
"8",2015-09-22,104.5,677,102,675,0.976076555023923,2015,265,257
"9",2017-06-06,147.5,1065,277,1210,1.87796610169492,2017,157,159
"10",2017-06-20,128,1485,268,1210,2.09375,2017,171,173
"11",2017-07-20,104.5,1415,326,2010,3.11961722488038,2017,201,201
"12",2017-08-03,100,1335,266,1550,2.66,2017,215,215
"13",2017-09-12,95,842,249,1440,2.62105263157895,2017,255,257
"14",2018-05-29,70.6666666666667,714.333333333333,159,1000,2.25,2018,149,152
"15",2018-06-14,99.5,992,155,920,1.55778894472362,2018,165,166
"16",2018-06-20,95,1070,169,947,1.77894736842105,2018,171,173
"17",2018-07-12,95,1365,196,831,2.06315789473684,2018,193,194
"18",2018-08-02,74.5,997,317,955.5,4.25503355704698,2018,214,215
"19",2018-09-06,61,792.5,370,1080,6.0655737704918,2018,249,250
"20",2019-06-06,98.5,788.5,203,1044,2.06091370558376,2019,157,159
"21",2019-07-02,93.3333333333333,1187.66666666667,217,2187,2.325,2019,183,180
"22",2019-07-18,86,1047.5,239,1482,2.77906976744186,2019,199,201
"23",2019-07-30,53,1029,210,1554,3.9622641509434,2019,211,208
"24",2019-08-13,40.5,885.5,204,1422.5,5.03703703703704,2019,225,222
"25",2019-08-14,43.75,742,232.5,1291,5.29511426319937,2019,226,229
"26",2019-09-05,47,653.5,261,1120,5.5531914893617,2019,248,250
