Site_ID,sampledate,Q_cfs,SRP_mgL,SRP_lbday
USGS_5427910,7/26/2012,24.3,0.12,15.7
USGS_5427910,7/27/2012,15.1,0.0907,7.4
USGS_5427910,7/28/2012,12.5,0.0897,6.08
USGS_5427910,7/29/2012,12.2,0.0895,5.9
USGS_5427910,7/30/2012,11.1,0.0893,5.37
USGS_5427910,7/31/2012,11.4,0.0891,5.5
USGS_5427910,8/1/2012,11.9,0.0888,5.72
USGS_5427910,8/2/2012,11.1,0.0886,5.33
USGS_5427910,8/3/2012,11.5,0.0884,5.49
USGS_5427910,8/4/2012,11,0.0882,5.17
USGS_5427910,8/5/2012,10.3,0.088,4.88
USGS_5427910,8/6/2012,10,0.0877,4.76
USGS_5427910,8/7/2012,10.3,0.0875,4.88
USGS_5427910,8/8/2012,10.2,0.0873,4.81
USGS_5427910,8/9/2012,9.8,0.0871,4.61
USGS_5427910,8/10/2012,10.9,0.0869,5.1
USGS_5427910,8/11/2012,10.4,0.0866,4.87
USGS_5427910,8/12/2012,10.1,0.0864,4.72
USGS_5427910,8/13/2012,9.93,0.0862,4.62
USGS_5427910,8/14/2012,10.2,0.086,4.72
USGS_5427910,8/15/2012,10.5,0.0859,4.86
USGS_5427910,8/16/2012,11.9,0.0859,5.51
USGS_5427910,8/17/2012,11.1,0.0858,5.14
USGS_5427910,8/18/2012,10.9,0.0858,5.07
USGS_5427910,8/19/2012,10.7,0.0857,4.97
USGS_5427910,8/20/2012,10.5,0.0856,4.88
USGS_5427910,8/21/2012,9.73,0.0856,4.5
USGS_5427910,8/22/2012,9.73,0.0855,4.49
USGS_5427910,8/23/2012,10.2,0.0855,4.73
USGS_5427910,8/24/2012,9.98,0.0854,4.6
USGS_5427910,8/25/2012,9.96,0.0854,4.59
USGS_5427910,8/26/2012,9.49,0.0853,4.37
USGS_5427910,8/27/2012,10.3,0.0852,4.74
USGS_5427910,8/28/2012,10,0.0852,4.62
USGS_5427910,8/29/2012,10.6,0.0851,4.87
USGS_5427910,8/30/2012,11.2,0.0851,5.14
USGS_5427910,8/31/2012,9.78,0.085,4.49
USGS_5427910,9/1/2012,9.11,0.085,4.18
USGS_5427910,9/2/2012,9.59,0.0849,4.4
USGS_5427910,9/3/2012,10.2,0.0848,4.66
USGS_5427910,9/4/2012,10.3,0.0848,4.73
USGS_5427910,9/5/2012,10.3,0.0847,4.72
USGS_5427910,9/6/2012,9.54,0.0847,4.36
USGS_5427910,9/7/2012,8.66,0.0846,3.96
USGS_5427910,9/8/2012,8.77,0.0846,4.01
USGS_5427910,9/9/2012,11,0.0845,5.02
USGS_5427910,9/10/2012,10.9,0.0844,4.98
USGS_5427910,9/11/2012,11.3,0.0844,5.17
USGS_5427910,9/12/2012,10.1,0.0843,4.61
USGS_5427910,9/13/2012,8.23,0.0843,3.74
USGS_5427910,9/14/2012,8.54,0.0842,3.88
USGS_5427910,9/15/2012,8.46,0.0842,3.84
USGS_5427910,9/16/2012,8.72,0.0841,3.96
USGS_5427910,9/17/2012,7.59,0.084,3.44
USGS_5427910,9/18/2012,7.46,0.084,3.38
USGS_5427910,9/19/2012,10.2,0.084,4.64
USGS_5427910,9/20/2012,8.44,0.084,3.83
USGS_5427910,9/21/2012,8.34,0.084,3.78
USGS_5427910,9/22/2012,8.78,0.084,3.98
USGS_5427910,9/23/2012,8.42,0.084,3.82
USGS_5427910,9/24/2012,9.21,0.084,4.18
USGS_5427910,9/25/2012,8.64,0.084,3.92
USGS_5427910,9/26/2012,8.38,0.084,3.8
USGS_5427910,9/27/2012,7.83,0.084,3.55
USGS_5427910,9/28/2012,8.44,0.084,3.83
USGS_5427910,9/29/2012,8.13,0.084,3.69
USGS_5427910,9/30/2012,8.8,0.084,3.98
USGS_5427910,10/1/2012,8.2,0.084,3.71
USGS_5427910,10/2/2012,8.3,0.084,3.76
USGS_5427910,10/3/2012,9.06,0.084,4.11
USGS_5427910,10/4/2012,9.06,0.084,4.11
USGS_5427910,10/5/2012,9.35,0.084,4.24
USGS_5427910,10/6/2012,9.13,0.084,4.14
USGS_5427910,10/7/2012,8.76,0.084,3.97
USGS_5427910,10/8/2012,11,0.084,4.99
USGS_5427910,10/9/2012,10.6,0.084,4.82
USGS_5427910,10/10/2012,9.22,0.084,4.18
USGS_5427910,10/11/2012,9.55,0.084,4.33
USGS_5427910,10/12/2012,8.98,0.084,4.07
USGS_5427910,10/13/2012,12.1,0.084,5.47
USGS_5427910,10/14/2012,30.9,0.112,21.2
USGS_5427910,10/15/2012,29.4,0.168,27
USGS_5427910,10/16/2012,16.9,0.141,12.9
USGS_5427910,10/17/2012,15.5,0.128,10.7
USGS_5427910,10/18/2012,22.8,0.113,14
USGS_5427910,10/19/2012,20,0.106,11.4
USGS_5427910,10/20/2012,17.1,0.103,9.46
USGS_5427910,10/21/2012,15.2,0.102,8.38
USGS_5427910,10/22/2012,16.6,0.104,9.43
USGS_5427910,10/23/2012,18.9,0.107,10.9
USGS_5427910,10/24/2012,17.7,0.0965,9.23
USGS_5427910,10/25/2012,18.4,0.0927,9.22
USGS_5427910,10/26/2012,20,0.0894,9.66
USGS_5427910,10/27/2012,17.1,0.0863,7.96
USGS_5427910,10/28/2012,16.2,0.0833,7.3
USGS_5427910,10/29/2012,15.6,0.0803,6.75
USGS_5427910,10/30/2012,13.9,0.0775,5.84
USGS_5427910,10/31/2012,13.4,0.0748,5.42
USGS_5427910,11/1/2012,13.5,0.0721,5.27
USGS_5427910,11/2/2012,13,0.0696,4.88
USGS_5427910,11/3/2012,12.7,0.0671,4.6
USGS_5427910,11/4/2012,12.4,0.0648,4.35
USGS_5427910,11/5/2012,12.4,0.0625,4.18
USGS_5427910,11/6/2012,13.3,0.0603,4.32
USGS_5427910,11/7/2012,12.5,0.0582,3.92
USGS_5427910,11/8/2012,13.4,0.0561,4.05
USGS_5427910,11/9/2012,11.9,0.0541,3.49
USGS_5427910,11/10/2012,13.1,0.0522,3.7
USGS_5427910,11/11/2012,18.4,0.0529,5.35
USGS_5427910,11/12/2012,23.6,0.0644,8.31
USGS_5427910,11/13/2012,16,0.0556,4.83
USGS_5427910,11/14/2012,14.8,0.0499,4
USGS_5427910,11/15/2012,14.3,0.0454,3.51
USGS_5427910,11/16/2012,13.6,0.0444,3.27
USGS_5427910,11/17/2012,12.5,0.0439,2.97
USGS_5427910,11/18/2012,12.4,0.0434,2.9
USGS_5427910,11/19/2012,12.8,0.0428,2.95
USGS_5427910,11/20/2012,13,0.0423,2.97
USGS_5427910,11/21/2012,12.7,0.0418,2.87
USGS_5427910,11/22/2012,14.3,0.0413,3.19
USGS_5427910,11/23/2012,11.1,0.0408,2.45
USGS_5427910,11/24/2012,11.8,0.0403,2.57
USGS_5427910,11/25/2012,12.2,0.0398,2.63
USGS_5427910,11/26/2012,11.4,0.0393,2.42
USGS_5427910,11/27/2012,11.2,0.0389,2.35
USGS_5427910,11/28/2012,11.8,0.0384,2.45
USGS_5427910,11/29/2012,11.4,0.0379,2.33
USGS_5427910,11/30/2012,11.2,0.0375,2.26
USGS_5427910,12/1/2012,10.9,0.037,2.18
USGS_5427910,12/2/2012,11.7,0.0366,2.32
USGS_5427910,12/3/2012,11.4,0.0361,2.22
USGS_5427910,12/4/2012,12.1,0.0357,2.34
USGS_5427910,12/5/2012,10.1,0.0353,1.92
USGS_5427910,12/6/2012,10.1,0.0348,1.91
USGS_5427910,12/7/2012,10.9,0.0344,2.03
