"","sampledate","relbiovol","cellsmL","daynum","MoYr","Yr","Mo"
"1",1995-01-24,3.221,1615.1007,24,"01/01/1995",1995,1
"2",1995-03-28,0.194,35.072,87,"03/01/1995",1995,3
"3",1995-04-11,0.071,35.072,101,"04/01/1995",1995,4
"4",1995-04-24,0.096,101.86,114,"04/01/1995",1995,4
"5",1995-05-23,98.152,22636.8534,143,"05/01/1995",1995,5
"6",1995-06-06,34.571,1679.6974,157,"06/01/1995",1995,6
"7",1995-06-20,71.197,13735.6517,171,"06/01/1995",1995,6
"8",1995-07-06,99.763,104182.5091,187,"07/01/1995",1995,7
"9",1995-07-18,99.229,49437.962,199,"07/01/1995",1995,7
"10",1995-08-02,97.87,264472.3888,214,"08/01/1995",1995,8
"11",1995-08-14,99.575,1093399.6866,226,"08/01/1995",1995,8
"12",1995-08-30,95.731,471682.2763,242,"08/01/1995",1995,8
"13",1995-09-05,0.05,920.311,248,"09/01/1995",1995,9
"14",1995-09-11,85.091,258765.652,254,"09/01/1995",1995,9
"15",1995-09-25,94.569,123190.9099,268,"09/01/1995",1995,9
"16",1995-10-11,89.825,170667.1722,284,"10/01/1995",1995,10
"17",1995-11-07,22.183,31216.4968,311,"11/01/1995",1995,11
"18",1995-12-06,54.843,47453.9507,340,"12/01/1995",1995,12
"19",1996-02-06,58.537,19209.7756,37,"02/01/1996",1996,2
"20",1996-04-09,3.98,20232.346,100,"04/01/1996",1996,4
"21",1996-04-16,2.362,26486.162,107,"04/01/1996",1996,4
"22",1996-05-01,23.226,16967.1523,122,"05/01/1996",1996,5
"23",1996-05-14,41.837,2810.938,135,"05/01/1996",1996,5
"24",1996-05-28,52.269,7946.5958,149,"05/01/1996",1996,5
"25",1996-06-10,38.879,6013.9397,162,"06/01/1996",1996,6
"26",1996-06-26,22.553,5039.1138,178,"06/01/1996",1996,6
"27",1996-07-08,84.225,341070.5879,190,"07/01/1996",1996,7
"28",1996-07-22,99.508,216109.723,204,"07/01/1996",1996,7
"29",1996-08-05,96.622,97589.7806,218,"08/01/1996",1996,8
"30",1996-08-19,93.827,97987.6382,232,"08/01/1996",1996,8
"31",1996-09-05,95.995,106038.4922,249,"09/01/1996",1996,9
"32",1996-09-17,85.679,132349.3313,261,"09/01/1996",1996,9
"33",1996-10-16,85.18,21913.7735,290,"10/01/1996",1996,10
"34",1996-11-25,4.155,17023.5081,330,"11/01/1996",1996,11
"35",1997-02-17,15.846,4137.634,48,"02/01/1997",1997,2
"36",1997-04-09,0.306,13202.281,99,"04/01/1997",1997,4
"37",1997-05-13,2.943,5794.7976,133,"05/01/1997",1997,5
"38",1997-05-28,4.307,5187.884,148,"05/01/1997",1997,5
"39",1997-07-09,72.787,203194.4241,190,"07/01/1997",1997,7
"40",1997-07-23,57.956,371703.4433,204,"07/01/1997",1997,7
"41",1997-08-06,94.759,68954.3062,218,"08/01/1997",1997,8
"42",1997-08-18,93.615,293552.1864,230,"08/01/1997",1997,8
"43",1997-09-02,96.769,147181.395,245,"09/01/1997",1997,9
"44",1997-09-30,59.481,221687.8828,273,"09/01/1997",1997,9
"45",1997-10-30,22.192,29036.7939,303,"10/01/1997",1997,10
"46",1997-11-30,54.927,21348.6891,334,"11/01/1997",1997,11
"47",1998-02-06,1.846,1936.232,37,"02/01/1998",1998,2
"48",1998-03-13,0.096,5949.334,72,"03/01/1998",1998,3
"49",1998-03-26,0.616,14804.521,85,"03/01/1998",1998,3
"50",1998-04-10,0.914,4624.2252,100,"04/01/1998",1998,4
"51",1998-04-24,0.163,8176.151,114,"04/01/1998",1998,4
"52",1998-07-06,99.433,306062.1357,187,"07/01/1998",1998,7
"53",1998-07-23,95.066,565643.8773,204,"07/01/1998",1998,7
"54",1998-08-02,95.476,533251.9981,214,"08/01/1998",1998,8
"55",1998-08-18,97.752,955672.6989,230,"08/01/1998",1998,8
"56",1998-09-02,97.377,523884.0608,245,"09/01/1998",1998,9
"57",1998-09-28,95.354,471842.2271,271,"09/01/1998",1998,9
"58",1998-10-27,10.942,107540.4222,300,"10/01/1998",1998,10
"59",1998-11-23,16.698,14874.233,327,"11/01/1998",1998,11
"60",1999-01-25,50.871,26254.6137,25,"01/01/1999",1999,1
"61",1999-02-22,7.571,8212.18,53,"02/01/1999",1999,2
"62",1999-03-29,0.529,8436.132,88,"03/01/1999",1999,3
"63",1999-04-12,1.829,6521.8179,102,"04/01/1999",1999,4
"64",1999-04-26,88.148,5331.8145,116,"04/01/1999",1999,4
"65",1999-05-10,33.765,11034.065,130,"05/01/1999",1999,5
"66",1999-05-26,39.496,8540.083,146,"05/01/1999",1999,5
"67",1999-06-07,66.979,41903.6365,158,"06/01/1999",1999,6
"68",1999-06-21,98.411,1285412.6827,172,"06/01/1999",1999,6
"69",1999-07-06,98.461,657624.5529,187,"07/01/1999",1999,7
"70",1999-07-19,99.68,197940.5156,200,"07/01/1999",1999,7
"71",1999-08-02,71.079,268867.9488,214,"08/01/1999",1999,8
"72",1999-08-16,94.928,175593.6414,228,"08/01/1999",1999,8
"73",1999-08-30,64.242,553413.1197,242,"08/01/1999",1999,8
"74",1999-09-27,69.439,88925.5785,270,"09/01/1999",1999,9
"75",1999-10-26,77.434,122659.5264,299,"10/01/1999",1999,10
"76",1999-11-22,52.938,53463.4188,326,"11/01/1999",1999,11
"77",2000-01-24,7.562,8191.8989,24,"01/01/2000",2000,1
"78",2000-02-28,4.176,14327.421,59,"02/01/2000",2000,2
"79",2000-03-13,14.232,17956.36,73,"03/01/2000",2000,3
"80",2000-03-29,1.264,22398.12,89,"03/01/2000",2000,3
"81",2000-04-10,5.939,17085.4399,101,"04/01/2000",2000,4
"82",2000-04-25,7.11,12623.0703,116,"04/01/2000",2000,4
"83",2000-05-10,47.692,24999.2698,131,"05/01/2000",2000,5
"84",2000-05-22,74.674,20843.8927,143,"05/01/2000",2000,5
"85",2000-06-06,75.234,53383.6154,158,"06/01/2000",2000,6
"86",2000-06-19,99.015,183742.7345,171,"06/01/2000",2000,6
"87",2000-07-03,94.648,84208.6204,185,"07/01/2000",2000,7
"88",2000-07-17,97.289,207800.6269,199,"07/01/2000",2000,7
"89",2000-07-31,42.617,5820.3603,213,"07/01/2000",2000,7
"90",2000-08-16,98.967,212319.2137,229,"08/01/2000",2000,8
"91",2000-08-28,98.778,346235.0471,241,"08/01/2000",2000,8
"92",2000-09-25,76.604,131904.2921,269,"09/01/2000",2000,9
"93",2000-10-24,57.937,26825.3443,298,"10/01/2000",2000,10
"94",2001-01-17,35.391,6574.273,17,"01/01/2001",2001,1
"95",2001-03-07,1.918,18017.893,66,"03/01/2001",2001,3
"96",2001-04-10,0.414,15448.195,100,"04/01/2001",2001,4
"97",2001-04-23,4.599,18408.734,113,"04/01/2001",2001,4
"98",2001-05-07,7.685,3220.978,127,"05/01/2001",2001,5
"99",2001-05-21,35.167,7516.3956,141,"05/01/2001",2001,5
"100",2001-06-04,53.805,7332.1164,155,"06/01/2001",2001,6
"101",2001-06-18,53.43,1011.1062,169,"06/01/2001",2001,6
"102",2001-07-02,99.771,129369.2666,183,"07/01/2001",2001,7
"103",2001-07-16,98.742,78217.5676,197,"07/01/2001",2001,7
"104",2001-07-30,95.459,411855.7019,211,"07/01/2001",2001,7
"105",2001-08-13,96.655,426205.5732,225,"08/01/2001",2001,8
"106",2001-08-27,86.241,386585.8388,239,"08/01/2001",2001,8
"107",2001-09-26,77.712,269347.477,269,"09/01/2001",2001,9
"108",2001-10-22,32.482,16978.2204,295,"10/01/2001",2001,10
"109",2001-11-26,3.468,14184.1505,330,"11/01/2001",2001,11
"110",2001-11-28,60.176,13449.2672,332,"11/01/2001",2001,11
"111",2002-03-28,5.881,34080.8865,87,"03/01/2002",2002,3
"112",2002-04-08,2.167,26091.0614,98,"04/01/2002",2002,4
"113",2002-04-24,8.421,14580.0095,114,"04/01/2002",2002,4
"114",2002-05-06,41.789,5919.6456,126,"05/01/2002",2002,5
"115",2002-05-20,32.136,4938.7777,140,"05/01/2002",2002,5
"116",2002-06-03,45.032,5286.0734,154,"06/01/2002",2002,6
"117",2002-06-19,21.626,20924.6395,170,"06/01/2002",2002,6
"118",2002-07-01,85.334,113895.0414,182,"07/01/2002",2002,7
"119",2002-07-15,92.295,1000789.0516,196,"07/01/2002",2002,7
"120",2002-07-26,98.535,925569.0158,207,"07/01/2002",2002,7
"121",2002-08-12,98.869,1412804.3391,224,"08/01/2002",2002,8
"122",2002-08-26,98.057,1341690.3253,238,"08/01/2002",2002,8
"123",2003-01-21,0.52,11100.9966,21,"01/01/2003",2003,1
"124",2003-04-03,14.848,7767.202,93,"04/01/2003",2003,4
"125",2003-04-14,2.812,13534.3816,104,"04/01/2003",2003,4
"126",2003-04-28,47.099,5946.2138,118,"04/01/2003",2003,4
"127",2003-05-03,3.367,4341.7731,123,"05/01/2003",2003,5
"128",2003-05-27,31.677,7979.4124,147,"05/01/2003",2003,5
"129",2003-08-04,93.482,194784.6519,216,"08/01/2003",2003,8
"130",2003-08-18,89.19,255302.3304,230,"08/01/2003",2003,8
"131",2003-09-02,95.973,287790.714,245,"09/01/2003",2003,9
"132",2003-09-29,71.726,134953.1966,272,"09/01/2003",2003,9
"133",2003-10-27,36.148,44224.9508,300,"10/01/2003",2003,10
"134",2003-11-25,86.558,22005.2722,329,"11/01/2003",2003,11
"135",2004-02-05,10.619,4862.338,36,"02/01/2004",2004,2
"136",2004-03-29,0.96,22186.0898,89,"03/01/2004",2004,3
"137",2004-04-12,0.655,15298.4394,103,"04/01/2004",2004,4
"138",2004-04-26,23.909,8940.6686,117,"04/01/2004",2004,4
"139",2004-05-10,35.049,7543.3085,131,"05/01/2004",2004,5
"140",2004-05-24,80.43,17247.9499,145,"05/01/2004",2004,5
"141",2004-06-07,82.554,14323.6668,159,"06/01/2004",2004,6
"142",2004-06-21,96.956,129759.4191,173,"06/01/2004",2004,6
"143",2004-07-07,93.637,135543.4321,189,"07/01/2004",2004,7
"144",2004-07-19,99.106,110940.1388,201,"07/01/2004",2004,7
"145",2004-08-03,98.266,111644.2325,216,"08/01/2004",2004,8
"146",2004-08-16,98.515,117041.8059,229,"08/01/2004",2004,8
"147",2004-09-07,87.215,79042.9628,251,"09/01/2004",2004,9
"148",2004-10-05,98.454,83526.7801,279,"10/01/2004",2004,10
"149",2004-11-03,94.372,24076.6033,308,"11/01/2004",2004,11
"150",2005-01-31,5.756,5319.6199,31,"01/01/2005",2005,1
"151",2005-04-15,0.726,26311.4541,105,"04/01/2005",2005,4
"152",2005-04-25,0.913,18811.2057,115,"04/01/2005",2005,4
"153",2005-05-09,0.554,3312.4083,129,"05/01/2005",2005,5
"154",2005-05-23,0.338,4197.3085,143,"05/01/2005",2005,5
"155",2005-06-06,0.953,3686.6416,157,"06/01/2005",2005,6
"156",2005-06-20,97.086,52516.7549,171,"06/01/2005",2005,6
"157",2005-07-05,99.761,163171.9644,186,"07/01/2005",2005,7
"158",2005-07-18,99.712,165964.8813,199,"07/01/2005",2005,7
"159",2005-08-01,99.215,329959.1035,213,"08/01/2005",2005,8
"160",2005-08-15,4.388,21407.9702,227,"08/01/2005",2005,8
"161",2005-08-29,96.064,673412.9581,241,"08/01/2005",2005,8
"162",2005-09-26,83.961,253776.664,269,"09/01/2005",2005,9
"163",2005-11-02,99.015,97813.7169,306,"11/01/2005",2005,11
"164",2005-11-30,99.156,79441.3836,334,"11/01/2005",2005,11
"165",2006-03-06,26.125,13407.3465,65,"03/01/2006",2006,3
"166",2006-04-04,26.191,16236.0408,94,"04/01/2006",2006,4
"167",2006-04-17,11.518,18874.0744,107,"04/01/2006",2006,4
"168",2006-05-02,78.356,8359.5548,122,"05/01/2006",2006,5
"169",2006-05-15,10.147,5744.1527,135,"05/01/2006",2006,5
"170",2006-05-30,22.753,16400.0337,150,"05/01/2006",2006,5
"171",2006-06-12,82.189,176471.0536,163,"06/01/2006",2006,6
"172",2006-06-26,94.239,126126.4498,177,"06/01/2006",2006,6
"173",2006-07-10,74.829,62644.999,191,"07/01/2006",2006,7
"174",2006-07-24,98.055,89989.3787,205,"07/01/2006",2006,7
"175",2006-08-07,90.297,147864.7071,219,"08/01/2006",2006,8
"176",2006-08-21,81.955,148736.4014,233,"08/01/2006",2006,8
"177",2006-09-06,84.131,470827.6718,249,"09/01/2006",2006,9
"178",2006-10-02,98.993,133581.3912,275,"10/01/2006",2006,10
"179",2006-10-30,97.814,87926.1198,303,"10/01/2006",2006,10
"180",2006-11-27,91.357,21669.1098,331,"11/01/2006",2006,11
"181",2007-01-03,67.211,15688.1778,3,"01/01/2007",2007,1
"182",2007-02-19,3.943,15133.5798,50,"02/01/2007",2007,2
"183",2007-04-02,1.471,17425.3725,92,"04/01/2007",2007,4
"184",2007-04-16,0.91,15391.1131,106,"04/01/2007",2007,4
"185",2007-04-30,2.362,14401.1059,120,"04/01/2007",2007,4
"186",2007-05-14,50.031,8682.2595,134,"05/01/2007",2007,5
"187",2007-05-29,33.184,925.1928,149,"05/01/2007",2007,5
"188",2007-06-11,83.138,14810.8267,162,"06/01/2007",2007,6
"189",2007-06-25,98.869,111206.44,176,"06/01/2007",2007,6
"190",2007-07-09,98.196,159571.1584,190,"07/01/2007",2007,7
"191",2007-07-23,98.545,276016.7709,204,"07/01/2007",2007,7
"192",2007-08-06,94.736,590153.9862,218,"08/01/2007",2007,8
"193",2007-08-20,89.975,161270.5125,232,"08/01/2007",2007,8
"194",2007-09-04,97.135,321019.6985,247,"09/01/2007",2007,9
"195",2007-10-01,93.97,180892.623,274,"10/01/2007",2007,10
"196",2007-10-29,92.405,59771.3155,302,"10/01/2007",2007,10
"197",2007-11-26,73.917,18402.695,330,"11/01/2007",2007,11
"198",2008-02-13,40.541,42595.083,44,"02/01/2008",2008,2
"199",2008-04-14,0.127,20910.8117,105,"04/01/2008",2008,4
"200",2008-04-28,0.91,8856.5403,119,"04/01/2008",2008,4
"201",2008-05-12,1.532,6553.7603,133,"05/01/2008",2008,5
"202",2008-05-28,41.219,10491.8974,149,"05/01/2008",2008,5
"203",2008-06-09,72.822,10709.241,161,"06/01/2008",2008,6
"204",2008-06-23,96.926,63462.8404,175,"06/01/2008",2008,6
"205",2008-07-07,99.54,201387.0848,189,"07/01/2008",2008,7
"206",2008-07-21,99.371,186337.7945,203,"07/01/2008",2008,7
"207",2008-08-04,99.51,318742.4136,217,"08/01/2008",2008,8
"208",2008-08-18,99.396,432751.2649,231,"08/01/2008",2008,8
"209",2008-09-05,96.348,321933.0861,249,"09/01/2008",2008,9
"210",2008-09-29,98.394,363512.2128,273,"09/01/2008",2008,9
"211",2008-10-29,88.913,80383.944,303,"10/01/2008",2008,10
"212",2009-01-02,47.916,8856.1438,2,"01/01/2009",2009,1
"213",2009-04-15,2.483,9791.8595,105,"04/01/2009",2009,4
"214",2009-04-27,0.495,3996.2479,117,"04/01/2009",2009,4
"215",2009-05-11,1.371,16539.3788,131,"05/01/2009",2009,5
"216",2009-05-28,8.541,23967.4357,148,"05/01/2009",2009,5
"217",2009-06-09,5.348,3422.8239,160,"06/01/2009",2009,6
"218",2009-06-23,81.304,60512.8825,174,"06/01/2009",2009,6
"219",2009-07-06,99.028,160954.9087,187,"07/01/2009",2009,7
"220",2009-07-20,99.305,163052.6775,201,"07/01/2009",2009,7
"221",2009-08-05,97.419,264968.393,217,"08/01/2009",2009,8
"222",2009-08-19,94.886,393116.2844,231,"08/01/2009",2009,8
"223",2009-09-02,70.684,214766.2494,245,"09/01/2009",2009,9
