"","date","Vol_epi_m3"
"1",2012-07-14,0
"2",2012-07-28,53524546.1911367
"3",2012-08-11,-42136159.3893742
"4",2012-08-25,13015515.1884279
"5",2012-09-08,-70926751.9611571
"6",2013-07-15,0
"7",2013-07-29,64628033.5348969
"8",2013-08-12,-47891561.8907155
"9",2013-08-26,2333393.33717058
"10",2013-09-09,-15122197.6527209
"11",2014-07-15,0
"12",2014-07-29,101241712.831802
"13",2014-08-12,16617819.5957944
"14",2014-08-26,-68006073.6402127
"15",2014-09-09,33125635.825185
"16",2015-07-15,4416757.5727725
"17",2015-07-29,66509217.6274622
"18",2015-08-12,-3879869.52926837
"19",2015-08-26,-23445820.2280939
"20",2015-09-09,-11722910.1140469
"21",2016-07-14,0
"22",2016-07-28,6854791.77960412
"23",2016-08-11,14442787.3061943
"24",2016-08-25,-23861190.3468339
"25",2016-09-08,-11930595.173417
"26",2017-07-15,0
"27",2017-07-29,124111120.648982
"28",2017-08-12,-59055387.5665647
"29",2017-08-26,-42361408.7218517
"30",2017-09-09,39427558.4240595
"31",2018-07-15,0
"32",2018-07-29,48036819.0755215
"33",2018-08-12,-30783863.6483178
"34",2018-08-26,24880447.8318678
"35",2018-09-09,33656214.0216479
