"","sampledate","daynum","Yr","extTotP_kgday"
"1",2012-07-26,208,2012,94.8903929285216
"2",2012-07-27,209,2012,59.0439593311667
"3",2012-07-28,210,2012,35.9352352589715
"4",2012-07-29,211,2012,39.4754441399234
"5",2012-07-30,212,2012,38.708962840306
"6",2012-07-31,213,2012,36.9117115705358
"7",2012-08-01,214,2012,30.3013153332748
"8",2012-08-02,215,2012,33.0524380102337
"9",2012-08-03,216,2012,28.8682350579221
"10",2012-08-04,217,2012,32.7147944225026
"11",2012-08-05,218,2012,30.3637029508958
"12",2012-08-06,219,2012,26.7358262876366
"13",2012-08-07,220,2012,27.099484934036
"14",2012-08-08,221,2012,31.3355829811511
"15",2012-08-09,222,2012,44.1824642350356
"16",2012-08-10,223,2012,27.9482011910054
"17",2012-08-11,224,2012,27.4285490348212
"18",2012-08-12,225,2012,26.2795668403835
"19",2012-08-13,226,2012,27.3280722644162
"20",2012-08-14,227,2012,24.315480312731
"21",2012-08-15,228,2012,30.4679871638952
"22",2012-08-16,229,2012,52.3965854444076
"23",2012-08-17,230,2012,30.8964687396467
"24",2012-08-18,231,2012,25.1143354070684
"25",2012-08-19,232,2012,20.7094026170405
"26",2012-08-20,233,2012,22.5867805927843
"27",2012-08-21,234,2012,20.9585127043413
"28",2012-08-22,235,2012,20.8991343718055
"29",2012-08-23,236,2012,21.0066367999728
"30",2012-08-24,237,2012,20.1305678541797
"31",2012-08-25,238,2012,19.21804496711
"32",2012-08-26,239,2012,25.6464841275837
"33",2012-08-27,240,2012,20.6991025436999
"34",2012-08-28,241,2012,19.5168938883808
"35",2012-08-29,242,2012,18.6922519120933
"36",2012-08-30,243,2012,16.5898625954631
"37",2012-08-31,244,2012,23.3558853565229
"38",2012-09-01,245,2012,19.0845354654011
"39",2012-09-02,246,2012,16.310855383169
"40",2012-09-03,247,2012,18.3250812559083
"41",2012-09-04,248,2012,27.3360553621243
"42",2012-09-05,249,2012,22.6871359565373
"43",2012-09-06,250,2012,18.4984588457498
"44",2012-09-07,251,2012,18.9704604565259
"45",2012-09-08,252,2012,29.8915540353731
"46",2012-09-09,253,2012,19.7528658773825
"47",2012-09-10,254,2012,14.4778582459995
"48",2012-09-11,255,2012,16.5479527958612
"49",2013-07-14,195,2013,61.512715005366
"50",2013-07-15,196,2013,55.8019482141998
"51",2013-07-16,197,2013,53.5288370168797
"52",2013-07-17,198,2013,53.6312995041725
"53",2013-07-18,199,2013,42.8901579398947
"54",2013-07-19,200,2013,55.1506704177014
"55",2013-07-20,201,2013,51.3630569876001
"56",2013-07-21,202,2013,112.246627541634
"57",2013-07-22,203,2013,69.3765720958228
"58",2013-07-23,204,2013,75.8063543113774
"59",2013-07-24,205,2013,51.158107547282
"60",2013-07-25,206,2013,43.5111622079248
"61",2013-07-26,207,2013,61.0439541327757
"62",2013-07-27,208,2013,44.4799278212197
"63",2013-07-28,209,2013,43.866949951608
"64",2013-07-29,210,2013,39.9952256878864
"65",2013-07-30,211,2013,36.964826675577
"66",2013-07-31,212,2013,37.0103084721093
"67",2013-08-01,213,2013,34.9356632960212
"68",2013-08-02,214,2013,38.0285581283801
"69",2013-08-03,215,2013,30.8292858384752
"70",2013-08-04,216,2013,28.2610200454768
"71",2013-08-05,217,2013,31.1116622587238
"72",2013-08-06,218,2013,28.1220302197102
"73",2013-08-07,219,2013,29.8046609655469
"74",2013-08-08,220,2013,26.2392697828383
"75",2013-08-09,221,2013,26.5110351383418
"76",2013-08-10,222,2013,25.4594734940407
"77",2013-08-11,223,2013,28.160525156275
"78",2013-08-12,224,2013,25.5048748302591
"79",2013-08-13,225,2013,23.6624409834998
"80",2013-08-14,226,2013,23.0026980435909
"81",2013-08-15,227,2013,23.410028022325
"82",2013-08-16,228,2013,23.2526155000609
"83",2013-08-17,229,2013,21.9400534225124
"84",2013-08-18,230,2013,22.8542889108502
"85",2013-08-19,231,2013,23.5408707592023
"86",2013-08-20,232,2013,20.9346341495185
"87",2013-08-21,233,2013,41.8408542596584
"88",2013-08-22,234,2013,89.4284479620983
"89",2013-08-23,235,2013,55.1988679105302
"90",2013-08-24,236,2013,31.68835110025
"91",2013-08-25,237,2013,24.9574121994524
"92",2013-08-26,238,2013,24.3084341817996
"93",2013-08-27,239,2013,23.1850656129034
"94",2013-08-28,240,2013,23.2884088665627
"95",2013-08-29,241,2013,20.4207314404483
"96",2013-08-30,242,2013,24.1382750129549
"97",2013-08-31,243,2013,20.2686279821151
"98",2013-09-01,244,2013,21.3537321455371
"99",2013-09-02,245,2013,22.0206924765041
"100",2013-09-03,246,2013,20.9176304655002
"101",2013-09-04,247,2013,21.1916955998494
"102",2013-09-05,248,2013,19.5102636749003
"103",2013-09-06,249,2013,19.4657360419315
"104",2013-09-07,250,2013,22.1752425080774
"105",2013-09-08,251,2013,19.2305224906342
"106",2013-09-09,252,2013,18.3690840528165
"107",2013-09-10,253,2013,23.0139002784769
"108",2013-09-11,254,2013,30.0930813437084
"109",2013-09-12,255,2013,21.3112840998225
"110",2014-07-14,195,2014,44.4777433079193
"111",2014-07-15,196,2014,48.9125614510793
"112",2014-07-16,197,2014,39.4931154618332
"113",2014-07-17,198,2014,37.8876985674521
"114",2014-07-18,199,2014,39.0332330899031
"115",2014-07-19,200,2014,37.6361419069113
"116",2014-07-20,201,2014,34.9924727266549
"117",2014-07-21,202,2014,34.6740267537314
"118",2014-07-22,203,2014,38.4298102659799
"119",2014-07-23,204,2014,31.7761096823702
"120",2014-07-24,205,2014,31.3173771998629
"121",2014-07-25,206,2014,32.3444218259266
"122",2014-07-26,207,2014,37.0032134097132
"123",2014-07-27,208,2014,36.3490084266347
"124",2014-07-28,209,2014,30.075790212008
