"","Yr","daynum","Depth_m","sampledate","Vol_epi_m3","date","TotP_mgL","daynum.y","Ent_TotP_kgday","Sed_TotP_kgday","Int_TotP_kgday"
"1",2012,196,14,2012-07-14,0,2012-07-10,0.192,192,0,33552,33552
"2",2012,210,16,2012-07-28,53524546.1911367,2012-07-23,0.2105,205,804779.783802448,33552,838331.783802448
"3",2012,224,14,2012-08-11,-42136159.3893742,2012-08-06,0.229,219,-689227.178583335,33552,-655675.178583335
"4",2012,238,15,2012-08-25,13015515.1884279,2012-08-20,0.163,233,151537.783979553,33552,185089.783979553
"5",2012,252,12,2012-09-08,-70926751.9611571,2012-09-04,0.097,248,-491421.067159446,33552,-457869.067159446
"6",2013,196,10,2013-07-15,0,2013-07-08,0.14,189,0,33552,33552
"7",2013,210,12,2013-07-29,64628033.5348969,2013-07-22,0.1,203,461628.810963549,33552,495180.810963549
"8",2013,224,10,2013-08-12,-47891561.8907155,2013-08-05,0.06,217,-205249.550960209,33552,-171697.550960209
"9",2013,238,10,2013-08-26,2333393.33717058,2013-08-21,0.045,233,7500.19286947686,33552,41052.1928694769
"10",2013,252,10,2013-09-09,-15122197.6527209,2013-09-04,0.03,247,-32404.7092558305,33552,1147.2907441695
"11",2014,196,9,2014-07-15,0,NA,0.08,NA,0,33552,33552
"12",2014,210,13,2014-07-29,101241712.831802,2014-08-04,0.13,216,940101.619152447,33552,973653.619152447
"13",2014,224,NA,2014-08-12,16617819.5957944,NA,0.126666666666667,NA,150351.701104807,33552,183903.701104807
"14",2014,238,11,2014-08-26,-68006073.6402127,2014-08-20,0.123333333333333,232,-599101.124925683,33552,-565549.124925683
"15",2014,252,12,2014-09-09,33125635.825185,2014-09-02,0.12,245,283934.021358729,33552,317486.021358729
"16",2015,196,10,2015-07-15,4416757.5727725,2015-07-08,0.105,189,33125.6817957937,33552,66677.6817957937
"17",2015,210,13,2015-07-29,66509217.6274622,2015-08-03,0.161625,215,767825.164217041,33552,801377.164217041
"18",2015,224,13,2015-08-12,-3879869.52926837,2015-08-18,0.1423125,230,-39439.5665988575,33552,-5887.5665988575
"19",2015,238,12,2015-08-26,-23445820.2280939,2015-08-31,0.123,243,-205988.277718254,33552,-172436.277718254
"20",2015,252,NA,2015-09-09,-11722910.1140469,NA,0.1005,NA,-84153.7476044081,33552,-50601.7476044081
"21",2016,196,10,2016-07-14,0,2016-07-18,0.078,200,0,33552,33552
"22",2016,210,11,2016-07-28,6854791.77960412,2016-08-01,0.0555,214,27174.3531262878,33552,60726.3531262878
"23",2016,224,11,2016-08-11,14442787.3061943,2016-08-15,0.07475,228,77114.1679384303,33552,110666.16793843
"24",2016,238,10,2016-08-25,-23861190.3468339,2016-08-30,0.094,243,-160210.849471599,33552,-126658.849471599
"25",2016,252,NA,2016-09-08,-11930595.173417,NA,0.121125,NA,-103220.952884295,33552,-69668.9528842953
"26",2017,196,11,2017-07-15,0,2017-07-10,0.14825,191,0,33552,33552
"27",2017,210,16,2017-07-29,124111120.648982,2017-07-24,0.155375,205,1377411.81220254,33552,1410963.81220254
"28",2017,224,13,2017-08-12,-59055387.5665647,2017-08-07,0.1625,219,-685464.319969055,33552,-651912.319969055
"29",2017,238,12,2017-08-26,-42361408.7218517,2017-08-23,0.1415,235,-428152.809581573,33552,-394600.809581573
"30",2017,252,13,2017-09-09,39427558.4240595,2017-09-06,0.1205,249,339358.627864226,33552,372910.627864226
"31",2018,196,9,2018-07-15,0,2018-07-09,0.0735,190,0,33552,33552
"32",2018,210,10,2018-07-29,48036819.0755215,2018-07-23,0.062,204,212734.48447731,33552,246286.48447731
"33",2018,224,9,2018-08-12,-30783863.6483178,2018-08-06,0.0505,218,-111041.793874289,33552,-77489.7938742892
"34",2018,238,10,2018-08-26,24880447.8318678,2018-08-22,0.09925,234,176384.603379491,33552,209936.603379491
"35",2018,252,12,2018-09-09,33656214.0216479,2018-09-04,0.148,247,355794.262514563,33552,389346.262514563
