"","sampledate","TotP_lbday_sum"
"1",2008-10-02,0.065
"2",2008-10-03,0.061
"3",2008-10-04,0.058
"4",2008-10-05,0.056
"5",2008-10-06,0.059
"6",2008-10-07,0.063
"7",2008-10-08,0.068
"8",2008-10-11,0.055
"9",2008-10-12,0.061
"10",2008-10-13,0.067
"11",2008-10-15,0.067
"12",2008-10-16,0.062
"13",2008-10-18,0.058
"14",2008-10-19,0.06
"15",2008-10-21,0.061
"16",2008-10-23,0.055
"17",2008-10-24,0.049
"18",2008-10-28,0.058
"19",2008-10-29,0.058
"20",2008-10-30,0.058
"21",2008-10-31,0.057
"22",2008-11-01,0.057
"23",2008-11-02,0.056
"24",2008-11-03,0.056
"25",2008-11-04,0.055
"26",2008-11-06,0.055
"27",2008-11-07,0.055
"28",2008-11-08,0.055
"29",2008-11-10,0.052
"30",2008-11-11,0.049
"31",2008-11-12,0.047
"32",2008-11-13,0.045
"33",2008-11-15,0.044
"34",2008-11-16,0.047
"35",2008-11-17,0.051
"36",2008-11-18,0.054
"37",2008-11-19,0.058
"38",2008-11-20,0.061
"39",2008-11-21,0.065
"40",2008-11-22,0.07
"41",2008-11-23,0.074
"42",2008-11-25,0.068
"43",2008-11-26,0.06
"44",2008-11-27,0.052
"45",2008-11-28,0.046
"46",2008-11-29,0.04
"47",2008-11-30,0.035
"48",2008-12-02,0.032
"49",2008-12-03,0.033
"50",2008-12-04,0.035
"51",2008-12-05,0.036
"52",2008-12-06,0.037
"53",2008-12-07,0.038
"54",2008-12-08,0.04
"55",2008-12-09,0.041
"56",2008-12-10,0.043
"57",2008-12-11,0.044
"58",2008-12-12,0.046
"59",2008-12-13,0.047
"60",2008-12-14,0.049
"61",2008-12-15,0.051
"62",2008-12-16,0.052
"63",2008-12-17,0.054
"64",2008-12-18,0.056
"65",2008-12-19,0.058
"66",2008-12-20,0.06
"67",2008-12-21,0.062
"68",2008-12-22,0.065
"69",2008-12-23,0.067
"70",2008-12-24,0.069
"71",2008-12-25,0.071
"72",2008-12-26,0.073
"73",2008-12-27,0.1
"74",2008-12-28,0.153
"75",2008-12-29,0.233
"76",2008-12-31,0.219
"77",2009-01-01,0.153
"78",2009-01-02,0.143
"79",2009-01-03,0.136
"80",2009-01-04,0.131
"81",2009-01-05,0.125
"82",2009-01-06,0.119
"83",2009-01-07,0.114
"84",2009-01-08,0.109
"85",2009-01-09,0.105
"86",2009-01-10,0.1
"87",2009-01-11,0.097
"88",2009-01-12,0.093
"89",2009-01-13,0.09
"90",2009-01-14,0.087
"91",2009-01-15,0.084
"92",2009-01-16,0.081
"93",2009-01-17,0.078
"94",2009-01-18,0.075
"95",2009-01-19,0.073
"96",2009-01-20,0.07
"97",2009-01-21,0.068
"98",2009-01-22,0.065
"99",2009-01-23,0.063
"100",2009-01-24,0.061
"101",2009-01-25,0.059
"102",2009-01-26,0.057
"103",2009-01-27,0.055
"104",2009-01-28,0.053
"105",2009-01-29,0.051
"106",2009-01-30,0.049
"107",2009-01-31,0.047
"108",2009-02-01,0.046
"109",2009-02-02,0.044
"110",2009-02-03,0.043
"111",2009-02-04,0.042
"112",2009-02-06,0.069
"113",2009-02-07,0.091
"114",2009-02-08,0.124
"115",2009-02-09,0.197
