"","sampledate","CyanoDens_cellsmL","Chla_ugL","extTotP_kgday","Epi_TotP_mgL","Hypo_TotP_mgL","HE_ratio_TotP_mgL","Yr","MoYr","daynum","Mo"
"1",2012-07-26,669295.347714286,3.66428571428571,94.8903929285216,0.018,0.475777777777778,26.4320987654321,2012,"07/01/2012",208,7
"2",2012-07-27,672014.302085714,3.58571428571429,59.0439593311667,0.018,0.478888888888889,26.6049382716049,2012,"07/01/2012",209,7
"3",2012-07-28,674733.256457143,3.50714285714286,35.9352352589715,0.018,0.482,26.7777777777778,2012,"07/01/2012",210,7
"4",2012-07-29,677452.210828571,3.42857142857143,39.4754441399234,0.018,0.485111111111111,26.9506172839506,2012,"07/01/2012",211,7
"5",2012-07-30,680171.1652,3.35,38.708962840306,0.018,0.488222222222222,27.1234567901235,2012,"07/01/2012",212,7
"6",2012-07-31,682890.119571429,3.27142857142857,36.9117115705358,0.018,0.491333333333333,27.2962962962963,2012,"07/01/2012",213,7
"7",2012-08-01,685609.073942857,3.19285714285714,30.3013153332748,0.018,0.494444444444444,27.4691358024691,2012,"08/01/2012",214,8
"8",2012-08-02,688328.028314286,3.11428571428571,33.0524380102337,0.018,0.497555555555556,27.641975308642,2012,"08/01/2012",215,8
"9",2012-08-03,691046.982685714,3.03571428571429,28.8682350579221,0.018,0.500666666666667,27.8148148148148,2012,"08/01/2012",216,8
"10",2012-08-04,693765.937057143,2.95714285714286,32.7147944225026,0.018,0.503777777777778,27.9876543209877,2012,"08/01/2012",217,8
"11",2012-08-05,696484.891428571,2.87857142857143,30.3637029508958,0.018,0.506888888888889,28.1604938271605,2012,"08/01/2012",218,8
"12",2012-08-06,699203.8458,2.8,26.7358262876366,0.018,0.51,28.3333333333333,2012,"08/01/2012",219,8
"13",2012-08-07,704833.325892857,2.89285714285714,27.099484934036,0.0179285714285714,0.5135,28.6414342629482,2012,"08/01/2012",220,8
"14",2012-08-08,710462.805985714,2.98571428571429,31.3355829811511,0.0178571428571429,0.517,28.952,2012,"08/01/2012",221,8
"15",2012-08-09,716092.286078571,3.07857142857143,44.1824642350356,0.0177857142857143,0.5205,29.2650602409639,2012,"08/01/2012",222,8
"16",2012-08-10,721721.766171429,3.17142857142857,27.9482011910054,0.0177142857142857,0.524,29.5806451612903,2012,"08/01/2012",223,8
"17",2012-08-11,727351.246264286,3.26428571428571,27.4285490348212,0.0176428571428571,0.5275,29.8987854251012,2012,"08/01/2012",224,8
"18",2012-08-12,732980.726357143,3.35714285714286,26.2795668403835,0.0175714285714286,0.531,30.219512195122,2012,"08/01/2012",225,8
"19",2012-08-13,738610.20645,3.45,27.3280722644162,0.0175,0.5345,30.5428571428571,2012,"08/01/2012",226,8
"20",2012-08-14,744239.686542857,3.54285714285714,24.315480312731,0.0174285714285714,0.538,30.8688524590164,2012,"08/01/2012",227,8
"21",2012-08-15,749869.166635714,3.63571428571429,30.4679871638952,0.0173571428571429,0.5415,31.1975308641975,2012,"08/01/2012",228,8
"22",2012-08-16,755498.646728571,3.72857142857143,52.3965854444076,0.0172857142857143,0.545,31.5289256198347,2012,"08/01/2012",229,8
"23",2012-08-17,761128.126821429,3.82142857142857,30.8964687396467,0.0172142857142857,0.5485,31.8630705394191,2012,"08/01/2012",230,8
"24",2012-08-18,766757.606914286,3.91428571428571,25.1143354070684,0.0171428571428571,0.552,32.2,2012,"08/01/2012",231,8
"25",2012-08-19,772387.087007143,4.00714285714286,20.7094026170405,0.0170714285714286,0.5555,32.5397489539749,2012,"08/01/2012",232,8
"26",2012-08-20,778016.5671,4.1,22.5867805927843,0.017,0.559,32.8823529411765,2012,"08/01/2012",233,8
"27",2012-08-21,758211.273313333,4.09333333333333,20.9585127043413,0.0168,0.5625,33.4821428571429,2012,"08/01/2012",234,8
