Site_ID,sampledate,Qout_cfs,TotP_lbday,TotP_mgL
USGS_5427948,10/1/2010,2.34,0.82,0.065
USGS_5427948,10/2/2010,2.24,0.79,0.065
USGS_5427948,10/3/2010,2.22,0.78,0.065
USGS_5427948,10/4/2010,2.26,0.79,0.065
USGS_5427948,10/5/2010,2.34,0.82,0.065
USGS_5427948,10/6/2010,2.58,0.91,0.065
USGS_5427948,10/7/2010,2.9,1.02,0.065
USGS_5427948,10/8/2010,3.09,1.08,0.065
USGS_5427948,10/9/2010,3.1,1.09,0.065
USGS_5427948,10/10/2010,5.14,1.8,0.065
USGS_5427948,10/11/2010,2.61,0.92,0.065
USGS_5427948,10/12/2010,3.33,1.17,0.065
USGS_5427948,10/13/2010,3.41,1.2,0.065
USGS_5427948,10/14/2010,3.07,1.08,0.065
USGS_5427948,10/15/2010,2.94,1.03,0.065
USGS_5427948,10/16/2010,3.08,1.08,0.065
USGS_5427948,10/17/2010,3,1.05,0.065
USGS_5427948,10/18/2010,3.07,1.08,0.065
USGS_5427948,10/19/2010,3.14,1.1,0.065
USGS_5427948,10/20/2010,3.15,1.11,0.065
USGS_5427948,10/21/2010,3.15,1.11,0.065
USGS_5427948,10/22/2010,3.15,1.1,0.065
USGS_5427948,10/23/2010,3.48,1.22,0.065
USGS_5427948,10/24/2010,9.91,8.7,0.156
USGS_5427948,10/25/2010,7.78,4.38,0.102
USGS_5427948,10/26/2010,28.9,30,0.178
USGS_5427948,10/27/2010,18.5,10.5,0.1
USGS_5427948,10/28/2010,11.1,4.67,0.0777
USGS_5427948,10/29/2010,8.13,3.39,0.0773
USGS_5427948,10/30/2010,6.39,2.66,0.0769
USGS_5427948,10/31/2010,4.74,1.96,0.0765
USGS_5427948,11/1/2010,3.89,1.6,0.0761
USGS_5427948,11/2/2010,3.66,1.5,0.0758
USGS_5427948,11/3/2010,3.55,1.44,0.0754
USGS_5427948,11/4/2010,3.55,1.44,0.075
USGS_5427948,11/5/2010,3.4,1.38,0.075
USGS_5427948,11/6/2010,3.2,1.3,0.075
USGS_5427948,11/7/2010,3.17,1.28,0.075
USGS_5427948,11/8/2010,3.13,1.27,0.075
USGS_5427948,11/9/2010,3.23,1.31,0.075
USGS_5427948,11/10/2010,3.19,1.29,0.075
USGS_5427948,11/11/2010,3.15,1.28,0.075
USGS_5427948,11/12/2010,3.14,1.27,0.075
USGS_5427948,11/13/2010,4.81,1.95,0.075
USGS_5427948,11/14/2010,4.35,1.76,0.075
USGS_5427948,11/15/2010,3.78,1.53,0.075
USGS_5427948,11/16/2010,3.47,1.41,0.075
USGS_5427948,11/17/2010,3.49,1.41,0.075
USGS_5427948,11/18/2010,3.33,1.35,0.075
USGS_5427948,11/19/2010,3.37,1.36,0.075
USGS_5427948,11/20/2010,3.27,1.32,0.075
USGS_5427948,11/21/2010,3.22,1.3,0.075
USGS_5427948,11/22/2010,4.66,1.89,0.075
USGS_5427948,11/23/2010,4.98,2.02,0.075
USGS_5427948,11/24/2010,4.68,1.89,0.075
USGS_5427948,11/25/2010,6.63,2.69,0.075
USGS_5427948,11/26/2010,4.81,1.95,0.075
USGS_5427948,11/27/2010,4.14,1.68,0.075
USGS_5427948,11/28/2010,3.74,1.51,0.075
USGS_5427948,11/29/2010,3.89,1.58,0.075
USGS_5427948,11/30/2010,4.57,1.85,0.075
USGS_5427948,12/1/2010,4.08,1.65,0.075
USGS_5427948,12/2/2010,3.68,1.49,0.075
USGS_5427948,12/3/2010,3.44,1.39,0.075
USGS_5427948,12/4/2010,3.51,1.42,0.075
USGS_5427948,12/5/2010,3.43,1.39,0.075
USGS_5427948,12/6/2010,3.4,1.38,0.075
USGS_5427948,12/7/2010,3.35,1.36,0.075
USGS_5427948,12/8/2010,3.28,1.33,0.075
USGS_5427948,12/9/2010,3.21,1.3,0.075
USGS_5427948,12/10/2010,3.23,1.31,0.075
USGS_5427948,12/11/2010,4.01,1.62,0.075
USGS_5427948,12/12/2010,4.85,1.96,0.075
USGS_5427948,12/13/2010,3.73,1.51,0.075
USGS_5427948,12/14/2010,3.81,1.54,0.075
USGS_5427948,12/15/2010,3.48,1.41,0.075
USGS_5427948,12/16/2010,3.32,1.35,0.075
USGS_5427948,12/17/2010,3.25,1.32,0.075
USGS_5427948,12/18/2010,3.17,1.28,0.075
USGS_5427948,12/19/2010,3.17,1.28,0.075
USGS_5427948,12/20/2010,3.21,1.3,0.075
USGS_5427948,12/21/2010,3.34,1.35,0.075
USGS_5427948,12/22/2010,3.31,1.34,0.075
USGS_5427948,12/23/2010,3.22,1.3,0.075
USGS_5427948,12/24/2010,3.23,1.31,0.075
USGS_5427948,12/25/2010,3.29,1.33,0.075
USGS_5427948,12/26/2010,3.23,1.31,0.075
USGS_5427948,12/27/2010,3.27,1.32,0.075
USGS_5427948,12/28/2010,3.28,1.33,0.075
USGS_5427948,12/29/2010,3.24,1.31,0.075
USGS_5427948,12/30/2010,4.93,2.24,0.0814
USGS_5427948,12/31/2010,20.5,20.3,0.17
USGS_5427948,1/1/2011,23.8,39.9,0.315
USGS_5427948,1/2/2011,12.2,27.8,0.428
USGS_5427948,1/3/2011,7.3,16.5,0.414
USGS_5427948,1/4/2011,5.26,9.06,0.317
USGS_5427948,1/5/2011,4.28,5.78,0.25
USGS_5427948,1/6/2011,3.95,4.19,0.196
USGS_5427948,1/7/2011,3.69,3.08,0.154
USGS_5427948,1/8/2011,3.39,2.23,0.121
USGS_5427948,1/9/2011,3.11,1.6,0.0956
USGS_5427948,1/10/2011,3.05,1.27,0.0773
USGS_5427948,1/11/2011,3.12,1.26,0.075
USGS_5427948,1/12/2011,3.16,1.28,0.075
USGS_5427948,1/13/2011,3.1,1.25,0.075
USGS_5427948,1/14/2011,3.09,1.25,0.075
USGS_5427948,1/15/2011,3.15,1.28,0.075
USGS_5427948,1/16/2011,3.05,1.24,0.075
USGS_5427948,1/17/2011,3.17,1.28,0.075
USGS_5427948,1/18/2011,3.25,1.32,0.075
USGS_5427948,1/19/2011,3.1,1.26,0.075
USGS_5427948,1/20/2011,3.07,1.24,0.075
USGS_5427948,1/21/2011,2.94,1.19,0.075
USGS_5427948,1/22/2011,2.94,1.19,0.075
USGS_5427948,1/23/2011,2.85,1.16,0.075
USGS_5427948,1/24/2011,2.9,1.17,0.075
USGS_5427948,1/25/2011,2.92,1.18,0.075
USGS_5427948,1/26/2011,2.94,1.19,0.075
USGS_5427948,1/27/2011,2.95,1.19,0.075
USGS_5427948,1/28/2011,2.94,1.19,0.075
USGS_5427948,1/29/2011,2.98,1.21,0.075
USGS_5427948,1/30/2011,2.97,1.2,0.075
USGS_5427948,1/31/2011,2.95,1.19,0.075
USGS_5427948,2/1/2011,2.88,1.17,0.075
USGS_5427948,2/2/2011,2.48,1,0.075
USGS_5427948,2/3/2011,2.03,0.82,0.075
USGS_5427948,2/4/2011,2.61,1.06,0.075
