Site_ID,sampledate,Q_cfs,TotP_mgL,TotP_lbday
USGS_5427910,7/26/2012,24.3,0.304,41.8
USGS_5427910,7/27/2012,15.1,0.271,22.2
USGS_5427910,7/28/2012,12.5,0.228,15.5
USGS_5427910,7/29/2012,12.2,0.202,13.3
USGS_5427910,7/30/2012,11.1,0.195,11.7
USGS_5427910,7/31/2012,11.4,0.19,11.7
USGS_5427910,8/1/2012,11.9,0.185,11.9
USGS_5427910,8/2/2012,11.1,0.181,10.9
USGS_5427910,8/3/2012,11.5,0.176,11
USGS_5427910,8/4/2012,11,0.172,10.1
USGS_5427910,8/5/2012,10.3,0.168,9.31
USGS_5427910,8/6/2012,10,0.164,8.87
USGS_5427910,8/7/2012,10.3,0.16,8.9
USGS_5427910,8/8/2012,10.2,0.156,8.56
USGS_5427910,8/9/2012,9.8,0.152,8.03
USGS_5427910,8/10/2012,10.9,0.148,8.69
USGS_5427910,8/11/2012,10.4,0.144,8.12
USGS_5427910,8/12/2012,10.1,0.141,7.69
USGS_5427910,8/13/2012,9.93,0.137,7.37
USGS_5427910,8/14/2012,10.2,0.134,7.37
USGS_5427910,8/15/2012,10.5,0.133,7.53
USGS_5427910,8/16/2012,11.9,0.132,8.49
USGS_5427910,8/17/2012,11.1,0.131,7.88
USGS_5427910,8/18/2012,10.9,0.131,7.72
USGS_5427910,8/19/2012,10.7,0.13,7.53
USGS_5427910,8/20/2012,10.5,0.129,7.34
USGS_5427910,8/21/2012,9.73,0.128,6.74
USGS_5427910,8/22/2012,9.73,0.127,6.69
USGS_5427910,8/23/2012,10.2,0.127,7
USGS_5427910,8/24/2012,9.98,0.126,6.78
USGS_5427910,8/25/2012,9.96,0.125,6.72
USGS_5427910,8/26/2012,9.49,0.124,6.37
USGS_5427910,8/27/2012,10.3,0.123,6.86
USGS_5427910,8/28/2012,10,0.123,6.66
USGS_5427910,8/29/2012,10.6,0.122,6.97
USGS_5427910,8/30/2012,11.2,0.121,7.32
USGS_5427910,8/31/2012,9.78,0.12,6.36
USGS_5427910,9/1/2012,9.11,0.12,5.88
USGS_5427910,9/2/2012,9.59,0.119,6.15
USGS_5427910,9/3/2012,10.2,0.118,6.49
USGS_5427910,9/4/2012,10.3,0.117,6.55
USGS_5427910,9/5/2012,10.3,0.117,6.5
USGS_5427910,9/6/2012,9.54,0.116,5.97
USGS_5427910,9/7/2012,8.66,0.115,5.38
USGS_5427910,9/8/2012,8.77,0.114,5.42
USGS_5427910,9/9/2012,11,0.114,6.76
USGS_5427910,9/10/2012,10.9,0.113,6.66
USGS_5427910,9/11/2012,11.3,0.112,6.88
USGS_5427910,9/12/2012,10.1,0.112,6.1
USGS_5427910,9/13/2012,8.23,0.111,4.92
USGS_5427910,9/14/2012,8.54,0.11,5.08
USGS_5427910,9/15/2012,8.46,0.109,5
USGS_5427910,9/16/2012,8.72,0.109,5.12
USGS_5427910,9/17/2012,7.59,0.108,4.42
USGS_5427910,9/18/2012,7.46,0.105,4.24
USGS_5427910,9/19/2012,10.2,0.105,5.8
USGS_5427910,9/20/2012,8.44,0.105,4.78
USGS_5427910,9/21/2012,8.34,0.105,4.73
USGS_5427910,9/22/2012,8.78,0.105,4.98
USGS_5427910,9/23/2012,8.42,0.105,4.77
USGS_5427910,9/24/2012,9.21,0.105,5.22
USGS_5427910,9/25/2012,8.64,0.105,4.9
USGS_5427910,9/26/2012,8.38,0.105,4.75
USGS_5427910,9/27/2012,7.83,0.105,4.44
USGS_5427910,9/28/2012,8.44,0.105,4.78
USGS_5427910,9/29/2012,8.13,0.105,4.61
USGS_5427910,9/30/2012,8.8,0.105,4.97
USGS_5427910,10/1/2012,8.2,0.105,4.63
USGS_5427910,10/2/2012,8.3,0.105,4.71
USGS_5427910,10/3/2012,9.06,0.105,5.14
USGS_5427910,10/4/2012,9.06,0.105,5.13
USGS_5427910,10/5/2012,9.35,0.105,5.3
USGS_5427910,10/6/2012,9.13,0.105,5.17
USGS_5427910,10/7/2012,8.76,0.105,4.97
USGS_5427910,10/8/2012,11,0.105,6.23
USGS_5427910,10/9/2012,10.6,0.105,6.03
USGS_5427910,10/10/2012,9.22,0.105,5.23
USGS_5427910,10/11/2012,9.55,0.105,5.41
USGS_5427910,10/12/2012,8.98,0.105,5.09
USGS_5427910,10/13/2012,12.1,0.105,6.84
USGS_5427910,10/14/2012,30.9,0.295,71.4
USGS_5427910,10/15/2012,29.4,0.254,42.5
USGS_5427910,10/16/2012,16.9,0.198,18.1
USGS_5427910,10/17/2012,15.5,0.19,16
USGS_5427910,10/18/2012,22.8,0.166,20.7
USGS_5427910,10/19/2012,20,0.148,16
USGS_5427910,10/20/2012,17.1,0.14,12.9
USGS_5427910,10/21/2012,15.2,0.14,11.5
USGS_5427910,10/22/2012,16.6,0.149,13.6
USGS_5427910,10/23/2012,18.9,0.153,15.5
USGS_5427910,10/24/2012,17.7,0.139,13.3
USGS_5427910,10/25/2012,18.4,0.135,13.4
USGS_5427910,10/26/2012,20,0.131,14.1
USGS_5427910,10/27/2012,17.1,0.127,11.7
USGS_5427910,10/28/2012,16.2,0.123,10.8
USGS_5427910,10/29/2012,15.6,0.119,10
USGS_5427910,10/30/2012,13.9,0.116,8.72
USGS_5427910,10/31/2012,13.4,0.112,8.15
USGS_5427910,11/1/2012,13.5,0.109,7.96
USGS_5427910,11/2/2012,13,0.106,7.42
USGS_5427910,11/3/2012,12.7,0.103,7.03
USGS_5427910,11/4/2012,12.4,0.0995,6.68
USGS_5427910,11/5/2012,12.4,0.0966,6.46
USGS_5427910,11/6/2012,13.3,0.0937,6.72
USGS_5427910,11/7/2012,12.5,0.0909,6.12
USGS_5427910,11/8/2012,13.4,0.0882,6.37
USGS_5427910,11/9/2012,11.9,0.0855,5.51
USGS_5427910,11/10/2012,13.1,0.083,5.88
USGS_5427910,11/11/2012,18.4,0.0881,9.09
USGS_5427910,11/12/2012,23.6,0.138,17.8
USGS_5427910,11/13/2012,16,0.11,9.58
USGS_5427910,11/14/2012,14.8,0.0935,7.5
USGS_5427910,11/15/2012,14.3,0.0812,6.28
USGS_5427910,11/16/2012,13.6,0.0796,5.86
USGS_5427910,11/17/2012,12.5,0.0792,5.37
USGS_5427910,11/18/2012,12.4,0.0788,5.27
USGS_5427910,11/19/2012,12.8,0.0785,5.41
USGS_5427910,11/20/2012,13,0.0781,5.47
USGS_5427910,11/21/2012,12.7,0.0777,5.34
USGS_5427910,11/22/2012,14.3,0.0774,5.97
USGS_5427910,11/23/2012,11.1,0.077,4.62
USGS_5427910,11/24/2012,11.8,0.0766,4.88
USGS_5427910,11/25/2012,12.2,0.0762,5.03
USGS_5427910,11/26/2012,11.4,0.0759,4.67
USGS_5427910,11/27/2012,11.2,0.0755,4.57
USGS_5427910,11/28/2012,11.8,0.0752,4.79
USGS_5427910,11/29/2012,11.4,0.0748,4.59
USGS_5427910,11/30/2012,11.2,0.0745,4.5
USGS_5427910,12/1/2012,10.9,0.0741,4.36
USGS_5427910,12/2/2012,11.7,0.0738,4.67
USGS_5427910,12/3/2012,11.4,0.0734,4.51
