"","sampledate","Yr","daynum","epi_totP_mgL","hypo_totP_mgL","TotP_HEratio"
"1",2013-02-12,2013,43,NA,NA,1.14285714285714
"2",2013-04-29,2013,119,0.07,0.08,1.14285714285714
"3",2013-05-14,2013,134,0.065,0.07,1.07692307692308
"4",2013-05-28,2013,148,0.055,NA,3.76923076923077
"5",2013-06-10,2013,161,0.0433333333333333,0.28,6.46153846153846
"6",2013-06-24,2013,175,0.035,NA,8.48076923076923
"7",2013-07-08,2013,189,0.03,0.315,10.5
"8",2013-07-22,2013,203,0.03,NA,11.5833333333333
"9",2013-08-05,2013,217,0.03,0.38,12.6666666666667
"10",2013-08-21,2013,233,0.02,NA,17.3333333333333
"11",2013-09-04,2013,247,0.02,0.44,22
"12",2013-09-30,2013,273,0.03,0.46,15.3333333333333
"13",2013-10-29,2013,302,0.085,0.08,0.941176470588235
"14",2013-12-02,2013,336,0.08,0.08,1
"15",2014-02-03,2014,34,0.07,0.16,2.28571428571429
"16",2014-04-29,2014,119,0.0866666666666667,0.08,0.923076923076923
"17",2014-05-14,2014,134,0.075,0.09,1.2
"18",2014-05-28,2014,148,0.06,NA,1.975
"19",2014-06-09,2014,160,0.06,0.165,2.75
"20",2014-06-23,2014,174,0.03,NA,5.1875
"21",2014-07-07,2014,188,0.04,0.305,7.625
"22",2014-07-21,2014,202,0.03,NA,10.2291666666667
"23",2014-08-04,2014,216,0.03,0.385,12.8333333333333
"24",2014-08-20,2014,232,0.03,NA,16.5416666666667
"25",2014-09-02,2014,245,0.02,0.405,20.25
"26",2014-09-28,2014,271,NA,NA,10.6805555555556
"27",2014-10-30,2014,303,0.09,0.1,1.11111111111111
"28",2015-02-11,2015,42,0.098,0.239,2.43877551020408
"29",2015-04-10,2015,100,0.105,NA,1.66230114092881
"30",2015-04-24,2015,114,0.0846666666666667,0.075,0.885826771653543
"31",2015-05-01,2015,121,0.0685,NA,1.16192165028958
"32",2015-05-13,2015,133,0.0605,0.087,1.43801652892562
"33",2015-05-27,2015,147,0.0515,NA,2.46454397874852
"34",2015-06-08,2015,159,0.056,0.1955,3.49107142857143
"35",2015-06-23,2015,174,0.0535,NA,6.5300184729064
