"","sampledate_k","Depth_m_k","sampledate","Thermo_depth_m","Yr","Thermo_depth_m_k1","Chg_Thermodepth_m","Volchg_epi_m3","daynum.x","TotP_mgL","daynum.y"
"1",2013-02-12,0,2013-04-29,4.50193011692657,2013,0.5,4.00193011692657,103449893.522552,119,NA,NA
"2",2013-04-29,5,2013-05-14,0.5,2013,4.50193011692657,-4.00193011692657,-103449893.522552,134,0.07,119
"3",2013-05-14,0,2013-05-28,11.453047608739,2013,0.5,10.953047608739,283136280.685904,148,0.06,134
"4",2013-05-28,11,2013-06-10,12.0258962776312,2013,11.453047608739,0.572848668892135,14808138.0908617,161,NA,148
"5",2013-06-10,12,2013-06-24,9.4272016005067,2013,12.0258962776312,-2.59869467712447,-67176257.4036676,175,0.09,161
"6",2013-06-24,9,2013-07-08,9.57196253509884,2013,9.4272016005067,0.144760934592139,3742070.15920678,189,NA,175
"7",2013-07-08,10,2013-07-22,12.0720798865455,2013,9.57196253509884,2.50011735144669,64628033.5348969,203,0.14,189
"8",2013-07-22,12,2013-08-05,10.2194082466726,2013,12.0720798865455,-1.85267163987294,-47891561.8907155,217,NA,203
"9",2013-08-05,10,2013-08-21,10.3096749134877,2013,10.2194082466726,0.0902666668151095,2333393.33717058,233,0.06,217
"10",2013-08-21,10,2013-09-04,9.72467693852751,2013,10.3096749134877,-0.58499797496019,-15122197.6527209,247,NA,233
"11",2013-09-04,10,2013-09-30,12.2804017905052,2013,9.72467693852751,2.55572485197774,66065487.4236245,273,0.03,247
"12",2013-09-30,12,2013-10-29,NA,2013,12.2804017905052,NA,NA,302,NA,NA
"13",2013-10-29,NA,2013-12-02,NA,2013,NA,NA,NA,336,NA,NA
"14",2014-02-03,0,2014-04-29,NA,2014,0.5,NA,NA,119,NA,NA
"15",2014-04-29,16,2014-05-14,16.0168903674992,2014,16.0168903674992,0,0,134,0.08,119
"16",2014-05-14,16,2014-05-28,4.63568634384718,2014,16.0168903674992,-11.381204023652,-294204124.011405,148,0.0875,134
"17",2014-05-28,5,2014-06-09,5.54947457737222,2014,4.63568634384718,0.913788233525039,23621425.8366222,160,NA,NA
"18",2014-06-09,6,2014-06-23,11.2996553377241,2014,5.54947457737222,5.75018076035193,148642172.655097,174,0.05,160
"19",2014-06-23,11,2014-07-07,8.73244120988825,2014,11.2996553377241,-2.5672141278359,-66362485.204558,188,NA,174
"20",2014-07-07,9,2014-07-21,9.35724530512201,2014,8.73244120988825,0.624804095233765,16151185.8617928,202,0.055,188
"21",2014-07-21,9,2014-08-04,13.2737525713426,2014,9.35724530512201,3.91650726622056,101241712.831802,216,NA,NA
"22",2014-08-04,13,2014-08-20,10.6429566858411,2014,13.2737525713426,-2.63079588550146,-68006073.6402127,232,0.13,216
