Source_ID,Site_ID,sampledate,Q_cfs,SRP_mgL,SRP_lbday
NPS EVAL MONITORING,WIDNR 133394,6/9/1994,,0,
NPS EVAL MONITORING,WIDNR 133394,6/13/1994,,0,
NPS EVAL MONITORING,WIDNR 133394,6/16/1994,,0,
NPS EVAL MONITORING,WIDNR 133394,6/20/1994,,0.01,
NPS EVAL MONITORING,WIDNR 133394,6/22/1994,,0.003,
NPS EVAL MONITORING,WIDNR 133394,6/23/1994,,0.002,
NPS EVAL MONITORING,WIDNR 133394,6/23/1994,,0.005,
NPS EVAL MONITORING,WIDNR 133394,6/30/1994,,0.007,
NPS EVAL MONITORING,WIDNR 133394,7/7/1994,,0.003,
NPS EVAL MONITORING,WIDNR 133394,7/20/1994,,0.006,
NPS EVAL MONITORING,WIDNR 133394,7/28/1994,,0.006,
NPS EVAL MONITORING,WIDNR 133394,8/4/1994,,0.008,
NPS EVAL MONITORING,WIDNR 133394,8/11/1994,,0.005,
NPS EVAL MONITORING,WIDNR 133394,8/18/1994,,0.007,
NPS EVAL MONITORING,WIDNR 133394,8/24/1994,,0.003,
NPS EVAL MONITORING,WIDNR 133394,8/31/1994,,0.004,
NPS EVAL MONITORING,WIDNR 133394,9/9/1994,,0.002,
NPS EVAL MONITORING,WIDNR 133394,9/15/1994,,0.002,
NPS EVAL MONITORING,WIDNR 133394,9/22/1994,,0.005,
NPS EVAL MONITORING,WIDNR 133394,9/29/1994,,0,
NPS EVAL MONITORING,WIDNR 133394,10/6/1994,,0.003,
NPS EVAL MONITORING,WIDNR 133394,10/12/1994,,0.003,
NPS EVAL MONITORING,WIDNR 133394,10/20/1994,,0.003,
NPS EVAL MONITORING,WIDNR 133394,10/26/1994,,0,
NPS EVAL MONITORING,WIDNR 133394,11/3/1994,,0,
NPS EVAL MONITORING,WIDNR 133394,11/9/1994,,0.017,
NPS EVAL MONITORING,WIDNR 133394,11/27/1994,,0.019,
NPS EVAL MONITORING,WIDNR 133394,11/28/1994,,0.018,
NPS EVAL MONITORING,WIDNR 133394,1/19/1995,,0.009,
NPS EVAL MONITORING,WIDNR 133394,2/22/1995,,0.015,
NPS EVAL MONITORING,WIDNR 133394,3/11/1995,,0.014,
NPS EVAL MONITORING,WIDNR 133394,3/11/1995,,0.018,
NPS EVAL MONITORING,WIDNR 133394,3/12/1995,,0.02,
NPS EVAL MONITORING,WIDNR 133394,3/12/1995,,0.022,
NPS EVAL MONITORING,WIDNR 133394,3/22/1995,,0.024,
