Source_ID,Site_ID,sampledate,Q_cfs,TotP_lbday,TotP_mgL
NPS EVAL MONITORING,WIDNR 133394,5/26/1994,,,0.22
NPS EVAL MONITORING,WIDNR 133394,6/2/1994,,,0.26
NPS EVAL MONITORING,WIDNR 133394,6/9/1994,,,0.27
NPS EVAL MONITORING,WIDNR 133394,6/13/1994,,,0.38
NPS EVAL MONITORING,WIDNR 133394,6/16/1994,,,0.41
NPS EVAL MONITORING,WIDNR 133394,6/20/1994,,,0.4
NPS EVAL MONITORING,WIDNR 133394,6/22/1994,,,0.37
NPS EVAL MONITORING,WIDNR 133394,6/23/1994,,,0.63
NPS EVAL MONITORING,WIDNR 133394,6/23/1994,,,0.38
NPS EVAL MONITORING,WIDNR 133394,6/24/1994,,,0.27
NPS EVAL MONITORING,WIDNR 133394,6/25/1994,,,0.2
NPS EVAL MONITORING,WIDNR 133394,6/26/1994,,,0.31
NPS EVAL MONITORING,WIDNR 133394,6/26/1994,,,0.18
NPS EVAL MONITORING,WIDNR 133394,6/27/1994,,,0.17
NPS EVAL MONITORING,WIDNR 133394,6/30/1994,,,0.26
NPS EVAL MONITORING,WIDNR 133394,7/5/1994,,,0.27
NPS EVAL MONITORING,WIDNR 133394,7/7/1994,,,0.25
NPS EVAL MONITORING,WIDNR 133394,7/14/1994,,,0.26
NPS EVAL MONITORING,WIDNR 133394,7/20/1994,,,0.17
NPS EVAL MONITORING,WIDNR 133394,7/28/1994,,,0.17
NPS EVAL MONITORING,WIDNR 133394,8/4/1994,,,0.255
NPS EVAL MONITORING,WIDNR 133394,8/11/1994,,,0.239
NPS EVAL MONITORING,WIDNR 133394,8/18/1994,,,0.18
NPS EVAL MONITORING,WIDNR 133394,8/24/1994,,,0.196
NPS EVAL MONITORING,WIDNR 133394,8/31/1994,,,0.223
NPS EVAL MONITORING,WIDNR 133394,9/9/1994,,,0.127
NPS EVAL MONITORING,WIDNR 133394,9/15/1994,,,0.099
NPS EVAL MONITORING,WIDNR 133394,9/16/1994,,,0.118
NPS EVAL MONITORING,WIDNR 133394,9/22/1994,,,0.263
NPS EVAL MONITORING,WIDNR 133394,9/29/1994,,,0.304
NPS EVAL MONITORING,WIDNR 133394,10/6/1994,,,0.255
NPS EVAL MONITORING,WIDNR 133394,10/12/1994,,,0.118
NPS EVAL MONITORING,WIDNR 133394,10/20/1994,,,0.119
NPS EVAL MONITORING,WIDNR 133394,10/26/1994,,,0.111
NPS EVAL MONITORING,WIDNR 133394,11/3/1994,,,0.072
NPS EVAL MONITORING,WIDNR 133394,11/9/1994,,,0.126
NPS EVAL MONITORING,WIDNR 133394,11/22/1994,,,0.12
NPS EVAL MONITORING,WIDNR 133394,11/27/1994,,,0.095
NPS EVAL MONITORING,WIDNR 133394,11/28/1994,,,0.1
NPS EVAL MONITORING,WIDNR 133394,12/9/1994,,,0.05
NPS EVAL MONITORING,WIDNR 133394,1/19/1995,,,0.04
NPS EVAL MONITORING,WIDNR 133394,2/22/1995,,,0.04
NPS EVAL MONITORING,WIDNR 133394,3/11/1995,,,0.05
NPS EVAL MONITORING,WIDNR 133394,3/11/1995,,,0.064
NPS EVAL MONITORING,WIDNR 133394,3/12/1995,,,0.053
NPS EVAL MONITORING,WIDNR 133394,3/12/1995,,,0.056
NPS EVAL MONITORING,WIDNR 133394,3/22/1995,,,0.1
NPS EVAL MONITORING,WIDNR 133394,3/28/1995,,,0.1
NPS EVAL MONITORING,WIDNR 133394,4/6/1995,,,0.1
NPS EVAL MONITORING,WIDNR 133394,4/11/1995,,,0.13
NPS EVAL MONITORING,WIDNR 133394,4/12/1995,,,0.11
NPS EVAL MONITORING,WIDNR 133394,4/18/1995,,,0.18
NPS EVAL MONITORING,WIDNR 133394,4/19/1995,,,0.209
NPS EVAL MONITORING,WIDNR 133394,4/27/1995,,,0.17
NPS EVAL MONITORING,WIDNR 133394,4/27/1995,,,0.13
NPS EVAL MONITORING,WIDNR 133394,4/28/1995,,,0.13
NPS EVAL MONITORING,WIDNR 133394,5/4/1995,,,0.14
NPS EVAL MONITORING,WIDNR 133394,5/8/1995,,,0.548
NPS EVAL MONITORING,WIDNR 133394,5/9/1995,,,0.18
NPS EVAL MONITORING,WIDNR 133394,5/9/1995,,,0.16
NPS EVAL MONITORING,WIDNR 133394,5/10/1995,,,0.15
NPS EVAL MONITORING,WIDNR 133394,5/12/1995,,,0.149
NPS EVAL MONITORING,WIDNR 133394,5/17/1995,,,0.147
NPS EVAL MONITORING,WIDNR 133394,5/19/1995,,,0.123
NPS EVAL MONITORING,WIDNR 133394,5/25/1995,,,0.241
NPS EVAL MONITORING,WIDNR 133394,5/25/1995,,,0.128
NPS EVAL MONITORING,WIDNR 133394,5/28/1995,,,0.169
