"","Yr","daynum_bin","sampledate.x","Chla_ugL","daynum.x","X","sampledate.y","cyano_relabund","CD_cellsmL","daynum.y"
"1",2015,152,2015-05-26,6.29,146,NA,NA,NA,NA,NA
"2",2015,159,2015-06-09,11.73,160,2,2015-06-11,99.15,112359,162
"3",2015,166,NA,25.88,NA,3,2015-06-18,99.38,92736,169
"4",2015,173,2015-06-23,40.03,174,4,2015-06-22,95.94,31178,173
"5",2015,180,2015-06-30,14.57,181,5,2015-06-26,95.92,152979,177
"6",2015,194,NA,27.38,NA,6,2015-07-15,96.91,328629,196
"7",2015,201,2015-07-21,40.19,202,NA,NA,NA,NA,NA
"8",2015,222,2015-08-12,17.72,224,NA,NA,NA,NA,NA
"9",2015,236,NA,17.18,NA,7,2015-08-21,82.03,45394,233
"10",2015,243,2015-09-01,16.64,244,8,2015-09-02,85.24,35689,245
"11",2015,250,NA,14.695,NA,9,2015-09-09,84.39,26344,252
"12",2015,257,2015-09-22,12.75,265,10,2015-09-16,87.04,92197,259
"13",2016,152,NA,17.59805,NA,16,2016-05-31,97.25,168551,152
"14",2016,173,NA,22.4461,NA,17,2016-06-20,98.28,237929,172
"15",2016,180,NA,27.29415,NA,18,2016-07-01,94.8,263967,183
"16",2017,152,NA,32.1422,NA,23,2017-05-31,87.34,54482,151
"17",2017,159,2017-06-06,36.99025,157,24,2017-06-05,92.63,511101,156
"18",2017,173,2017-06-20,62.33625,171,NA,NA,NA,NA,NA
"19",2017,187,NA,69.1616875,NA,25,2017-07-05,99.5,397925,186
"20",2017,194,NA,75.987125,NA,26,2017-07-12,99.53,1119565,193
"21",2017,208,NA,82.8125625,NA,27,2017-07-26,99.01,126719,207
"22",2017,215,2017-08-03,89.638,215,NA,NA,NA,NA,NA
"23",2017,222,NA,66.583,NA,28,2017-08-09,96.18,49942,221
"24",2017,243,NA,43.528,NA,29,2017-08-30,99.2,549616,242
"25",2017,257,2017-09-12,20.473,255,NA,NA,NA,NA,NA
"26",2018,152,2018-05-29,26.413,149,NA,NA,NA,NA,NA
"27",2018,166,2018-06-14,56.427,165,NA,NA,NA,NA,NA
"28",2018,173,2018-06-20,70.34,171,NA,NA,NA,NA,NA
"29",2018,194,2018-07-12,82.631,193,NA,NA,NA,NA,NA
"30",2018,215,2018-08-02,45.419,214,NA,NA,NA,NA,NA
"31",2018,250,2018-09-06,25.774,249,NA,NA,NA,NA,NA
"32",2019,159,2019-06-06,38.63,157,NA,NA,NA,NA,NA
"33",2019,201,2019-07-18,60.235,199,NA,NA,NA,NA,NA
"34",2019,208,2019-07-30,31.054,211,NA,NA,NA,NA,NA
"35",2019,222,2019-08-13,20.292,225,NA,NA,NA,NA,NA
"36",2019,250,2019-09-05,23.229,248,NA,NA,NA,NA,NA
