"","Yr","daynum_bin","sampledate","cyano_relbiovol","CD_cellsmL","daynum"
"1",2012,196,2012-07-10,95.353,521905.4471,192
"2",2012,210,2012-07-23,93.965,661138.4846,205
"3",2012,224,2012-08-06,85.739,699203.8458,219
"4",2012,238,2012-08-20,69.525,778016.5671,233
"5",2012,252,2012-09-04,69.817,480937.1603,248
"6",2013,196,2013-07-08,88.955,244407.5851,189
"7",2013,210,2013-07-22,83.705,188672.6848,203
"8",2013,224,2013-08-05,95.815,372748.5014,217
"9",2013,238,2013-08-21,87.325,400116.8653,233
"10",2013,252,2013-09-04,87.27,625476.32,247
"11",2014,196,2014-07-21,79.741,520921.7313,202
"12",2014,210,2014-08-04,84.09,295747.4434,216
"13",2014,224,NA,NA,599220.9131,NA
"14",2014,238,2014-08-20,86.208,660049.0095,232
"15",2014,252,2014-09-02,92.173,920165.4682,245
"16",2015,196,2015-07-20,94.772,322463.0041,201
"17",2015,210,2015-08-03,80.774,795720.3333,215
"18",2015,224,2015-08-18,91.402,586306.3332,230
"19",2015,238,2015-08-31,72.997,569567.4906,243
"20",2015,252,NA,NA,568514.2903,NA
"21",2016,196,2016-07-18,72.121,569055.6097,200
"22",2016,210,2016-08-01,48.47,417905.9488,214
"23",2016,224,2016-08-15,89.87,839810.9385,228
"24",2016,238,2016-08-30,84.5,509146.5033,243
"25",2016,252,NA,NA,583979.750075,NA
"26",2017,196,2017-07-10,37.279,350822.7385,191
"27",2017,210,2017-07-24,49.32,919421.3377,205
"28",2017,224,2017-08-07,69.165,774871.0064,219
"29",2017,238,2017-08-23,78.742,887346.4733,235
"30",2017,252,2017-09-06,65.621,416323.639,249
"31",2018,196,2018-07-09,54.1,245147.5721,190
"32",2018,210,2018-07-23,88.186,578030.6749,204
"33",2018,224,2018-08-06,99.085,493689.7218,218
"34",2018,238,2018-08-22,88.323,474156.23,234
"35",2018,252,2018-09-19,94.291,149085.4483,262
