"","Yr","daynum_bin","sampledate","Chla_ugL","daynum"
"1",2012,196,2012-07-10,1.6,192
"2",2012,210,2012-07-23,3.9,205
"3",2012,224,2012-08-06,2.8,219
"4",2012,238,2012-08-20,4.1,233
"5",2012,252,2012-09-04,4,248
"6",2013,196,2013-07-08,11.2,189
"7",2013,210,2013-07-22,14.8,203
"8",2013,224,2013-08-05,11.4,217
"9",2013,238,2013-08-21,4.6,233
"10",2013,252,2013-09-04,6.5,247
"11",2014,196,2014-07-21,10.1,202
"12",2014,210,2014-08-04,7.4,216
"13",2014,224,NA,7.375,NA
"14",2014,238,2014-08-20,4.6,232
"15",2014,252,2014-09-02,7.4,245
"16",2015,196,2015-07-20,14.4,201
"17",2015,210,2015-08-03,8,215
"18",2015,224,2015-08-18,8.7,230
"19",2015,238,2015-08-31,10.6,243
"20",2015,252,NA,10.425,NA
"21",2016,196,2016-07-18,2.7,200
"22",2016,210,2016-08-01,4.8,214
"23",2016,224,2016-08-15,3.9,228
"24",2016,238,2016-08-30,3.5,243
"25",2016,252,NA,3.725,NA
"26",2018,196,2018-07-09,9.8,190
"27",2018,210,2018-07-23,11.6,204
"28",2018,224,2018-08-06,7.3,218
"29",2018,238,2018-08-22,9,234
"30",2018,252,2018-09-19,4.9,262
