"","sampledate","Yr","daynum","Chla_ugL","CD_cellsmL","wk"
"1",2013-02-12,2013,43,7.6,17134.1137,6
"2",2013-04-29,2013,119,13.1,38875.8088,17
"3",2013-05-14,2013,134,9.8,52684.1414,19
"4",2013-05-28,2013,148,0.6,2997.3685,21
"5",2013-06-10,2013,161,0.9,7896.9239,23
"6",2013-06-24,2013,175,5.5,214060.8479,25
"7",2013-07-08,2013,189,11.2,244407.5851,27
"8",2013-07-22,2013,203,14.8,188672.6848,29
"9",2013-08-05,2013,217,11.4,372748.5014,31
"10",2013-08-21,2013,233,4.6,400116.8653,33
"11",2013-09-04,2013,247,6.5,625476.32,35
"12",2013-09-30,2013,273,9,653396.9852,39
"13",2013-10-29,2013,302,7.7,107685.7123,43
"14",2013-12-02,2013,336,5.8,40739.6122,48
"15",2014-02-03,2014,34,5.1,22207.5892,5
"16",2014-04-29,2014,119,10.2,38041.3841,17
"17",2014-05-14,2014,134,20.5,47851.7613,19
"18",2014-05-28,2014,148,NA,47122.3509,21
"19",2014-06-09,2014,160,6.4,113235.7789,23
"20",2014-06-23,2014,174,6.7,198826.1949,25
"21",2014-07-07,2014,188,11.8,145201.4654,27
"22",2014-07-21,2014,202,10.1,520921.7313,29
"23",2014-08-04,2014,216,7.4,295747.4434,31
"24",2014-08-20,2014,232,4.6,660049.0095,33
"25",2014-09-02,2014,245,7.4,920165.4682,35
"26",2014-09-28,2014,271,6.9,266531.7701,38
"27",2014-10-30,2014,303,6.2,140357.2509,43
"28",2015-02-11,2015,42,5.3,40331.7827,6
"29",2015-04-10,2015,100,17.3,54156.7598,14
"30",2015-04-24,2015,114,15.5,99250.2448,16
"31",2015-05-01,2015,121,17.6,94331.7018,17
"32",2015-05-13,2015,133,29.8,144203.1512,19
"33",2015-05-27,2015,147,4.9,19950.1691,21
"34",2015-06-08,2015,159,5.8,96287.3402,23
"35",2015-06-23,2015,174,13.6,160492.5291,25
"36",2015-07-08,2015,189,13.5,250882.968,27
"37",2015-07-20,2015,201,14.4,322463.0041,29
"38",2015-08-03,2015,215,8,795720.3333,31
"39",2015-08-18,2015,230,8.7,586306.3332,33
"40",2015-08-31,2015,243,10.6,569567.4906,35
"41",2015-10-07,2015,280,10.7,212939.787,40
"42",2015-11-02,2015,306,7.4,101442.0159,44
"43",2016-01-27,2016,27,5.2,32845.1521,4
"44",2016-03-28,2016,88,30.5,99206.1549,13
"45",2016-04-12,2016,103,14.9,72740.7394,15
"46",2016-04-25,2016,116,14.9,76931.5166,17
"47",2016-05-11,2016,132,1.1,6334.1454,19
"48",2016-05-23,2016,144,1.5,4998.5392,21
"49",2016-06-07,2016,159,2.9,24106.3641,23
"50",2016-06-20,2016,172,2.2,323862.4687,25
"51",2016-07-05,2016,187,5.1,488607.7263,27
"52",2016-07-18,2016,200,2.7,569055.6097,29
"53",2016-08-01,2016,214,4.8,417905.9488,31
"54",2016-08-15,2016,228,3.9,839810.9385,33
"55",2016-08-30,2016,243,3.5,509146.5033,35
"56",2016-10-04,2016,278,5.8,237054.2735,40
"57",2016-11-09,2016,314,5.5,158741.0452,45
"58",2017-02-06,2017,37,NA,28214.2301,6
"59",2017-04-17,2017,107,NA,194430.753,16
"60",2017-05-03,2017,123,NA,152315.1461,18
"61",2017-05-15,2017,135,NA,152968.1406,20
"62",2017-05-30,2017,150,NA,19990.2501,22
"63",2017-06-12,2017,163,NA,204699.2317,24
"64",2017-06-26,2017,177,NA,335065.1093,26
"65",2017-07-10,2017,191,NA,350822.7385,28
"66",2017-07-24,2017,205,NA,919421.3377,30
"67",2017-08-07,2017,219,NA,774871.0064,32
"68",2017-08-23,2017,235,NA,887346.4733,34
"69",2017-09-06,2017,249,NA,416323.639,36
"70",2017-09-25,2017,268,NA,426216.1745,39
"71",2017-10-04,2017,277,NA,386218.538,40
"72",2017-11-02,2017,306,NA,138619.1647,44
"73",2017-12-19,2017,353,NA,60117.5673,51
"74",2018-01-23,2018,23,8.4,35063.242,4
"75",2018-04-05,2018,95,18.3,NA,14
"76",2018-04-20,2018,110,7.9,42617.2517,16
"77",2018-05-07,2018,127,31.1,53196.6096,19
"78",2018-05-14,2018,134,17.5,44740.8908,20
"79",2018-05-29,2018,149,4.8,120205.7407,22
"80",2018-06-11,2018,162,0.8,7687.2693,24
"81",2018-06-25,2018,176,7.8,147136.2636,26
"82",2018-07-09,2018,190,9.8,245147.5721,28
"83",2018-07-23,2018,204,11.6,578030.6749,30
"84",2018-08-06,2018,218,7.3,493689.7218,32
"85",2018-08-22,2018,234,9,474156.23,34
"86",2018-09-04,2018,247,5.9,273411.0201,36
"87",2018-09-19,2018,262,4.9,149085.4483,38
"88",2018-10-02,2018,275,3.6,132124.9474,40
"89",2018-10-18,2018,291,2.3,78486.8247,42
"90",2018-10-29,2018,302,0.9,67840.8294,44
"91",2018-11-14,2018,318,0.8,25573.5477,46
"92",2018-11-30,2018,334,1,13961.1135,48
