"","sampledate","year4","daynum","Qout_m3day","TotPexp_gday"
"1",2003-11-25,2003,"329",711952.812851306,85.078361135731
"2",2004-02-03,2004,"034",227531.311323613,23.7770220333176
"3",2004-03-29,2004,"089",415917.450806605,46.9986719411463
"4",2004-04-12,2004,"103",330287.387405245,27.9092842357432
"5",2004-04-28,2004,"119",251997.043724002,16.6318048857841
"6",2004-05-10,2004,"131",222148.850195528,18.1051312909355
"7",2004-05-24,2004,"145",604303.590289596,40.4883405494029
"8",2004-06-07,2004,"159",1103404.53125752,123.029605235214
"9",2004-06-21,2004,"173",746204.838211849,46.2646999691347
"10",2004-07-06,2004,"188",574944.71140913,66.9091907902375
"11",2004-07-19,2004,"201",699719.946651111,20.2918784528822
"12",2004-08-03,2004,"216",189609.426103011,47.1890459213868
"13",2004-08-16,2004,"229",318054.521205051,12.0860718057919
"14",2004-09-07,2004,"251",244657.324003885,94.4377270654996
"15",2004-10-05,2004,"279",48197.4928287654,14.796630298431
"16",2004-11-03,2004,"308",425703.74376676,51.0844492520112
"17",2005-01-31,2005,"031",230711.856535664,28.2045244614849
"18",2005-04-15,2005,"105",376772.278965983,53.0306982644621
"19",2005-04-25,2005,"115",349859.973325556,39.8840369591133
"20",2005-05-09,2005,"129",269123.056404274,42.2523198554709
"21",2005-05-23,2005,"143",234137.059071718,26.2233506160324
"22",2005-06-06,2005,"157",173951.357366762,23.048554851096
"23",2005-06-20,2005,"171",88076.6366413986,6.6057477481049
"24",2005-07-05,2005,"186",45016.9476167149,10.3538979518444
"25",2005-07-18,2005,"199",34985.9973325556,1.43442589063478
"26",2005-08-01,2005,"213",38166.5425446061,11.3640880426565
"27",2005-08-15,2005,"227",43549.0036726915,1.00162708447191
"28",2005-08-29,2005,"241",38166.5425446061,13.1054365462541
"29",2005-09-26,2005,"269",28135.5922604468,10.0022030485888
"30",2005-11-02,2005,"306",589624.150849363,92.2761796079253
"31",2005-11-30,2005,"334",457509.195887265,71.8289437543006
"32",2006-03-06,2006,"065",95416.3563615152,14.0262043851427
"33",2006-04-04,2006,"094",88810.6086134103,12.7887276403311
"34",2006-04-17,2006,"107",423257.170526721,57.7746037768974
"35",2006-05-02,2006,"122",278909.349364429,32.0745751769093
"36",2006-05-15,2006,"135",349859.973325556,46.3564464656361
"37",2006-05-30,2006,"150",264229.909924196,24.0449218031018
"38",2006-06-12,2006,"163",362092.83952575,64.5430486454649
"39",2006-06-26,2006,"177",281355.922604468,16.3186435110591
"40",2006-07-10,2006,"191",276462.77612439,65.5907936355116
"41",2006-07-24,2006,"205",174196.014690766,6.27105652886758
"42",2006-08-07,2006,"219",151442.883558405,50.979460677848
"43",2006-08-21,2006,"233",100798.817489601,1.81437871481281
"44",2006-09-06,2006,"249",98352.2442495618,38.222140921486
"45",2006-10-02,2006,"275",115722.914253838,40.8501887316047
"46",2006-10-30,2006,"303",897892.379094258,128.398610210479
"47",2006-11-27,2006,"331",702166.51989115,92.6859806256318
"48",2007-01-03,2007,"003",269123.056404274,35.1878396248588
"49",2007-02-19,2007,"050",259336.763444118,35.5939707827052
"50",2007-04-02,2007,"092",738865.118491733,95.3136002854336
"51",2007-04-16,2007,"106",959056.710095229,114.847041033904
"52",2007-04-30,2007,"120",724185.6790515,57.93485432412
"53",2007-05-14,2007,"134",645895.335370257,60.391213857119
"54",2007-05-29,2007,"149",381665.425446061,28.2432414830085
"55",2007-06-11,2007,"162",134561.528202137,21.8326079507967
"56",2007-06-25,2007,"176",85140.748753352,5.70443016647458
"57",2007-07-09,2007,"190",65078.8481850334,15.179641339159
"58",2007-07-23,2007,"204",109606.481153741,3.39780091576596
"59",2007-08-06,2007,"218",34007.36803654,11.243686057081
"60",2007-08-20,2007,"232",381665.425446061,9.92330106159758
"61",2007-09-04,2007,"247",709506.239611267,247.440301064429
"62",2007-10-01,2007,"274",308268.228244895,113.750976222366
"63",2007-10-29,2007,"302",555372.125488819,80.5289581958788
"64",2007-11-26,2007,"330",572498.138169091,83.2984791036027
"65",2008-02-13,2008,"044",408577.731086488,65.0660036755232
"66",2008-04-14,2008,"105",1030007.33405636,139.82349559815
"67",2008-04-28,2008,"119",836728.048093287,24.2651133947053
"68",2008-05-12,2008,"133",1083831.94533721,60.6945889388838
"69",2008-05-28,2008,"149",579837.857889208,41.7483257680229
"70",2008-06-09,2008,"161",797582.876252665,109.767343344273
"71",2008-06-23,2008,"175",1338275.56230125,173.975823099163
"72",2008-07-07,2008,"189",535799.539568508,112.11605365471
"73",2008-07-21,2008,"203",1005541.60165597,53.2937048877663
"74",2008-08-04,2008,"217",484421.501527692,163.673914828669
"75",2008-08-18,2008,"231",560265.271968897,21.2900803348181
"76",2008-09-05,2008,"249",374325.705725944,146.08060665955
"77",2008-09-29,2008,"273",384111.9986861,135.207423537507
"78",2008-10-29,2008,"303",398791.438126333,56.8277799330024
"79",2009-01-21,2009,"021",530906.393088431,63.7087671706117
"80",2009-04-15,2009,"105",1098511.38477744,153.242338176453
"81",2009-04-27,2009,"117",550478.979008741,81.4708888932937
"82",2009-05-11,2009,"131",963949.856575307,128.928293316947
"83",2009-05-28,2009,"148",692380.226930995,101.779893358856
"84",2009-06-09,2009,"160",418364.024046643,57.8388263244485
"85",2009-06-23,2009,"174",322947.667685128,50.0568884911949
"86",2009-07-06,2009,"187",318054.521205051,74.9813533740907
"87",2009-07-20,2009,"201",141901.247922253,15.0415322797589
"88",2009-08-05,2009,"217",139943.989330222,41.4758998377446
"89",2009-08-19,2009,"231",133827.556230125,5.88841247412551
"90",2009-09-02,2009,"245",161229.17651856,46.1720054255027
"91",2009-09-30,2009,"273",379218.852206022,128.175972045635
"92",2009-10-28,2009,"301",396344.864886294,68.3694891928857
"93",2009-12-03,2009,"337",743758.264971811,113.795014540687
"94",2010-02-01,2010,"032",347413.400085517,45.8585688112882
"95",2010-03-29,2010,"088",186918.195538968,22.4301834646762
"96",2010-04-13,2010,"103",389005.145166177,30.1478987503787
"97",2010-04-26,2010,"116",391451.718406216,24.6614582595916
"98",2010-05-10,2010,"130",182269.706382894,10.389373263825
"99",2010-05-24,2010,"144",655681.628330412,41.307942584816
"100",2010-06-07,2010,"158",472188.635327498,67.6410220106641
"101",2010-06-21,2010,"172",330287.387405245,11.2297711717783
"102",2010-07-05,2010,"186",523566.673368314,113.548522286753
"103",2010-07-19,2010,"200",704613.093131189,26.7752975389852
"104",2010-08-03,2010,"215",457509.195887265,116.378901703823
"105",2010-08-16,2010,"228",376772.278965983,12.8102574848434
"106",2010-08-30,2010,"242",352306.546565595,101.244093819288
"107",2010-10-05,2010,"278",699719.946651111,238.954361781354
"108",2010-11-09,2010,"313",626322.749449946,63.2585976944445
"109",2011-01-19,2011,"019",364539.412765789,45.7496963021065
"110",2011-04-18,2011,"108",631215.895930023,42.2914650273116
"111",2011-05-02,2011,"122",689933.653690956,40.0161519140754
"112",2011-05-17,2011,"137",677700.787490762,48.7944566993348
"113",2011-05-31,2011,"151",587177.577609324,43.45114074309
"114",2011-06-13,2011,"164",393898.291646255,50.8128796223669
"115",2011-07-11,2011,"192",187652.16751098,40.3921290567384
"116",2011-07-25,2011,"206",142635.219894265,3.13797483767383
"117",2011-08-04,2011,"216",142879.877218269,37.0237481841839
"118",2011-08-22,2011,"234",136763.444118172,2.18821510589075
"119",2011-09-12,2011,"255",128445.09510204,43.1736075911731
"120",2011-10-03,2011,"276",125019.892565985,41.7566441170391
"121",2011-10-31,2011,"304",455062.622647226,51.6496076704602
"122",2012-02-22,2012,"053",271569.629644312,17.1994098774731
"123",2012-02-28,2012,"059",269123.056404274,NA
"124",2012-03-21,2012,"081",96150.3283335268,6.63437265501335
"125",2012-04-04,2012,"095",93459.0977694841,4.76641398624369
"126",2012-04-17,2012,"108",172238.756098735,11.0806933090186
"127",2012-05-01,2012,"122",237317.604283769,15.6629618827287
"128",2012-05-14,2012,"135",491761.221247809,44.0126293016789
"129",2012-05-29,2012,"150",136518.786794168,6.82593933970839
"130",2012-06-11,2012,"163",61164.3310009713,9.66396429815346
"131",2012-06-25,2012,"177",49420.7794487848,1.53204416291233
"132",2012-07-10,2012,"192",83917.4621333326,18.4618416693332
"133",2012-07-23,2012,"205",59696.3870569479,1.07453496702506
"134",2012-08-06,2012,"219",64834.1908610295,16.7110126944304
"135",2012-08-20,2012,"233",68993.3653690956,1.17288721127463
"136",2012-09-04,2012,"248",62632.2749449946,19.2985697174265
"137",2012-10-01,2012,"275",75109.7984691927,23.3215924246843
"138",2012-10-29,2012,"303",234871.03104373,14.5620039247112
"139",2012-11-29,2012,"334",469742.062087459,40.867559401609
"140",2013-02-12,2013,"043",254443.61696404,NA
"141",2013-04-29,2013,"119",780456.863572393,54.6319804500675
"142",2013-05-14,2013,"134",692380.226930995,45.0047147505147
"143",2013-05-28,2013,"148",572498.138169091,28.6249069084546
"144",2013-06-10,2013,"161",508887.233928081,72.5164308347515
"145",2013-06-24,2013,"175",506440.660688042,15.1932198206413
"146",2013-07-08,2013,"189",760884.277652082,165.492330389328
"147",2013-07-22,2013,"203",856300.634013598,25.6890190204079
"148",2013-08-05,2013,"217",467295.48884742,115.071514128677
"149",2013-08-21,2013,"233",91991.1538254608,1.83982307650922
"150",2013-09-04,2013,"247",81470.8888932937,18.9710784137241
"151",2013-09-30,2013,"273",156825.34468649,38.4222094481901
"152",2013-10-29,2013,"302",447722.90292711,35.8178322341688
"153",2013-12-02,2013,"336",689933.653690956,55.1946922952765
"154",2014-02-03,2014,"034",230711.856535664,24.6092646971375
"155",2014-04-29,2014,"119",643448.762130218,53.084522875743
"156",2014-05-14,2014,"134",609196.736769674,48.7357389415739
"157",2014-05-28,2014,"148",469742.062087459,28.1845237252476
"158",2014-06-09,2014,"160",403684.58460641,44.9099100374631
"159",2014-06-23,2014,"174",344966.826845478,10.3490048053643
"160",2014-07-07,2014,"188",455062.622647226,86.461898302973
"161",2014-08-04,2014,"216",254443.61696404,51.5248324352182
"162",2014-08-20,2014,"232",87098.0073453831,2.61294022036149
"163",2014-09-02,2014,"245",105202.649321671,22.6185696041592
"164",2014-09-28,2014,"271",215787.759771427,NA
"165",2014-10-30,2014,"303",555372.125488819,52.7603519214378
"166",2015-02-11,2015,"042",274016.202884351,40.0063656211153
"167",2015-04-10,2015,"100",95416.3563615152,9.73246834887455
"168",2015-04-24,2015,"114",67036.1067770645,5.26233438199956
"169",2015-05-01,2015,"121",366985.986005828,21.6521731743438
"170",2015-05-13,2015,"133",288695.642324584,19.1982602145849
"171",2015-05-27,2015,"147",225329.395407578,10.3651521887486
"172",2015-06-08,2015,"159",298481.93528474,39.7407376693396
"173",2015-06-23,2015,"174",249550.470483963,13.22617493565
"174",2015-07-08,2015,"189",163920.407082603,37.7631637816547
"175",2015-08-03,2015,"215",135295.500174148,26.8696863345859
"176",2015-08-18,2015,"230",149240.96764237,3.43254225577451
"177",2015-08-31,2015,"243",98352.2442495618,27.833685122626
"178",2015-10-07,2015,"280",516226.953648198,136.0258022863
"179",2015-11-02,2015,"306",276462.77612439,25.9875009556927
"180",2016-01-27,2016,"027",499100.940967926,45.0438599223553
"181",2016-03-28,2016,"088",232424.457803691,18.826381082099
"182",2016-04-12,2016,"103",206001.466811271,13.1840938759214
"183",2016-04-25,2016,"116",423257.170526721,16.5070296505421
"184",2016-05-11,2016,"132",413470.877566566,25.2217235315605
"185",2016-05-23,2016,"144",340073.6803654,15.303315616443
"186",2016-06-07,2016,"159",271569.629644312,31.3323460202125
"187",2016-06-20,2016,"172",133338.241582117,3.46679428113505
"188",2016-07-05,2016,"187",283802.495844507,75.9779824589436
"189",2016-07-18,2016,"200",168079.581590669,3.69775079499472
"190",2016-08-01,2016,"214",269123.056404274,55.3720688551793
"191",2016-08-15,2016,"228",310714.801484934,7.14644043415348
