OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427255,"KOSHKONONG SEWAGE TREATMENT AT SUN PRIARIE, WI",Stream,,7090002,3.06,sq mi,,,43.1774936,-89.21567,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427256,"STP EFFLUENT CHANNEL AT SUN PRAIRIE, WI",Stream,,7090002,,,,,43.1774936,-89.21567,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427257,"KOSHKONONG CR 50' DS STP OUTFALL SUN PRAIRIE, WI",Stream,,7090002,,,,,43.1774936,-89.21567,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427258,"KOSHKONONG CR .8M DS STP OUTFALL SUN PRAIRIE, WI",Stream,,7090002,5,sq mi,,,43.1694383,-89.2212257,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427260,"KOSHKONONG CR 1.52M DS F OUTFALL SUN PRAIRIE, WI",Stream,,7090002,5.25,sq mi,,,43.16221625,-89.2270593,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427264,"KOSHKONONG CR 2.02M DS FR STP AT SUN PRAIRIE, WI",Stream,,7090002,,,,,43.1583274,-89.2370595,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427265,"KOSHKONONG CR 2.69M DS FR STP AT SUN PRAIRIE, WI",Stream,,7090002,7.16,sq mi,,,43.1583273,-89.245393,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427267,"KOSHKONONG CREEK TRIBUTARY NEAR SUN PRAIRIE, WI",Stream,,7090002,4.68,sq mi,,,43.15860509,-89.245393,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427268,"KOSHKONONG CR 3.19M DS FR STP AT SUN PRAIRIE, WI",Stream,,7090002,,,,,43.15416079,-89.24594869,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427270,"KOSHKONONG CREEK NEAR SUN PRAIRIE, WI",Stream,,7090002,12.7,sq mi,,,43.1494388,-89.2370596,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427271,"KOSHKONONG CREEK AT FARM DR NEAR SUN PRAIRIE, WI",Stream,,7090002,14.4,sq mi,,,43.1477723,-89.2245593,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427275,"KOSHKONONG CREEK AT CTH T NEAR SUN PRAIRIE, WI",Stream,,7090002,18.9,sq mi,,,43.14193925,-89.2131702,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427278,"KOSHKONONG CREEK AT CTH N NEAR COTTAGE GROVE, WI",Stream,,7090002,23.6,sq mi,,,43.1263843,-89.19817,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427283,"KOSHKONONG CREEK AT CTH TT NEAR COTTAGE GROVE, WI",Stream,,7090002,28,sq mi,,,43.1152737,-89.1806696,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427369,"MUD CREEK TRIBUTARY AT STP AT DEERFIELD, WI",Stream,,7090002,0.1,sq mi,,,43.05555445,-89.0712228,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05427370,"MUD CREEK TRIB 0.3 MI DS FROM STP AT DEERFIELD, WI",Stream,,7090002,0.64,sq mi,,,43.0577766,-89.0712228,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,55,25,,,,,,,,,,NWIS
