year4,sampledate,depth_range_m,mo,daynum,Chl_ugL,Use_Jdate
1995,7/18/1995,0-8,7,199,13.8,196
1995,8/2/1995,0-8,8,214,1.3,211
1995,8/14/1995,0-8,8,226,2.7,227
1995,8/30/1995,0-8,8,242,2.6,242
1995,9/11/1995,0-8,9,254,1.8,258
1996,7/22/1996,0-8,7,204,56.8,196
1996,8/5/1996,0-8,8,218,23.9,211
1996,8/19/1996,0-8,8,232,15.5,227
1996,9/5/1996,0-8,9,249,7.5,242
1996,9/16/1996,0-8,9,260,10,258
1997,7/9/1997,0-8,7,190,5.6,196
1998,7/6/1998,0-8,7,187,22.4,196
1998,8/2/1998,0-8,8,214,14,211
1998,8/18/1998,0-8,8,230,13,227
1998,9/28/1998,0-8,9,271,8.7,242
1999,7/19/1999,0-8,7,200,22.2,196
1999,8/2/1999,0-8,8,214,17.7,211
1999,8/16/1999,0-8,8,228,14.4,227
1999,8/30/1999,0-8,8,242,12.8,242
1999,9/27/1999,0-8,9,270,16,258
2000,7/17/2000,0-8,7,199,23.2,196
2000,7/31/2000,0-8,7,213,18.1,211
2000,8/16/2000,0-8,8,229,18.9,227
2000,8/28/2000,0-8,8,241,19.1,242
2000,9/25/2000,0-8,9,269,7.1,258
2001,7/16/2001,0-8,7,197,7.1,196
2001,7/30/2001,0-8,7,211,11.9,211
2001,8/13/2001,0-8,8,225,8.1,227
2001,8/27/2001,0-8,8,239,11.1,242
2001,9/12/2001,0-8,9,255,8.5,258
2008,7/21/2008,0-8,7,203,6.8,196
2008,8/4/2008,0-8,8,217,10.8,211
2008,9/5/2008,0-8,9,249,3,227
2009,7/20/2009,0-8,7,201,13.4,196
2009,8/5/2009,0-8,8,217,19.3,211
2009,8/19/2009,0-8,8,231,13.3,227
2009,9/2/2009,0-8,9,245,11.1,242
2010,7/19/2010,0-8,7,200,10.9,196
2010,8/3/2010,0-8,8,215,5,211
2010,8/16/2010,0-8,8,228,8.5,227
2010,8/30/2010,0-8,8,242,6.9,242
2011,7/11/2011,0-8,7,192,6.5,196
2011,7/25/2011,0-8,7,206,6.9,211
2011,8/4/2011,0-8,8,216,2.1,227
2011,8/22/2011,0-8,8,234,5.5,242
2011,9/12/2011,0-8,9,255,5.7,258
2012,7/10/2012,0-8,7,192,1.6,196
2012,7/23/2012,0-8,7,205,3.9,211
2012,8/6/2012,0-8,8,219,2.8,227
2012,8/20/2012,0-8,8,233,4.1,242
2012,9/4/2012,0-8,9,248,4,258
2013,7/8/2013,0-8,7,189,11.2,196
2013,7/22/2013,0-8,7,203,14.8,211
2013,8/5/2013,0-8,8,217,11.4,227
2013,8/21/2013,0-8,8,233,4.6,242
2013,9/4/2013,0-8,9,247,6.5,258
2014,7/21/2014,0-8,7,202,10.1,196
2014,8/4/2014,0-8,8,216,7.4,211
2014,8/20/2014,0-8,8,232,4.6,227
2014,9/2/2014,0-8,9,245,7.4,242
2014,9/28/2014,0-8,9,271,6.9,258
2015,7/20/2015,0-8,7,201,14.4,196
2015,8/3/2015,0-8,8,215,8,211
2015,8/18/2015,0-8,8,230,8.7,227
2015,8/31/2015,0-8,8,243,10.6,242
2016,7/18/2016,0-8,7,200,2.7,196
2016,8/1/2016,0-8,8,214,4.8,211
2016,8/15/2016,0-8,8,228,3.9,227
2016,8/30/2016,0-8,8,243,3.5,242
2017,7/10/2017,0-8,7,191,0,196
2017,7/24/2017,0-8,7,205,0,211
2017,8/7/2017,0-8,8,219,0,227
2017,8/23/2017,0-8,8,235,0,242
2017,9/6/2017,0-8,9,249,0,258
2018,7/23/2018,0-8,7,204,11.6,196
2018,8/6/2018,0-8,8,218,7.3,211
2018,8/22/2018,0-8,8,234,9,227
2018,9/4/2018,0-8,9,247,5.9,242
2018,9/19/2018,0-8,9,262,4.9,258
