"","MoYr","TotP_mgL","DisP_mgL"
"1",1,0.137,0.099
"2",2,0.132,0.128
"3",3,0.117,0.101
"4",4,0.134,0.12
"5",5,0.091,0.078
"6",6,0.121,0.097
"7",7,0.133,0.115
"8",8,0.152,0.127
"9",9,0.093,0.071
"10",10,0.087,0.052
"11",11,0.11,0.082
"12",12,0.111,0.1
"13",13,0.123,0.116
"14",14,0.144,0.158
"15",15,0.137,0.123
"16",16,0.111,0.091
"17",17,0.113,0.097
"18",18,0.127,0.112
"19",19,0.145,0.122
"20",20,0.136,0.112
"21",21,0.058,0.029
"22",22,0.111,0.065
"23",23,0.141,0.09
"24",24,0.1345,0.0965
"25",25,0.14,0.106
"26",26,0.111,0.089
"27",27,0.142,0.091
"28",28,0.104,0.068
"29",29,0.113,0.061
"30",30,0.15,0.135
"31",31,0.12,0.014
"32",32,0.069,0.012
"33",33,0.081,0.011
"34",34,0.121,0.0605
"35",35,0.141,0.0985
"36",36,0.114,0.076
"37",37,0.1105,0.095
"38",38,0.083,0.054
"39",39,0.0935,0.05
"40",40,0.0855,0.055
"41",41,0.0696666666666667,0.0483333333333333
"42",42,0.0755,0.0425
"43",43,0.1245,0.0945
"44",44,0.1395,0.118
"45",45,0.108,0.081
"46",46,0.085,0.0175
"47",47,0.1565,0.1245
"48",48,0.083,0.016
"49",49,0.066,0.007
"50",50,0.051,0.013
"51",51,0.07,0.01
"52",52,0.08,0.04
"53",53,0.0915,0.029
"54",54,0.045,0.005
"55",55,0.138,0.073
"56",56,0.091,0.063
"57",57,0.104333333333333,0.086
"58",58,0.132666666666667,0.101333333333333
"59",59,0.0935,0.085
"60",60,0.1075,0.087
"61",61,0.0695,0.043
"62",62,0.083,0.068
"63",63,0.088,0.0685
"64",64,0.052,0.04
"65",65,0.0685,0.0475
"66",66,0.1565,0.089
"67",67,0.111666666666667,0.0926666666666667
"68",68,0.078,0.0605
"69",69,0.0545,0.041
"70",70,0.1365,0.0955
"71",71,0.0595,0.035
"72",72,0.0653333333333333,0.034
"73",73,0.059,0.0373333333333333
"74",74,0.055,0.02
"75",75,0.065,0.015
"76",76,0.0503333333333333,0.0113333333333333
"77",77,0.047,0.0225
"78",78,0.073,0.033
"79",79,0.085,0.0075
"80",80,0.066,0.0265
"81",81,0.0925,0.0685
"82",82,0.089,0.062
"83",83,0.119,0.053
"84",84,0.089,0.063
"85",85,0.1,0.062
"86",86,0.094,0.066
"87",87,0.075,0.057
"88",88,0.029,0.004
"89",89,0.068,0.0415
"90",90,0.0785,0.042
"91",91,0.068,0.0325
"92",92,0.0705,0.032
"93",93,0.1025,0.048
"94",94,0.1325,0.0685
"95",95,0.0385,0
"96",96,0.066,0.041
"97",97,0.037,0.004
"98",98,0.035,0.01
"99",99,0.055,0.005
"100",100,0.057,0.014
"101",101,0.0245,0
"102",102,0.076,0.017
"103",103,0.067,0.0245
"104",104,0.038,0.0015
"105",105,0.062,0.0115
"106",106,0.0685,0.042
"107",107,0.0605,0.01
"108",108,0.0615,0.0125
"109",109,0.058,0.017
"110",110,0.039,0.00766666666666667
"111",111,0.026,0
"112",112,0.0225,0.0015
"113",113,0.035,0.0075
"114",114,0.054,0
"115",115,0.039,0.0015
"116",116,0.0285,0
"117",117,0.1025,0.0205
"118",118,0.1155,0.027
"119",119,0.042,0
"120",120,0.0265,0
"121",121,0.018,0
"122",122,0.035,0
"123",123,0.05,0
"124",124,0.043,0
"125",125,0.024,0
"126",126,0.0465,0.0025
"127",127,0.041,0
"128",128,0.025,0.000666666666666667
"129",129,0.0335,0.001
"130",130,0.049,0.013
"131",131,0.026,0.0015
"132",132,0.037,0.00266666666666667
"133",133,0.041,0
"134",134,0.0335,0.001
"135",135,0.022,0
"136",136,0.0205,0.005
"137",137,0.032,0
"138",138,0.0276666666666667,0.00133333333333333
"139",139,0.0225,0
"140",140,0.0245,0
"141",141,0.044,0.003
"142",142,0.057,0
"143",143,0.0316666666666667,0
"144",144,0.017,0.0015
"145",145,0.0175,0
"146",146,0.025,0
"147",147,0.03,0
"148",148,0.0265,0
"149",149,0.021,0.002
"150",150,0.034,0.0035
"151",151,0.0215,0
"152",152,0.041,0.0125
"153",153,0.0215,0.002
"154",154,0.038,0.005
"155",155,0.0355,0.0045
"156",156,0.064,0.025
"157",157,0.084,0.056
"158",158,0.099,0.049
"159",159,0.024,0
"160",160,0.0285,0.009
"161",161,0.021,0
"162",162,0.029,0.002
"163",163,0.026,0.004
"164",164,0.025,0
"165",165,0.034,0
"166",166,0.064,0.018
"167",167,0.02,0
"168",168,0.014,0
"169",169,0.025,0
"170",170,0.02,0
"171",171,0.028,0.001
"172",172,0.0245,0
"173",173,0.1295,0.0945
"174",174,0.116,0.089
"175",175,0.147,0.106
"176",176,0.12,0.104
"177",177,0.136,0.096
"178",178,0.138,0.113
"179",179,0.146,0.125
"180",180,0.124,0.1
"181",181,0.126,0.104
"182",182,0.062,0.028
"183",183,0.118,0.0855
"184",184,0.1015,0.072
"185",185,0.147,0.125
"186",186,0.164,0.139
"187",187,0.066,0.026
"188",188,0.1005,0.0545
"189",189,0.046,0.017
"190",190,0.08,0.05
"191",191,0.09,0.07
"192",192,0.042,0.006
"193",193,0.038,0.005
"194",194,0.022,0
"195",195,0.084,0.0476666666666667
"196",196,0.142,NA
"197",197,0.1345,0.1175
"198",198,0.154,0.153
"199",199,0.148,0.137
"200",200,0.115,0.097
"201",201,0.137,0.123
"202",202,0.136,0.118
"203",203,0.102,0.086
"204",204,0.121,0.095
"205",205,0.121,0.102
"206",206,0.156,0.1365
"207",207,0.135,0.114
"208",208,0.144,0.126
"209",209,0.094,0.062
"210",210,0.112,0.036
"211",211,0.094,0.061
"212",212,0.086,0.05
"213",213,0.101,0.082
"214",214,0.129,0.0985
"215",215,0.122,0.093
"216",216,0.153,0.128
"217",217,0.08,0.05
"218",218,0.122,0.091
