"","MoYr","TotP_mgL","DisP_mgL"
"1",1,0.24,0.232
"2",2,0.115,0.097
"3",3,0.251,0.225
"4",4,0.091,0.076
"5",5,0.137,0.108
"6",6,0.131,0.114
"7",7,0.025,0
"8",8,0.23,0.207
"9",9,0.111,0.078
"10",10,0.146,0.136
"11",11,0.275,0.272
"12",12,0.151,0.234
"13",13,0.237,0.211
"14",14,0.2,0.166
"15",15,0.104,0.097
"16",16,0.171,0.144
"17",17,0.186,0.157
"18",18,0.128,0.104
"19",19,0.16,0.14
"20",20,0.239,0.196
"21",21,0.23,0.171
"22",22,0.114,0.09
"23",23,0.133,0.117
"24",24,0.104,0.067
"25",25,0.157,0.128
"26",26,0.113,0.095
"27",27,0.103,0.055
"28",28,0.09,0.054
"29",29,0.076,0.054
"30",30,0.079,0.05
"31",31,0.084,0.047
"32",32,0.136,0.104
"33",33,0.138,0.117
"34",34,0.118,0.086
"35",35,0.136,0.027
"36",36,0.071,0.113
"37",37,0.07,0.028
"38",38,0.068,0.009
"39",39,0.054,0.035
"40",40,0.08,0.02
"41",41,0.08,0.03
"42",42,0.075,0.035
"43",43,0.065,0.013
"44",44,0.087,0.032
"45",45,0.131,0.064
"46",46,0.084,NA
"47",47,0.129,0.112
"48",48,0.099,0.082
"49",49,0.136,0.108
"50",50,0.1,0.072
"51",51,0.057,0.039
"52",52,0.093,0.069
"53",53,0.113,0.096
"54",54,0.136,0.11
"55",55,0.105,0.084
"56",56,0.075,0.053
"57",57,0.149,0.127
"58",58,0.058,0.025
"59",59,0.076,0.043
"60",60,0.118,0.093
"61",61,0.07,0.03
"62",62,0.09,0.05
"63",63,0.087,0.05
"64",64,0.073,0.039
"65",65,0.104,0.078
"66",66,0.122,0.088
"67",67,0.2665,0.208
"68",68,0.19,0.158
"69",69,0.1755,0.148
"70",70,0.292,0.284
"71",71,0.2125,0.1765
"72",72,0.15,0.1295
"73",73,0.2145,0.2195
"74",74,0.166,0.1475
"75",75,0.143,0.123
"76",76,0.142,0.128
"77",77,0.1705,0.162
"78",78,0.2445,0.2145
"79",79,0.252,0.211
"80",80,0.218,0.1835
"81",81,0.1745,0.1355
"82",82,0.2245,0.1915
"83",83,0.1965,0.1665
"84",84,0.256,0.228
"85",85,0.28,0.23
"86",86,0.165,0.135
"87",87,0.1955,0.175
"88",88,0.1775,0.1395
"89",89,0.223,0.162
"90",90,0.1985,0.183
"91",91,0.3805,0.376
"92",92,0.2685,0.256
"93",93,0.335,0.325
"94",94,0.3415,0.305
"95",95,0.3815,0.3585
"96",96,0.37575,0.332
"97",97,0.43575,0.39525
"98",98,0.3885,0.344
"99",99,0.298,0.2565
"100",100,0.2055,0.189
"101",101,0.3695,0.3245
"102",102,0.3605,0.3345
"103",103,0.448,0.42
"104",104,0.225,0.2105
"105",105,0.3645,0.3095
"106",106,0.366,0.3045
"107",107,0.3695,0.3115
"108",108,0.426,0.3795
"109",109,0.315,0.265
"110",110,0.305,0.23
"111",111,0.37,0.317
"112",112,0.4575,0.283
"113",113,0.31,0.247
"114",114,0.278,0.2495
"115",115,0.4795,0.4255
"116",116,0.42,0.42
"117",117,0.31,0.283
"118",118,0.494,0.241
"119",119,0.78025,0.4655
"120",120,0.593,0.5495
"121",121,0.6125,0.479
"122",122,0.269,0.4775
"123",123,0.4365,0.4
"124",124,0.48,0.4425
"125",125,0.557,0.47725
"126",126,0.535,0.4825
"127",127,0.5815,0.538
"128",128,0.5565,0.4825
"129",129,0.4615,0.4135
"130",130,0.49925,0.44325
"131",131,0.504,0.492
"132",132,0.51,0.488
"133",133,0.38,0.34
"134",134,0.385,0.345
"135",135,0.4225,0.3435
"136",136,0.398,0.31325
"137",137,0.404,0.3555
"138",138,0.3345,0.2985
"139",139,0.5755,0.52
"140",140,0.5945,0.035
"141",141,0.668,0.56
"142",142,0.7565,0.695
"143",143,0.6005,0.581
"144",144,0.6545,0.6275
"145",145,0.607,0.54
"146",146,0.56,0.9595
"147",147,0.5685,0.521
"148",148,0.682,0.632
"149",149,0.689,0.7005
"150",150,0.632,0.5935
"151",151,0.6765,0.63625
"152",152,0.57775,0.5215
"153",153,0.6435,0.5615
"154",154,0.6115,0.5495
"155",155,0.45,0.41
"156",156,0.405,0.365
"157",157,0.493,0.45
"158",158,0.402,0.373
"159",159,0.721,0.67
"160",160,0.759,0.72
"161",161,0.131,0.096
"162",162,0.209,0.178
"163",163,0.155,0.118
"164",164,0.106,0.083
"165",165,0.133,0.105
"166",166,0.552,0.532
"167",167,0.378,0.3335
"168",168,0.4125,0.3895
"169",169,0.138,0.11
"170",170,0.181,0.144
"171",171,0.617,0.555
"172",172,0.347,0.3105
"173",173,0.3265,0.296
"174",174,0.08,0.05
"175",175,0.1,0.06
"176",176,0.485,0.486
"177",177,0.432,0.383
"178",178,0.544,0.538
"179",179,0.278,0.2785
"180",180,0.134,0.126
"181",181,0.161,0.156
"182",182,0.116,0.096
"183",183,0.138,0.123
"184",184,0.132,0.117
"185",185,0.1005,0.084
"186",186,0.118,0.099
"187",187,0.119,0.096
"188",188,0.1575,0.136
"189",189,0.129,0.114
"190",190,0.147,0.125
"191",191,0.108,0.061
"192",192,0.065,0.037
"193",193,0.094,0.059
"194",194,0.388,0.27
"195",195,0.1,0.082
"196",196,0.132,0.11
"197",197,0.08,0.06
"198",198,0.124,0.094
