"","MoYr","HE_ratio_TotP_mgL","HE_ratio_DisP_mgL","TotP_mgL_Epi","TotP_mgL_Hypo","DisP_mgL_Epi","DisP_mgL_Hypo"
"1",10592,1.81818181818182,1.8125,0.132,0.24,0.128,0.232
"2",10957,0.982905982905983,0.96039603960396,0.117,0.115,0.101,0.097
"3",11323,1.87313432835821,1.875,0.134,0.251,0.12,0.225
"4",12053,1,0.974358974358974,0.091,0.091,0.078,0.076
"5",12784,1.13223140495868,1.11340206185567,0.121,0.137,0.097,0.108
"6",13514,0.984962406015038,0.991304347826087,0.133,0.131,0.115,0.114
"7",14245,0.164473684210526,0,0.152,0.025,0.127,0
"8",14975,2.47311827956989,2.91549295774648,0.093,0.23,0.071,0.207
"9",16801,1.27586206896552,1.5,0.087,0.111,0.052,0.078
"10",17532,1.32727272727273,1.65853658536585,0.11,0.146,0.082,0.136
"11",9527,2.47747747747748,2.72,0.111,0.275,0.1,0.272
"12",9893,1.22764227642276,2.01724137931034,0.123,0.151,0.116,0.234
"13",10623,1.72992700729927,1.71544715447154,0.137,0.237,0.123,0.211
"14",10988,1.8018018018018,1.82417582417582,0.111,0.2,0.091,0.166
"15",12449,0.920353982300885,1,0.113,0.104,0.097,0.097
"16",13545,1.34645669291339,1.28571428571429,0.127,0.171,0.112,0.144
"17",13910,1.28275862068966,1.28688524590164,0.145,0.186,0.122,0.157
"18",14641,0.941176470588235,0.928571428571428,0.136,0.128,0.112,0.104
"19",16467,2.15315315315315,3.01538461538462,0.111,0.239,0.065,0.196
"20",17198,1.63120567375887,1.9,0.141,0.23,0.09,0.171
"21",11017,1.02702702702703,1.01123595505618,0.111,0.114,0.089,0.09
"22",11382,0.936619718309859,1.28571428571429,0.142,0.133,0.091,0.117
"23",11747,1,0.985294117647059,0.104,0.104,0.068,0.067
"24",10317,1.37719298245614,1.68421052631579,0.114,0.157,0.076,0.128
"25",10682,1.02262443438914,1,0.1105,0.113,0.095,0.095
"26",11048,1.24096385542169,1.01851851851852,0.083,0.103,0.054,0.055
"27",11413,0.962566844919786,1.08,0.0935,0.09,0.05,0.054
"28",11778,0.888888888888889,0.981818181818182,0.0855,0.076,0.055,0.054
"29",12143,1.13397129186603,1.03448275862069,0.0696666666666667,0.079,0.0483333333333333,0.05
"30",12509,1.11258278145695,1.10588235294118,0.0755,0.084,0.0425,0.047
"31",12874,1.09236947791165,1.1005291005291,0.1245,0.136,0.0945,0.104
"32",13239,0.989247311827957,0.991525423728814,0.1395,0.138,0.118,0.117
"33",13604,1.09259259259259,1.06172839506173,0.108,0.118,0.081,0.086
"34",13970,1.6,1.54285714285714,0.085,0.136,0.0175,0.027
"35",14335,0.453674121405751,0.907630522088353,0.1565,0.071,0.1245,0.113
"36",14700,0.843373493975904,1.75,0.083,0.07,0.016,0.028
"37",15065,1.03030303030303,1.28571428571429,0.066,0.068,0.007,0.009
