SiteID,Collection_Date,Depth_ft,Division,Genus,Species,FinalTaxaType, TaxaSpecific_Cell_Density_cellsmL , SampleSpecific_Cell_Relative_Abundance_perc , TaxaSpecific_Biovolume_Density_um3mL , SampleSpecific_Biovolume_Relative_Abundance_perc 
BUO,7/22/1998,0,Cyanobacteria,Anabaena,sp.,Cyanobacteria,62.00,0.55,43230701.00,0.15
BUO,7/22/1998,0,Cyanobacteria,Dolichospermum,sigmoideum,Cyanobacteria,31.00,0.28,53333640.00,0.18
BUO,7/22/1998,0,Cyanobacteria,Dolichospermum,flosaquae,Cyanobacteria,10.00,0.09,17222321.00,0.06
BUO,7/22/1998,0,Cyanobacteria,Aphanocapsa,delicatissima,Cyanobacteria,1389.00,12.46,8194491563.00,27.55
BUO,7/22/1998,0,Cyanobacteria,NA,NA,Cyanobacteria,247.00,2.22,2500014375.00,8.41
BUO,7/22/1998,0,Cyanobacteria,Aphanothece,nidulans,Cyanobacteria,62.00,0.55,246482899.00,0.83
BUO,7/22/1998,0,Cyanobacteria,Chroococcus,sp.,Cyanobacteria,10.00,0.09,25277923.00,0.08
BUO,7/22/1998,0,Cyanobacteria,Chroococcus,minimus,Cyanobacteria,165.00,1.48,277861680.00,0.93
BUO,7/22/1998,0,Cyanobacteria,Limnococcus,limneticus,Cyanobacteria,10.00,0.09,13024766.00,0.04
BUO,7/22/1998,0,Cyanobacteria,Chroococcus,prescottii,Cyanobacteria,113.00,1.02,115885440.00,0.39
BUO,7/22/1998,0,Cyanobacteria,Planktolyngbya,limnetica,Cyanobacteria,51.00,0.46,2160506.00,0.01
BUO,7/22/1998,0,Cyanobacteria,Merismopedia,tenuissima,Cyanobacteria,298.00,2.68,20884894.00,0.07
BUO,7/22/1998,0,Cyanobacteria,Microcystis,aeruginosa,Cyanobacteria,21.00,0.18,180824085.00,0.61
BUO,7/22/1998,0,Cyanobacteria,Aphanocapsa,incerta,Cyanobacteria,1008.00,9.05,653337090.00,2.2
BUO,7/22/1998,0,Cyanobacteria,Oscillatoria,sp.,Cyanobacteria,185.00,1.66,38889113.00,0.13
BUO,7/22/1998,0,Cyanobacteria,Rhabdoderma,lineare,Cyanobacteria,10.00,0.09,283561301.00,0.95
BUO,7/22/1998,0,Cyanobacteria,Anabaena,sp.,Cyanobacteria,115.00,1.03,107019510.00,0.36
BUO,7/22/1998,0,Cyanobacteria,Dolichospermum,sigmoideum,Cyanobacteria,92.00,0.83,159045120.00,0.53
BUO,7/22/1998,0,Cyanobacteria,Aphanocapsa,delicatissima,Cyanobacteria,1392.00,12.49,8213419500.00,27.62
BUO,7/22/1998,0,Cyanobacteria,NA,NA,Cyanobacteria,483.00,4.34,4892501250.00,16.45
BUO,7/22/1998,0,Cyanobacteria,Aphanothece,nidulans,Cyanobacteria,184.00,1.65,735031440.00,2.47
BUO,7/22/1998,0,Cyanobacteria,Chroococcus,minimus,Cyanobacteria,173.00,1.55,291306600.00,0.98
BUO,7/22/1998,0,Cyanobacteria,Limnococcus,limneticus,Cyanobacteria,12.00,0.1,14565330.00,0.05
BUO,7/22/1998,0,Cyanobacteria,Chroococcus,prescottii,Cyanobacteria,219.00,1.96,223841280.00,0.75
BUO,7/22/1998,0,Cyanobacteria,Planktolyngbya,limnetica,Cyanobacteria,12.00,0.1,483210.00,0
BUO,7/22/1998,0,Cyanobacteria,Merismopedia,tenuissima,Cyanobacteria,276.00,2.48,19328400.00,0.06
BUO,7/22/1998,0,Cyanobacteria,Microcystis,aeruginosa,Cyanobacteria,46.00,0.41,404423760.00,1.36
BUO,7/22/1998,0,Cyanobacteria,Aphanocapsa,incerta,Cyanobacteria,1024.00,9.19,663516360.00,2.23
BUO,7/22/1998,0,Cyanobacteria,Oscillatoria,sp.,Cyanobacteria,104.00,0.93,21744450.00,0.07
BUO,7/22/1998,0,Cyanobacteria,Raphidiopsis,curvata,Cyanobacteria,35.00,0.31,10354500.00,0.03
BUO,7/22/1998,0,Cyanobacteria,Rhabdoderma,irregulare,Cyanobacteria,12.00,0.1,67304250.00,0.23
BUO,7/22/1998,5,Cyanobacteria,Anabaena,sp.,Cyanobacteria,76.00,0.65,50125193.00,0.16
BUO,7/22/1998,5,Cyanobacteria,Dolichospermum,sigmoideum,Cyanobacteria,54.00,0.46,93842182.00,0.3
BUO,7/22/1998,5,Cyanobacteria,Aphanocapsa,delicatissima,Cyanobacteria,1423.00,12.15,8394747955.00,26.58
