Date,Ctime,Rtime,id,depth_ft,Value,Analyte,Unit,Lab_ID,Data_source
3/23/1978,,,CUS,4,1.6,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
3/23/1978,,,EUS,4,0.59,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/24/1978,,,CUS,20,2.2,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/24/1978,,,EOF,32,2.2,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/24/1978,,,EUS,16,3.1,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/20/1978,,,CUS,24,3.6,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/20/1978,,,EOF,28,3,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/20/1978,,,EUS,20,8,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/16/1978,,,EOF,20,4.9,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/17/1978,,,CUS,12,5.5,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/17/1978,,,EUS,8,3.5,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/3/1979,,,EOF,0,1.7,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/3/1979,,,EOF,4,1.6,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/5/1979,,,CUS,0,2.3,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/5/1979,,,CUS,1,3.1,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/5/1979,,,EUS,0,2.9,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/5/1979,,,EUS,1,2.4,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/8/1979,,,CUS,0,1.1,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/8/1979,,,CUS,8,1.5,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/8/1979,,,EOF,0,0.6,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/8/1979,,,EOF,8,1.1,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/8/1979,,,EUS,0,2.6,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/8/1979,,,EUS,8,2.5,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/12/1979,14:00:00,14:00:00,CUS,0,0.54,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/12/1979,,,CUS,12,0.48,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/12/1979,10:00:00,10:00:00,EOF,0,2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/12/1979,,,EOF,12,2.8,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/12/1979,12:00:00,12:00:00,EUS,0,1.1,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/12/1979,,,EUS,8,0.54,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/2/1979,11:00:00,11:00:00,CUS,0,13,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/2/1979,,,CUS,12,11,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/2/1979,9:00:00,9:00:00,EOF,0,12,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/2/1979,,,EOF,16,8.8,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/2/1979,10:00:00,10:00:00,EUS,0,20,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/2/1979,,,EUS,12,13,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/1/1980,13:00:00,13:00:00,CUS,0,1.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/1/1980,,,CUS,4,1.7,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/1/1980,11:00:00,11:00:00,EOF,0,1.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/1/1980,,,EOF,8,0.2,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/1/1980,11:00:00,11:00:00,EUS,0,2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/22/1980,14:00:00,14:00:00,CUS,0,5.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/22/1980,13:00:00,13:00:00,EOF,0,19,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
4/22/1980,13:00:00,13:00:00,EUS,0,7.1,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/18/1980,,,CUS,0,5.8,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/18/1980,11:00:00,11:00:00,EOF,0,4.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/18/1980,,,EOF,16,2.1,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/18/1980,13:00:00,13:00:00,EUS,0,8.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/15/1980,9:00:00,9:00:00,EOF,0,13,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/15/1980,,,EOF,16,2.5,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/15/1980,10:00:00,10:00:00,EUS,0,28,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/5/1980,11:00:00,11:00:00,CUS,0,30,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/5/1980,9:00:00,9:00:00,EOF,0,15,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/5/1980,,,EOF,8,14,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/5/1980,10:00:00,10:00:00,EUS,0,4.9,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/5/1980,,,EUS,4,20,CHLA-Uncorrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
10/15/1980,12:00:00,12:00:00,CUS,0,67,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
10/15/1980,11:00:00,11:00:00,EOF,0,5.4,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
10/15/1980,12:00:00,12:00:00,EUS,0,27,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/10/1981,13:00:00,13:00:00,CUS,0,4.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/10/1981,13:00:00,13:00:00,CUS,10,3.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
