Date,TOTN_kg_ElI,TOTN_kg_CabinRun,TOTN_kg_KainRun,TOTN_kg_SlabCamp,TOTN_kg_SouthHarsh,TOTN_kg_CloverCreek,TOTN_kg_BackCreek,TOTN_kg_UlreyCreek,TOTN_kg_PoplarCreek,TOTN_kg_All,TOTP_kg_ELI,TOTP_kg_CabinRun,TOTP_kg_KainRun,TOTP_kg_SlabCamp,TOTP_kg_SouthHarsh,TOTP_kg_CloverCreek,TOTP_kg_BackCreek,TOTP_kg_UlreyCreek,TOTP_kg_PoplarCreek,TOTP_kg_All
1/1/2000,1.246,0.03093,2.671,0.2699,1319,126.2,1.423,4.852,34.43,1490.12283,0.02046,0.0000139,0.04816,0.005262,40.71,2.154,0.01961,0.2124,0.6343,43.8042059
1/2/2000,29.85,19.38,102.4,27.89,804,633.5,39.05,45.19,244.5,1945.76,5.198,1.086,25.12,2.359,176.1,133,9.676,7.434,43.42,403.393
1/3/2000,124.6,72.17,351.8,103.9,17890,2993,142.1,148.5,1028,22854.07,38.12,6.052,126.9,14.56,8332,1079,57.59,39.1,327.2,10020.522
1/4/2000,52.33,19.01,205.4,60.14,11140,1792,76.58,116.5,603.9,14065.86,11.87,1.316,56.51,6.502,3748,443.4,20.55,17.64,128.5,4434.288
1/5/2000,18.96,7.25,90.74,22.81,8217,1210,39.36,49.36,344.5,9999.98,3.157,0.4128,19.6,2.012,2215,234.7,8.563,4.192,53.6,2541.2368
1/6/2000,10.99,3.267,48.06,12,4560,645.3,21,31.29,184,5515.907,1.233,0.149,7.774,0.8548,987.2,93.92,3.641,1.587,20.21,1116.5688
1/7/2000,10.73,1.653,31.26,7.33,3315,521.6,14.27,33.6,143.9,4079.343,0.7171,0.05806,3.415,0.4372,583.9,54.98,1.794,1.388,10.98,657.66936
1/8/2000,9.735,0.9323,20.24,4.519,2665,548.3,9.909,33.72,147.8,3440.1553,0.3803,0.02385,1.383,0.2222,332.2,40.41,0.8052,1.45,8.059,384.93355
1/9/2000,10.29,1.002,31.28,6.66,3120,1145,24.13,41.5,312.1,4691.962,0.2945,0.01125,0.9436,0.1602,213.8,43.54,0.9548,1.61,10.28,271.59435
1/10/2000,6.116,0.4698,14.49,2.716,2583,798.3,12.02,23.88,259.6,3700.5918,0.1439,0.004706,0.3923,0.06916,130.9,26.31,0.3624,0.7946,7.872,166.849066
1/11/2000,3.87,0.2936,8.955,1.723,2483,636.1,6.731,17.47,249.6,3407.7426,0.07273,0.00207,0.2123,0.04159,91.49,17.66,0.1736,0.6656,6.651,116.96889
1/12/2000,6.241,5.376,26.67,7.887,3599,396.1,11.09,11.08,176.9,4240.344,0.1826,0.1025,1.378,0.2287,176.1,19.27,0.7902,0.6039,6.908,205.5639
