ID,Date,ctime,id,depth,TP,TDP,TRP,DRP,TN,TN-toc,TDN,TNO2-3,NO2-3,TNH4,NH4,TNO2,NO2,TOC,DOC
39548-ELI-0,4/10/2008,9:45:00 AM,ELI,0,90,,44,,1513,,,1230,,0,,,,,
39555-ELI-0,4/17/2008,9:45:00 AM,ELI,0,51,,15,,1148,,,428.5,,10.5,,,,,
39562-ELI-0,4/24/2008,9:45:00 AM,ELI,0,77,,15,,398,,,2,,0,,,,,
39569-ELI-0,5/1/2008,9:45:00 AM,ELI,0,56,,18,,516,,,82,,9.5,,,,3810,
39576-ELI-0,5/8/2008,9:45:00 AM,ELI,0,72,,28.5,,596,,,72.5,,70.5,,,,3645,
39583-ELI-0,5/15/2008,9:45:00 AM,ELI,0,185,,129,,4903,,,3255,,462.5,,,,9190,
39590-ELI-0,5/22/2008,9:45:00 AM,ELI,0,213,,115,,2880,,,2405,,85.5,,,,6520,
39596-ELI-0,5/28/2008,9:45:00 AM,ELI,0,193,,136,,3089,,,2605,,175.5,,,,4320,
39604-ELI-0,6/5/2008,9:45:00 AM,ELI,0,247,,204,,2168,,,1429.5,,283,,,,9840,
39609-ELI-0,6/10/2008,9:45:00 AM,ELI,0,159,,126,,3074,,,1775.5,,23,,,,5210,
39618-ELI-0,6/19/2008,9:45:00 AM,ELI,0,203,,141.5,,3110,,,2657.5,,12,,,,4540,
39625-ELI-0,6/26/2008,9:45:00 AM,ELI,0,201,,137,,2986,,,1954,,25.5,,,,2830,
39632-ELI-0,7/3/2008,9:45:00 AM,ELI,0,99,,55,,603,,,101.5,,34.5,,,,4045,
39639-ELI-0,7/10/2008,9:45:00 AM,ELI,0,105,,73,,403,,,112,,53.5,,,,,
39646-ELI-0,7/17/2008,9:45:00 AM,ELI,0,193,,162,,1907,,,1710.5,,6,,,,,
39652-ELI-0,7/23/2008,9:45:00 AM,ELI,0,129,,36.5,,981,,,22.5,,0,,,,,
39657-ELI-0,7/28/2008,9:45:00 AM,ELI,0,146,,103.5,,496,,,32,,20.5,,,,4240,
39666-ELI-0,8/6/2008,9:45:00 AM,ELI,0,382,,217,,983,,,91.5,,89.5,,,,,
39674-ELI-0,8/14/2008,9:45:00 AM,ELI,0,244,,240.5,,343,,,64.5,,54,,,,,
39681-ELI-0,8/21/2008,9:45:00 AM,ELI,0,526,,459,,938,,,341.5,,61.5,,,,,
39688-ELI-0,8/28/2008,9:45:00 AM,ELI,0,984,,916,,1335,,,190,,824.75,,,,,
39695-ELI-0,9/4/2008,9:45:00 AM,ELI,0,321,,245.5,,1219,,,257.5,,211.5,,,,,
39703-ELI-0,9/12/2008,9:45:00 AM,ELI,0,128,,103,,1155,,,395.5,,54.5,,,,,
39710-ELI-0,9/19/2008,9:45:00 AM,ELI,0,859,,747,,1335,,,811.5,,68,,,,,
39717-ELI-0,9/26/2008,9:45:00 AM,ELI,0,1745,,1742,,1695,,,1079,,564.5,,,,,
39717-DAM-0,9/26/2008,10:40:00 AM,DAM,0,51,,27,,412,,,32,,63.5,,,,,
39721-ELI-0,9/30/2008,9:45:00 AM,ELI,0,1183,,1038,,1852,,,878,,1.5,,,,8080,
39721-DAM-0,9/30/2008,10:40:00 AM,DAM,0,63,,36,,671,,,75,,82.5,,,,4370,
39730-ELI-0,10/9/2008,9:45:00 AM,ELI,0,660,,95,,2000,,,828.5,,32.5,,,,,
39730-DAM-0,10/9/2008,10:40:00 AM,DAM,0,60,,36,,445,,,84,,139,,,,,
39736-ELI-0,10/15/2008,9:45:00 AM,ELI,0,1480,,1443.5,,3895,,,3141,,21,,,,5100,
39736-DAM-0,10/15/2008,10:40:00 AM,DAM,0,80,,53.5,,765,,,110,,155,,,,4395,
39744-ELI-0,10/23/2008,9:45:00 AM,ELI,0,1809,,1034.75,,2745,,,1124.75,,,,,,,
39744-DAM-0,10/23/2008,10:40:00 AM,DAM,0,38,,16,,283,,,14,,68.5,,,,,
39751-ELI-0,10/30/2008,9:45:00 AM,ELI,0,,,960,,1740,,,860.5,,32.5,,,,,
39751-DAM-0,10/30/2008,10:40:00 AM,DAM,0,,,32.5,,753,,,30.5,,221,,,,,
39758-ELI-0,11/6/2008,9:45:00 AM,ELI,0,1180,,593.5,,1565,,,312,,4.5,,,,,
39758-DAM-0,11/6/2008,10:40:00 AM,DAM,0,64,,55.5,,990,,,132,,336,,,,,
39765-ELI-0,11/13/2008,9:45:00 AM,ELI,0,1033,,455.5,,2395,,,1520,,255.5,,,,,
39765-DAM-0,11/13/2008,10:40:00 AM,DAM,0,89,,33.5,,1110,,,237.5,,248,,,,,
39772-ELI-0,11/20/2008,9:45:00 AM,ELI,0,1188,,635.5,,2950,,,1765,,616.5,,,,,
39772-DAM-0,11/20/2008,10:40:00 AM,DAM,0,124,,28.5,,1180,,,154,,417.5,,,,,
39779-ELI-0,11/27/2008,9:45:00 AM,ELI,0,180,,151.5,,,,,228,,0,,,,,
39779-DAM-0,11/27/2008,10:40:00 AM,DAM,0,46,,44.5,,,,,1081.5,,68,,,,,
39784-ELI-0,12/2/2008,9:45:00 AM,ELI,0,76,,59.5,,,,,78.5,,0,,,,4780,
39784-DAM-0,12/2/2008,10:40:00 AM,DAM,0,41,,16,,,,,497.5,,18.5,,,,4920,
39790-ELI-0,12/8/2008,9:45:00 AM,ELI,0,,,48,,418,,,265,,2,,,,,
39797-ELI-0,12/15/2008,9:45:00 AM,ELI,0,,,52,,286,,,12,,0,,,,,
39797-DAM-0,12/15/2008,10:40:00 AM,DAM,0,,,13,,542,,,487.5,,10,,,,,
39804-ELI-0,12/22/2008,9:52:00 AM,ELI,0,126,,68.5,,534,,,466,,15,,,,,
39804-DAM-0,12/22/2008,10:40:00 AM,DAM,0,29,,16.5,,675,,,585,,22.5,,,,,
39811-ELI-0,12/29/2008,10:45:00 AM,ELI,0,284,,187,,2924,,,2560,,71.5,,,,,
39811-DAM-0,12/29/2008,11:25:00 AM,DAM,0,35,,17,,695,,,596,,29.5,,,,,
39818-ELI-0,1/5/2009,10:13:00 AM,ELI,0,155,,84.5,,1810,,,1130,,139.5,,,,,
39818-DAM-0,1/5/2009,10:55:00 AM,DAM,0,46,,15,,1080,,,564.5,,17,,,,,
39825-ELI-0,1/12/2009,11:00:00 AM,ELI,0,196,,180,,1731,,,168.5,,159.5,,,,,
39825-DAM-0,1/12/2009,12:04:00 PM,DAM,0,36,,16.5,,1022,,,52,,22.5,,,,,
39833-ELI-0,1/20/2009,10:57:00 AM,ELI,0,163,,106.5,,2790,,,,,167.5,,,,,
