siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
WI06,TT8923SW,"2019-02-11 20:30","2019-02-19 18:33",201902,5.330,5.300," ",.085," ",.022," ",.005," ",.126," ",.228," ",.847," ",.190," ",.191,1954.800,-9.990,28.793,"w ","            ",2020-04-12
WI06,TT9160SW,"2019-02-19 18:42","2019-02-26 16:28",201902,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,2178.000,31.242,31.242,"  ","c           ",2020-04-12
WI06,TT9410SW,"2019-02-26 16:30","2019-03-05 16:32",201903,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,121.900,2.794,2.794,"  ","c           ",2020-04-07
WI06,TT9657SW,"2019-03-05 16:33","2019-03-12 17:05",201903,5.330,8.100," ",.138," ",.033," ",.010," ",.157," ",.513," ",1.365," ",.237," ",.482,970.200,14.478,14.478,"w ","            ",2020-04-12
WI06,TT9901SW,"2019-03-12 17:06","2019-03-19 16:33",201903,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,772.400,11.684,11.684,"  ","c           ",2020-04-07
WI06,TU0162SW,"2019-03-19 16:35","2019-03-26 16:55",201903,6.630,31.300," ",1.071," ",.173," ",.047," ",.109," ",2.809," ",3.727," ",.204," ",2.544,33.600,.508,.508,"w ","            ",2020-04-07
WI06,TU0413SW,"2019-03-26 16:58","2019-04-02 16:31",201903,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,223.600,3.556,3.556,"  ","c           ",2020-04-07
WI06,TU0662SW,"2019-04-02 16:32","2019-04-09 16:39",201904,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,338.000,5.842,5.842,"  ","c           ",2020-04-07
WI06,TU0904SW,"2019-04-09 16:42","2019-04-16 16:29",201904,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1690.800,25.908,25.908,"  ","c           ",2020-04-07
WI06,TU1181SW,"2019-04-16 16:31","2019-04-23 16:34",201904,6.780,14.700," ",.746," ",.055," ",.036," ",.104," ",1.354," ",.982," ",.137," ",.581,1782.400,25.146,25.146,"w ","            ",2020-04-12
WI06,TU1390SW,"2019-04-23 16:35","2019-04-30 16:48",201904,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1917.700,29.972,29.972,"  ","c           ",2020-04-07
WI06,TU1650SW,"2019-04-30 16:50","2019-05-07 14:17",201905,6.320,7.800," ",.173," ",.037," ",.019," ",.012," ",.858," ",1.157," ",.033," ",.405,2114.600,27.178,27.178,"w ","            ",2020-07-05
WI06,TU1905SW,"2019-05-07 14:18","2019-05-14 23:47",201905,6.720,11.500," ",.403," ",.081," ",.041," ",.031," ",1.089," ",1.534," ",.074," ",.896,1509.100,21.590,21.590,"w ","            ",2020-07-05
WI06,TU2160SW,"2019-05-14 23:51","2019-05-21 16:29",201905,6.600,10.600," ",.288," ",.047," ",.029," ",.027," ",1.111," ",1.200," ",.054," ",.603,2236.700,33.528,33.528,"w ","            ",2020-07-05
WI06,TU2344SW,"2019-05-21 16:30","2019-05-28 16:32",201905,6.110,5.400," ",.161," ",.028," ",.026," ",.088," ",.439," ",.621," ",.118," ",.473,3656.600,51.816,51.816,"w ","            ",2020-07-05
WI06,TU2683SW,"2019-05-28 16:35","2019-06-04 19:35",201906,6.610,10.700," ",.201," ",.059," ",.058," ",.014," ",1.202," ",1.035," ",.037," ",.449,1081.600,15.240,15.240,"w ","            ",2020-07-05
WI06,TU2942SW,"2019-06-04 19:36","2019-06-11 16:39",201906,6.900,15.500," ",.619," ",.101," ",.070," ",.023," ",1.492," ",1.846," ",.079," ",.783,538.300,11.176,11.176,"w ","            ",2020-07-05
WI06,TU3190SW,"2019-06-11 16:41","2019-06-18 17:03",201906,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1571.800,21.844,21.844,"  ","c           ",2020-07-05
WI06,TU3449SW,"2019-06-18 17:05","2019-06-25 16:32",201906,6.420,8.900," ",.212," ",.061," ",.052," ",.043," ",.887," ",1.231," ",.085," ",.511,1498.500,-9.990,22.072,"w ","            ",
WI06,TU3688SW,"2019-06-25 16:33","2019-07-02 14:28",201906,6.430,8.100," ",.427," ",.062," ",.067," ",.095," ",.579," ",1.104," ",.144," ",.511,3833.000,54.356,54.356,wd,"            ",2020-07-05
WI06,TU3919SW,"2019-07-02 14:29","2019-07-09 16:50",201907,6.680,7.800," ",.290," ",.049," ",.027," ",.014," ",.751," ",.891," ",.034," ",.277,1681.900,23.368,23.368,"w ","            ",2020-07-05
WI06,TU4211SW,"2019-07-09 16:55","2019-07-16 16:38",201907,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,22.100,1.524,1.524,"  ","c           ",2020-07-05
WI06,TU4467SW,"2019-07-16 16:39","2019-07-23 16:27",201907,6.280,9.600," ",.797," ",.052," ",.021," ",.110," ",.584," ",1.002," ",.119," ",.565,4633.000,70.104,70.104,"w ","            ",2020-07-05
WI06,TU4721SW,"2019-07-23 16:28","2019-07-30 16:44",201907,5.430,3.900," ",.140," ",.019," ",.006,<,.010," ",.223," ",.286,<,.018," ",.201,936.700,12.954,12.954,"w ","            ",2020-07-05
WI06,TU4979SW,"2019-07-30 16:45","2019-08-06 16:39",201908,6.410,9.000," ",.597," ",.088," ",.023,<,.010," ",.635," ",.833," ",.030," ",.430,2373.400,34.290,34.290,"w ","            ",2020-07-05
WI06,TU5205SW,"2019-08-06 16:42","2019-08-13 13:33",201908,6.390,7.500," ",.227," ",.037," ",.008,<,.010," ",.760," ",1.086," ",.025," ",.430,2119.000,29.718,29.718,"w ","            ",2020-07-05
WI06,TU5490SW,"2019-08-13 13:34","2019-08-20 16:33",201908,6.050,4.600," ",.139," ",.024," ",.008,<,.010," ",.412," ",.660," ",.024," ",.302,1537.800,20.828,20.828,"w ","            ",2020-07-05
WI06,TU5744SW,"2019-08-20 16:34","2019-08-27 16:36",201908,5.200,5.300," ",.090," ",.022," ",.012,<,.010," ",.282," ",.632," ",.024," ",.298,1139.600,15.494,15.494,"w ","            ",2020-07-05
WI06,TU5952SW,"2019-08-27 16:37","2019-09-03 16:38",201908,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,512.700,4.572,4.572,"  ","c           ",2020-07-05
WI06,TU6269SW,"2019-09-03 16:40","2019-09-10 13:34",201909,4.620,15.000," ",.217," ",.025," ",.025," ",.045," ",.576," ",.956," ",.083," ",.765,3334.900,44.450,44.450,"w ","            ",2020-07-05
WI06,TU6520SW,"2019-09-10 13:34","2019-09-17 16:40",201909,5.990,4.500," ",.172," ",.019," ",.015," ",.036," ",.352," ",.642," ",.056," ",.389,4341.200,61.722,61.722,"w ","            ",2020-07-05
WI06,TU6792SW,"2019-09-17 16:43","2019-09-24 16:30",201909,5.650,2.600," ",.034," ",.007," ",.010," ",.028," ",.151," ",.233," ",.038," ",.187,1709.100,56.388,56.388,"w ","            ",2020-07-05
