sampledate,Temp_max_F,Temp_min_F,Temp_avg_F,Temp_departure,HDD,CDD,Precipitation_in,New_snow_in,Snow_depth
1/1/2012,39,25,32,10.9,33,0,0.1,0.3,T
1/2/2012,25,13,19,-1.9,46,0,T,T,T
1/3/2012,28,8,18,-2.7,47,0,0,0,T
1/4/2012,36,23,29.5,8.9,35,0,0,0,T
1/5/2012,51,21,36,15.6,29,0,0,0,0
1/6/2012,49,34,41.5,21.3,23,0,0,0,0
1/7/2012,41,22,31.5,11.5,33,0,0,0,0
1/8/2012,40,17,28.5,8.6,36,0,0,0,0
1/9/2012,47,29,38,18.3,27,0,0,0,0
1/10/2012,51,21,36,16.4,29,0,0,0,0
1/11/2012,53,25,39,19.5,26,0,0,0,0
1/12/2012,34,15,24.5,5.2,40,0,0.36,5.2,0
1/13/2012,20,14,17,-2.2,48,0,T,0.2,5
1/14/2012,19,8,13.5,-5.6,51,0,T,0.1,5
1/15/2012,31,15,23,4,42,0,T,T,4
1/16/2012,42,27,34.5,15.5,30,0,0,0,4
1/17/2012,32,7,19.5,0.6,45,0,0.14,2.3,2
1/18/2012,23,-3,10,-8.8,55,0,0,0,4
1/19/2012,24,-8,8,-10.8,57,0,0.01,0.1,3
1/20/2012,6,-8,-1,-19.7,66,0,0.29,3.2,3
1/21/2012,21,-8,6.5,-12.2,58,0,0,0,5
1/22/2012,34,15,24.5,5.8,40,0,0.08,T,5
1/23/2012,34,26,30,11.3,35,0,0.35,0.7,4
1/24/2012,32,18,25,6.3,40,0,0,0,5
1/25/2012,33,17,25,6.2,40,0,T,T,4
1/26/2012,35,26,30.5,11.7,34,0,0,0,4
1/27/2012,39,23,31,12.1,34,0,0.01,0.1,4
1/28/2012,33,22,27.5,8.5,37,0,0.01,0.4,4
1/29/2012,27,12,19.5,0.4,45,0,0.05,0.8,5
1/30/2012,45,16,30.5,11.3,34,0,0,0,5
1/31/2012,50,36,43,23.7,22,0,0,0,4
2/1/2012,42,26,34,14.6,31,0,0,0,2
2/2/2012,33,22,27.5,7.9,37,0,0,0,1
2/3/2012,33,30,31.5,11.8,33,0,0,0,1
2/4/2012,43,24,33.5,13.6,31,0,0,0,1
2/5/2012,39,24,31.5,11.4,33,0,0,0,T
2/6/2012,37,24,30.5,10.2,34,0,0,0,T
2/7/2012,33,17,25,4.4,40,0,T,T,0
2/8/2012,33,13,23,2.2,42,0,0,0,0
2/9/2012,35,16,25.5,4.4,39,0,0,0,0
2/10/2012,32,10,21,-0.3,44,0,0.04,1,0
2/11/2012,20,6,13,-8.6,52,0,0,0,T
