    Date,    Time,Site_ID,Long_ID,Cross_ID,Depth_Below_Surface,Matrix,Type,Method, Temp_C,SpCond_µScm,  Depth_m,pH,Orp_mv,Turbidity_FNU_NTU,Chl_ugL,Chl_RFU,BGA_PC_ugL,BGA_PC_RFU,ODO_PercSat,ODO_mgL,QC_Flag,QC_Comment,Battery_volts,pH_mV,Cond_uScm,Sal_psu,nLF_Cond_uScm,TDS_mgL,TSS_mgL,ORP_raw_mV,Press_psi_a,Depth_ft,Sonde_Serial
3/19/2019,9:20:30,DAM,0,C,0,SW,UKN,EXO2,6.02,191.8,,7.99,244.9,10.74,3.31,0.84,0.35,0.34,94.8,11.79,TRUE,,5.2,-75.6,122.2,0.09,194.8,125,0,235.3,-0.02,-0.06,15B101160
3/19/2019,9:20:40,DAM,0,C,0,SW,UKN,EXO2,5.9,190.8,,7.93,242.6,34.49,3,0.77,0.3,0.28,102.8,12.82,TRUE,,5.2,-72.8,121.2,0.09,193.8,124,0,232.9,0.06,0.14,15B101160
3/19/2019,9:20:50,DAM,0,C,0,SW,UKN,EXO2,5.85,190.5,,7.75,242.3,34.33,3.02,0.77,0.3,0.28,104.8,13.09,TRUE,,5.2,-63.3,120.8,0.09,193.5,124,0,232.7,0.16,0.37,15B101160
3/19/2019,9:21:00,DAM,0,C,0,SW,UKN,EXO2,5.86,190.3,,7.71,242.6,38.07,3.09,0.79,0.29,0.27,106.7,13.32,TRUE,,5.2,-61.1,120.7,0.09,193.3,124,0,232.9,0.26,0.61,15B101160
3/19/2019,9:21:10,DAM,0,C,0,SW,UKN,EXO2,5.85,190.3,,7.68,242.4,35.34,3.05,0.78,0.29,0.28,107.9,13.48,TRUE,,5.2,-59.7,120.7,0.09,193.3,124,0,232.8,0.33,0.77,15B101160
3/19/2019,9:21:20,DAM,0,C,0,SW,UKN,EXO2,5.84,190.2,,7.65,241.5,35.28,3.14,0.8,0.31,0.29,108.6,13.57,TRUE,,5.2,-57.8,120.6,0.09,193.2,124,0,231.9,0.35,0.8,15B101160
3/19/2019,9:21:30,DAM,0,C,0,SW,UKN,EXO2,5.84,190.1,,7.62,240.5,35.39,3.08,0.79,0.32,0.3,109,13.61,TRUE,,5.2,-56.4,120.5,0.09,193.1,124,0,230.9,0.35,0.8,15B101160
3/19/2019,9:21:40,DAM,0,C,0,SW,UKN,EXO2,5.83,190.1,,7.59,239.8,33.42,3.08,0.79,0.34,0.32,109.2,13.65,TRUE,,5.2,-54.9,120.5,0.09,193.1,124,0,230.2,0.34,0.79,15B101160
3/19/2019,9:21:50,DAM,0,C,0,SW,UKN,EXO2,5.83,190.1,,7.57,239.3,30.09,3.07,0.78,0.35,0.33,109.3,13.66,TRUE,,5.2,-53.6,120.5,0.09,193.1,124,0,229.6,0.34,0.78,15B101160
3/19/2019,9:22:00,DAM,0,C,0,SW,UKN,EXO2,5.83,190.1,,7.55,238.7,33.76,3,0.77,0.36,0.34,109.4,13.67,TRUE,,5.2,-52.5,120.5,0.09,193,124,0,229.1,0.34,0.78,15B101160
3/19/2019,9:22:10,DAM,0,C,0,SW,UKN,EXO2,5.83,190.1,,7.53,238.2,36.36,3.13,0.8,0.34,0.33,109.5,13.68,TRUE,,5.2,-51.6,120.5,0.09,193.1,124,0,228.5,0.33,0.77,15B101160
