Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_precip,Yahara_TP,SixMile_TP_gsec,Pheasant_TP_gsec
1995,2.12,0.06,2.17,4.14,3.92,1.22,4.36,5.58,1.78,4.29,3.17,0.77,33.58,,,22.56765363
1996,2.53,0.53,0.82,2.76,2.95,9.69,4.08,1.84,1.07,3.14,1.01,1.27,31.69,,,22.17495001
1997,1.24,2.52,1.54,2.5,1.94,5.23,6.23,2.33,1.38,1.23,1.25,1.25,28.64,,,12.19032174
1998,2.24,1.44,5.46,4.1,4.58,7.46,2.5,4.24,2.48,3.2,1.95,0.29,39.94,,,17.57218987
1999,2.1,0.91,0.47,6.91,3.72,5.57,4.49,3.26,1.55,0.88,1.21,0.86,31.93,,,19.73542513
2000,0.91,1.95,1.17,3.18,9.63,8.63,3.27,3.94,3.59,0.68,2,1.39,40.34,,,20.52489084
2001,0.99,2.64,0.59,3.07,4.16,5.4,3.09,7.64,5.53,2.62,1.59,1.13,38.45,,,12.74408675
2002,0.63,2.17,1.7,3.45,2.92,3.7,2.06,3.04,2.74,2.1,1.01,0.67,26.19,16.73690137,,14.32217814
2003,0.36,0.5,1.72,2.95,3.67,2.1,4.24,0.87,4.24,1.6,7.49,2,31.74,5.576864,,20.818056
2004,0.62,1.44,3.61,1.76,10.84,3.93,6.05,3.96,1,3.2,1.51,1.46,39.38,0,,12.21619847
2005,2.2,1.45,1.56,1.68,3.96,1.65,3.92,1.22,1.95,0.76,3.36,0.99,24.7,5.50309375,,13.29149339
2006,1.96,0.81,2.34,5.04,4.61,2.29,4.45,5.43,3.33,2.87,2.24,1.36,36.73,6.913958333,,7.890095691
2007,0.84,1.59,3.39,4.68,1.4,4.82,2.69,15.18,2.45,3.35,0.39,3.63,44.41,30.33251333,,10.8879208
2008,2.17,3.3,2.47,6.43,2.55,10.93,5.62,1.41,2.23,2.2,1.46,3.29,44.06,42.25783289,,7.962437653
2009,0.54,1.91,6.19,4.43,3.68,4.17,1.94,2.49,4.68,3.8,1.32,3.2,38.35,40.2896932,,9.797481437
2010,0.88,1.02,0.71,3.65,3.79,8.38,7.98,3.92,2.65,2.3,1.09,1.49,37.86,37.6958677,,6.532368817
2011,1.28,1.59,2.96,3.61,2.4,3.55,1.85,3.06,3.31,1.35,3.35,2.23,30.54,49.02530767,,12.6738433
2012,1.4,1.03,2.61,2.85,3.19,0.31,4,1.58,1.33,4.56,0.9,2.6,26.36,17.43060934,5.645572899,4.202440205
2013,2.87,2.41,2.41,5.83,6.57,10.86,4,1.53,3.19,1.89,2.2,1.62,45.38,51.09898785,65.62854554,11.01500854
2014,0.65,1.24,1.26,5.13,3.47,9.55,1.08,5.43,1.84,3.09,1.54,1.03,35.31,33.23834247,47.94129935,16.67979722
2015,0.66,0.54,0.76,4.38,4.18,3.15,5.02,4.1,5.99,2.73,4.75,3.33,39.59,34.18974326,72.19597603,17.57268028
2016,0.98,0.52,3.96,2.11,2.22,5.35,5.23,7.87,8.46,4.96,1.87,2.03,45.56,37.21396697,,17.51491121
2017,2.76,1.94,2.83,5.3,2.83,6.73,6.52,3.85,0.55,3.56,0.68,0.73,38.28,0,,5.100201465
2018,1.68,2.5,0.74,2.14,9.78,5.67,3.12,10.4,5.46,5.36,1.69,2.1,50.64,0,,8.148580718
2019,2.56,2.94,0.92,3.22,6.17,5.16,5.77,2.85,6.8,5.85,2.63,1.52,46.39,0,,1.569983196
2020,1.74,0.94,3.47,2.04,5.42,5.07,7.59,2.88,3.41,3.38,1.85,1.13,38.92,0,,1.0710034
2021,1.27,0.86,1.41,1.44,2.2,4.6,1.58,3.23,2.34,1.84,0.36,1.69,22.82,0,,0.80992614
2022,0.48,0.4,4.67,3.5,2.54,4.02,5.42,5.76,4.03,0.85,3.37,2.34,37.38,0,,0
min,0.36,0.06,0.47,1.44,1.4,0.31,1.08,0.87,0.55,0.68,0.36,0.29,22.82,,,
max,2.87,3.3,6.19,6.91,10.84,10.93,7.98,15.18,8.46,5.85,7.49,3.63,50.64,,,
