Site_Name,Site_ID,datetime,Qout_cfs,USGS_MeanSRP_mgL,USGS_MeanSRP_lbday,USGS_MeanTotP_lbday,USGS_MeanTotP_mgL
Pheasant Branch,USGS_5427948,7/1/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/2/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/3/1974,1.5,,,,
Pheasant Branch,USGS_5427948,7/4/1974,1.5,,,,
Pheasant Branch,USGS_5427948,7/5/1974,1.5,,,,
Pheasant Branch,USGS_5427948,7/6/1974,1.4,,,,
Pheasant Branch,USGS_5427948,7/7/1974,1.4,,,,
Pheasant Branch,USGS_5427948,7/8/1974,1.4,,,,
Pheasant Branch,USGS_5427948,7/9/1974,1.4,,,,
Pheasant Branch,USGS_5427948,7/10/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/11/1974,1.3,,,,
Pheasant Branch,USGS_5427948,7/12/1974,1.3,,,,
Pheasant Branch,USGS_5427948,7/13/1974,1.4,,,,
Pheasant Branch,USGS_5427948,7/14/1974,1.4,,,,
Pheasant Branch,USGS_5427948,7/15/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/16/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/17/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/18/1974,1.8,,,,
Pheasant Branch,USGS_5427948,7/19/1974,1.8,,,,
Pheasant Branch,USGS_5427948,7/20/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/21/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/22/1974,2,,,,
Pheasant Branch,USGS_5427948,7/23/1974,1.8,,,,
Pheasant Branch,USGS_5427948,7/24/1974,1.8,,,,
Pheasant Branch,USGS_5427948,7/25/1974,2.7,,,,
Pheasant Branch,USGS_5427948,7/26/1974,1.6,,,,
Pheasant Branch,USGS_5427948,7/27/1974,1.3,,,,
Pheasant Branch,USGS_5427948,7/28/1974,1.3,,,,
Pheasant Branch,USGS_5427948,7/29/1974,1.3,,,,
Pheasant Branch,USGS_5427948,7/30/1974,1.3,,,,
Pheasant Branch,USGS_5427948,7/31/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/1/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/2/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/3/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/4/1974,2,,,,
Pheasant Branch,USGS_5427948,8/5/1974,1.4,,,,
Pheasant Branch,USGS_5427948,8/6/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/7/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/8/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/9/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/10/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/11/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/12/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/13/1974,1.5,,,,
Pheasant Branch,USGS_5427948,8/14/1974,1.4,,,,
Pheasant Branch,USGS_5427948,8/15/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/16/1974,1.8,,,,
Pheasant Branch,USGS_5427948,8/17/1974,1.6,,,,
Pheasant Branch,USGS_5427948,8/18/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/19/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/20/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/21/1974,1.4,,,,
Pheasant Branch,USGS_5427948,8/22/1974,1.8,,,,
Pheasant Branch,USGS_5427948,8/23/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/24/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/25/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/26/1974,1.3,,,,
Pheasant Branch,USGS_5427948,8/27/1974,1.6,,,,
Pheasant Branch,USGS_5427948,8/28/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/29/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/30/1974,1.1,,,,
Pheasant Branch,USGS_5427948,8/31/1974,1.2,,,,
Pheasant Branch,USGS_5427948,9/1/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/2/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/3/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/4/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/5/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/6/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/7/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/8/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/9/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/10/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/11/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/12/1974,1.2,,,,
Pheasant Branch,USGS_5427948,9/13/1974,1.3,,,,
Pheasant Branch,USGS_5427948,9/14/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/15/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/16/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/17/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/18/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/19/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/20/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/21/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/22/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/23/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/24/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/25/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/26/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/27/1974,1.1,,,,
Pheasant Branch,USGS_5427948,9/28/1974,1.2,,,,
Pheasant Branch,USGS_5427948,9/29/1974,1.5,,,,
Pheasant Branch,USGS_5427948,9/30/1974,1.1,,,,
Pheasant Branch,USGS_5427948,10/1/1974,1.1,,,,
Pheasant Branch,USGS_5427948,10/2/1974,1.1,,,,
Pheasant Branch,USGS_5427948,10/3/1974,1.1,,,,
Pheasant Branch,USGS_5427948,10/4/1974,1.1,,,,
Pheasant Branch,USGS_5427948,10/5/1974,1.2,,,,
Pheasant Branch,USGS_5427948,10/6/1974,1.9,,,,
Pheasant Branch,USGS_5427948,10/7/1974,1.5,,,,
Pheasant Branch,USGS_5427948,10/8/1974,1.2,,,,
Pheasant Branch,USGS_5427948,10/9/1974,1.1,,,,
Pheasant Branch,USGS_5427948,10/10/1974,0.9,,,,
Pheasant Branch,USGS_5427948,10/11/1974,1,,,,
