Source,Site_ID,datetime,Qout_cfs,Qout_cfs_code,USGS_MeanSRP_mgL,USGS_MeanSRP_mgL_code,USGS_MeanTotP_mgL,USGS_MeanTotP_mgL_code,USGS_MeanSRP_lbday,USGS_MeanSRP_lbday_code,USGS_MeanTotP_lbday,USGS_MeanTotP_lbday_code
USGS,5427910,7/26/2012,24.3,A:e,0.12,A,0.304,A,15.7,A,41.8,A
USGS,5427910,7/27/2012,15.1,A:e,0.0907,A,0.271,A,7.4,A,22.2,A
USGS,5427910,7/28/2012,12.5,A:e,0.0897,A,0.228,A,6.08,A,15.5,A
USGS,5427910,7/29/2012,12.2,A:e,0.0895,A,0.202,A,5.9,A,13.3,A
USGS,5427910,7/30/2012,11.1,A:e,0.0893,A,0.195,A,5.37,A,11.7,A
USGS,5427910,7/31/2012,11.4,A:e,0.0891,A,0.19,A,5.5,A,11.7,A
USGS,5427910,8/1/2012,11.9,A:e,0.0888,A,0.185,A,5.72,A,11.9,A
USGS,5427910,8/2/2012,11.1,A:e,0.0886,A,0.181,A,5.33,A,10.9,A
USGS,5427910,8/3/2012,11.5,A:e,0.0884,A,0.176,A,5.49,A,11,A
USGS,5427910,8/4/2012,11,A:e,0.0882,A,0.172,A,5.17,A,10.1,A
USGS,5427910,8/5/2012,10.3,A:e,0.088,A,0.168,A,4.88,A,9.31,A
USGS,5427910,8/6/2012,10,A:e,0.0877,A,0.164,A,4.76,A,8.87,A
USGS,5427910,8/7/2012,10.3,A:e,0.0875,A,0.16,A,4.88,A,8.9,A
USGS,5427910,8/8/2012,10.2,A,0.0873,A,0.156,A,4.81,A,8.56,A
USGS,5427910,8/9/2012,9.8,A,0.0871,A,0.152,A,4.61,A,8.03,A
USGS,5427910,8/10/2012,10.9,A,0.0869,A,0.148,A,5.1,A,8.69,A
USGS,5427910,8/11/2012,10.4,A,0.0866,A,0.144,A,4.87,A,8.12,A
USGS,5427910,8/12/2012,10.1,A,0.0864,A,0.141,A,4.72,A,7.69,A
USGS,5427910,8/13/2012,9.93,A,0.0862,A,0.137,A,4.62,A,7.37,A
USGS,5427910,8/14/2012,10.2,A,0.086,A,0.134,A,4.72,A,7.37,A
USGS,5427910,8/15/2012,10.5,A,0.0859,A,0.133,A,4.86,A,7.53,A
USGS,5427910,8/16/2012,11.9,A,0.0859,A,0.132,A,5.51,A,8.49,A
USGS,5427910,8/17/2012,11.1,A,0.0858,A,0.131,A,5.14,A,7.88,A
USGS,5427910,8/18/2012,10.9,A,0.0858,A,0.131,A,5.07,A,7.72,A
USGS,5427910,8/19/2012,10.7,A,0.0857,A,0.13,A,4.97,A,7.53,A
