# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,,,,,
# for any damages resulting from its use.,,,,,,,,,,,,
#,,,,,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,,
#,,,,,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,,
#,,,,,,,,,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,,,,,,,,,
# retrieved: 2023-04-12 15:50:48 EDT       (sdww01),,,,,,,,,,,,
#,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,
"#    USGS 05427850 YAHARA RIVER AT STATE HIGHWAY 113 AT MADISON, WI",,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,
#,,,,,,,,,,,,
# Data provided for site 05427850,,,,,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,,,,,
"#        154921       00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,,,,
"#        223623       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)",,,,,,,,,,,,
"#        223624       91050     00003     Phosphorus, water, unfiltered, pounds of phosphorus per day (Mean)",,,,,,,,,,,,
"#        223625       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)",,,,,,,,,,,,
"#        232446       91060     00003     Orthophosphate, water, dissolved, pounds per day (Mean)",,,,,,,,,,,,
#,,,,,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,,,,,
#        ,,,,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,,,,,
#     e  Value has been estimated.,,,,,,,,,,,,
# ,,,,,,,,,,,,
agency_cd,site_no,sampledate,"Discharge, cubic feet per second (Mean)",154921_00060_00003_cd,"Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)",223623_00671_00003_cd,"Phosphorus, water, unfiltered, pounds of phosphorus per day (Mean)",223624_91050_00003_cd,"Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)",223625_00665_00003_cd,"Orthophosphate, water, dissolved, pounds per day (Mean)",232446_91060_00003_cd
5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s
USGS,5427850,12/27/2001,56.1,A,,,,,,,,
USGS,5427850,12/28/2001,55.4,A,,,,,,,,
USGS,5427850,12/29/2001,54.3,A,,,,,,,,
USGS,5427850,12/30/2001,54,A,,,,,,,,
USGS,5427850,12/31/2001,53.5,A,,,,,,,,
USGS,5427850,1/1/2002,56,A:e,12.5,A,,,,,,
USGS,5427850,1/2/2002,55,A:e,12.3,A,,,,,,
USGS,5427850,1/3/2002,54,A:e,12,A,,,,,,
USGS,5427850,1/4/2002,52.6,A,11.8,A,,,,,,
USGS,5427850,1/5/2002,55.2,A,12.3,A,,,,,,
USGS,5427850,1/6/2002,53.6,A,12.1,A,,,,,,
USGS,5427850,1/7/2002,48.5,A,11,A,,,,,,
USGS,5427850,1/8/2002,54.4,A,12.1,A,,,,,,
USGS,5427850,1/9/2002,61.8,A,13.9,A,,,,,,
USGS,5427850,1/10/2002,59.6,A,13.5,A,,,,,,
USGS,5427850,1/11/2002,57.5,A,13.1,A,,,,,,
USGS,5427850,1/12/2002,55.3,A,12.4,A,,,,,,
USGS,5427850,1/13/2002,50.4,A,11.4,A,,,,,,
USGS,5427850,1/14/2002,50.9,A,11.6,A,,,,,,
USGS,5427850,1/15/2002,47.9,A,11,A,,,,,,
USGS,5427850,1/16/2002,44.4,A,10.1,A,,,,,,
USGS,5427850,1/17/2002,38.7,A,9.04,A,,,,,,
USGS,5427850,1/18/2002,38.6,A,9.07,A,,,,,,
USGS,5427850,1/19/2002,39.7,A,9.33,A,,,,,,
USGS,5427850,1/20/2002,41.7,A,9.83,A,,,,,,
USGS,5427850,1/21/2002,46,A,10.8,A,,,,,,
USGS,5427850,1/22/2002,42.4,A,9.92,A,,,,,,
USGS,5427850,1/23/2002,49.6,A,11.8,A,,,,,,
USGS,5427850,1/24/2002,47.2,A,11.2,A,,,,,,
USGS,5427850,1/25/2002,47.2,A,11.2,A,,,,,,
USGS,5427850,1/26/2002,61.5,A,14.5,A,,,,,,
USGS,5427850,1/27/2002,54.1,A,13,A,,,,,,
USGS,5427850,1/28/2002,60.9,A,14.7,A,,,,,,
USGS,5427850,1/29/2002,43.9,A,10.8,A,,,,,,
USGS,5427850,1/30/2002,42.7,A,10.6,A,,,,,,
USGS,5427850,1/31/2002,48.3,A,11.9,A,,,,,,
USGS,5427850,2/1/2002,39,A,9.76,A,,,,,,
USGS,5427850,2/2/2002,37.6,A,9.58,A,,,,,,
USGS,5427850,2/3/2002,44.5,A,11.4,A,,,,,,
