Site,sampledate,TotP_mgL,TotP_sample_comments,PO4_mgL,,,
Pheasant Branch (WDNR Site ID: 133313),10/11/2022,0.07,,0.013,,,
Pheasant Branch (WDNR Site ID: 133313),9/27/2022,0,,0.017,,,
Pheasant Branch (WDNR Site ID: 133313),8/17/2022,0,,0.037,,,
Pheasant Branch (WDNR Site ID: 133313),7/13/2022,0.08,,0.02,,,
Pheasant Branch (WDNR Site ID: 133313),6/7/2022,0.19,,0.027,,,
Pheasant Branch (WDNR Site ID: 133313),5/11/2022,0.09,,0.01,,,
Pheasant Branch (WDNR Site ID: 133313),10/11/2021,0.09,,0.056,,,
Pheasant Branch (WDNR Site ID: 133313),9/21/2021,0.17,,0.064,,,
Pheasant Branch (WDNR Site ID: 133313),8/3/2021,0.16,,0.02,,,
Pheasant Branch (WDNR Site ID: 133313),7/12/2021,0.05,,0.025,,,
Pheasant Branch (WDNR Site ID: 133313),6/14/2021,0.09,,0.03,,,
Pheasant Branch (WDNR Site ID: 133313),5/10/2021,0.04,,0.01,,,
Pheasant Branch (WDNR Site ID: 133313),4/13/2021,0.11,,0.04,,,
Pheasant Branch (WDNR Site ID: 133313),10/12/2020,0.04,,0.012,,,
Pheasant Branch (WDNR Site ID: 133313),9/15/2020,0.13,,0.08,,,
Pheasant Branch (WDNR Site ID: 133313),8/10/2020,0,,0.025,,,
Pheasant Branch (WDNR Site ID: 133313),7/13/2020,0.28,,0.18,,,
Pheasant Branch (WDNR Site ID: 133313),6/17/2020,0.09,,0.022,,,
Pheasant Branch (WDNR Site ID: 133313),10/28/2019,0.09,,0.028,,,
Pheasant Branch (WDNR Site ID: 133313),9/9/2019,0.07,,0.027,,,
Pheasant Branch (WDNR Site ID: 133313),8/12/2019,0.16,,0.093,,,
Pheasant Branch (WDNR Site ID: 133313),7/8/2019,0.33,,0.134,,,
Pheasant Branch (WDNR Site ID: 133313),6/9/2019,0.07,,0.011,,,
Pheasant Branch (WDNR Site ID: 133313),5/13/2019,0.1,,0.051,,,
Pheasant Branch (WDNR Site ID: 133313),4/9/2019,0,,0.013,,,
Pheasant Branch (WDNR Site ID: 133313),10/22/2018,0.1,,0.031,,,
Pheasant Branch (WDNR Site ID: 133313),8/13/2018,0.16,,0.075,,,
Pheasant Branch (WDNR Site ID: 133313),7/16/2018,0.08,,0.051,,,
Pheasant Branch (WDNR Site ID: 133313),6/4/2018,0.08,,0.027,,,
Pheasant Branch (WDNR Site ID: 133313),5/7/2018,0.19,,0.082,,,
Pheasant Branch (WDNR Site ID: 133313),4/16/2018,0.19,,0.011,,,
Pheasant Branch (WDNR Site ID: 133313),3/5/2018,0.19,,0.048,,,
Pheasant Branch (WDNR Site ID: 133313),2/13/2018,0.1,,0.024,,,
Pheasant Branch (WDNR Site ID: 133313),1/8/2018,0.5,,0.024,,,
Pheasant Branch (WDNR Site ID: 133313),12/3/2017,0.1,,0.018,,,
Pheasant Branch (WDNR Site ID: 133313),10/9/2017,0.13,,0.039,,,
Pheasant Branch (WDNR Site ID: 133313),9/11/2017,0,,0.022,,,
Pheasant Branch (WDNR Site ID: 133313),8/7/2017,0.1,,0.035,,,
Pheasant Branch (WDNR Site ID: 133313),7/10/2017,0.52,,0.101,,,
Pheasant Branch (WDNR Site ID: 133313),6/5/2017,0.13,,0.053,,,
Pheasant Branch (WDNR Site ID: 133313),5/8/2017,0.1,,0.009,,,
Pheasant Branch (WDNR Site ID: 133313),4/10/2017,0.07,,0.017,,,
Pheasant Branch (WDNR Site ID: 133313),3/14/2017,0.07,,0.033,,,
Pheasant Branch (WDNR Site ID: 133313),2/6/2017,0.07,,0.019,,,
Pheasant Branch (WDNR Site ID: 133313),9/16/2009,0.114,,,,,
Pheasant Branch (WDNR Site ID: 133313),8/18/2009,0.116,SAMPLE RECEIVED WAS NOT ICED OR ICE MELTED,,,,
Pheasant Branch (WDNR Site ID: 133313),7/15/2009,0.11,,,,,
Pheasant Branch (WDNR Site ID: 133313),6/17/2009,0.128,,,,,
Pheasant Branch (WDNR Site ID: 133313),5/12/2009,0.129,,,,,
Pheasant Branch (WDNR Site ID: 133313),4/16/2009,0.116,,,,,
Pheasant Branch (WDNR Site ID: 133313),3/18/2009,0.128,,,,,
Pheasant Branch (WDNR Site ID: 133313),2/20/2009,0.096,,,,,
Pheasant Branch (WDNR Site ID: 133313),1/21/2009,0.082,,,,,
Pheasant Branch (WDNR Site ID: 133313),12/17/2008,0.17,,,,,
Pheasant Branch (WDNR Site ID: 133313),11/19/2008,0.164,,,,,
Pheasant Branch (WDNR Site ID: 133313),10/22/2008,0.116,,,,,
Pheasant Branch (WDNR Site ID: 133313),4/14/1984,5.5,,,,,
Pheasant Branch (WDNR Site ID: 133313),8/4/1980,0.06,,,,,
,,,,,,,
