Site,sampledate,TotP_mgL,DissP_PO4_mgL,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",10/5/1995,0.15,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",10/4/1995,0.144,0.114,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/24/1995,0.215,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/20/1995,0.206,0.112,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/13/1995,0.134,0.102,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/6/1995,0.204,0.174,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/31/1995,0.275,0.189,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/29/1995,0.301,0.172,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/28/1995,0.287,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/24/1995,0.345,0.228,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/10/1995,0.299,0.151,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/3/1995,1.55,0.17,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/1/1995,0.333,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/26/1995,0.241,0.138,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/20/1995,0.208,0.12,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/13/1995,0.175,0.127,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/6/1995,0.225,0.121,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/5/1995,0.243,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/29/1995,0.21,0.117,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/22/1995,0.249,0.136,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/15/1995,0.195,0.119,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/8/1995,0.292,0.118,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/1/1995,0.305,0.118,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/30/1995,0.259,0.137,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/28/1995,0.654,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/25/1995,0.147,0.085,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/19/1995,0.178,0.056,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/12/1995,0.21,0.098,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/10/1995,0.422,0.184,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/9/1995,0.23,0.117,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/8/1995,0.22,0.046,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/4/1995,0.14,0.053,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/28/1995,0.2,0.092,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/27/1995,0.31,0.119,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/19/1995,0.3,0.128,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/18/1995,0.18,0.054,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/12/1995,0.16,0.128,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/11/1995,0.58,0.116,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",4/6/1995,0.07,0.034,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",3/28/1995,0.24,0.123,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",3/22/1995,0.13,0.057,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",3/12/1995,0.91,0.56,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",3/11/1995,0.52,0.152,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",2/22/1995,0.34,0.119,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",1/19/1995,0.07,0.04,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",12/9/1994,0.08,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",11/28/1994,0.58,0.322,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",11/27/1994,0.178,0.066,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",11/22/1994,0.13,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",11/9/1994,0.137,0.074,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",11/3/1994,0.106,0.059,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",10/26/1994,0.113,0.075,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",10/20/1994,0.174,0.101,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",10/12/1994,0.126,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",10/6/1994,0.147,0.08,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/29/1994,0.375,0.149,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/22/1994,0.258,0.146,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/16/1994,0.512,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/15/1994,0.3,0.169,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",9/9/1994,0.206,0.133,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/31/1994,0.234,0.128,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/24/1994,0.236,0.144,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/18/1994,0.236,0.159,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/11/1994,0.354,0.191,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",8/4/1994,0.543,0.124,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/28/1994,0.2,0.137,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/20/1994,0.3,0.145,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/14/1994,0.9,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/7/1994,0.51,0.305,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",7/5/1994,0.5,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/30/1994,0.53,0.296,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/27/1994,0.41,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/26/1994,0.92,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/26/1994,0.81,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/25/1994,0.43,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/24/1994,0.54,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/23/1994,0.28,0.156,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/22/1994,0.4,0.194,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/20/1994,0.52,0.169,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/16/1994,0.26,0.161,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/13/1994,0.28,0.114,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/9/1994,0.75,NA,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",6/2/1994,0.22,0.129,,,,
"Six-mile Creek (WI DNR, WBIC 133397)",5/26/1994,0.25,,,,,
