"","sampledate","Project.x","Date_Time","TotP_mgL","sampletime.x","Site_ID.x","Project.y","Date.Time","SRP_mgL","Site_ID.y","sampletime.y"
"1",1994-05-26,"NPS EVAL MONITORING","5/26/1994 13:45",0.22,"1:45:00","WIDNR_133394",NA,NA,NA,NA,NA
"2",1994-06-02,"NPS EVAL MONITORING","6/2/1994 10:55",0.26,"10:55:00","WIDNR_133394",NA,NA,NA,NA,NA
"3",1994-06-09,"NPS EVAL MONITORING","6/9/1994 13:30",0.27,"1:30:00","WIDNR_133394","NPS EVAL MONITORING","6/9/1994 13:30",1e-05,"WIDNR_133394","1:30:00"
"4",1994-06-13,"NPS EVAL MONITORING","6/13/1994 12:55",0.38,"12:55:00","WIDNR_133394","NPS EVAL MONITORING","6/13/1994 12:55",1e-05,"WIDNR_133394","12:55:00"
"5",1994-06-16,"NPS EVAL MONITORING","6/16/1994 10:55",0.41,"10:55:00","WIDNR_133394","NPS EVAL MONITORING","6/16/1994 10:55",1e-05,"WIDNR_133394","10:55:00"
"6",1994-06-20,"NPS EVAL MONITORING","6/20/1994 12:35",0.4,"12:35:00","WIDNR_133394","NPS EVAL MONITORING","6/20/1994 12:35",0.01,"WIDNR_133394","12:35:00"
"7",1994-06-22,"NPS EVAL MONITORING","6/22/1994 12:55",0.37,"12:55:00","WIDNR_133394","NPS EVAL MONITORING","6/22/1994 12:55",0.003,"WIDNR_133394","12:55:00"
"8",1994-06-23,"NPS EVAL MONITORING","6/23/1994 16:35",0.63,"4:35:00","WIDNR_133394","NPS EVAL MONITORING","6/23/1994 22:45",0.005,"WIDNR_133394","10:45:00"
"9",1994-06-24,"NPS EVAL MONITORING","6/24/1994 13:30",0.27,"1:30:00","WIDNR_133394",NA,NA,NA,NA,NA
"10",1994-06-25,"NPS EVAL MONITORING","6/25/1994 8:30",0.2,"8:30:00","WIDNR_133394",NA,NA,NA,NA,NA
"11",1994-06-26,"NPS EVAL MONITORING","6/26/1994 11:30",0.31,"11:30:00","WIDNR_133394",NA,NA,NA,NA,NA
"12",1994-06-27,"NPS EVAL MONITORING","6/27/1994 13:25",0.17,"1:25:00","WIDNR_133394",NA,NA,NA,NA,NA
"13",1994-06-30,"NPS EVAL MONITORING","6/30/1994 10:08",0.26,"10:08:00","WIDNR_133394","NPS EVAL MONITORING","6/30/1994 10:08",0.007,"WIDNR_133394","10:08:00"
"14",1994-07-05,"NPS EVAL MONITORING","7/5/1994 14:45",0.27,"2:45:00","WIDNR_133394",NA,NA,NA,NA,NA
"15",1994-07-07,"NPS EVAL MONITORING","7/7/1994 9:20",0.25,"9:20:00","WIDNR_133394","NPS EVAL MONITORING","7/7/1994 9:20",0.003,"WIDNR_133394","9:20:00"
"16",1994-07-14,"NPS EVAL MONITORING","7/14/1994 16:00",0.26,"4:00:00","WIDNR_133394",NA,NA,NA,NA,NA
"17",1994-07-20,"NPS EVAL MONITORING","7/20/1994 15:10",0.17,"3:10:00","WIDNR_133394","NPS EVAL MONITORING","7/20/1994 15:10",0.006,"WIDNR_133394","3:10:00"
"18",1994-07-28,"NPS EVAL MONITORING","7/28/1994 9:55",0.17,"9:55:00","WIDNR_133394","NPS EVAL MONITORING","7/28/1994 9:55",0.006,"WIDNR_133394","9:55:00"
"19",1994-08-04,"NPS EVAL MONITORING","8/4/1994 13:10",0.255,"1:10:00","WIDNR_133394","NPS EVAL MONITORING","8/4/1994 13:10",0.008,"WIDNR_133394","1:10:00"
"20",1994-08-11,"NPS EVAL MONITORING","8/11/1994 13:15",0.239,"1:15:00","WIDNR_133394","NPS EVAL MONITORING","8/11/1994 13:15",0.005,"WIDNR_133394","1:15:00"
"21",1994-08-18,"NPS EVAL MONITORING","8/18/1994 16:05",0.18,"4:05:00","WIDNR_133394","NPS EVAL MONITORING","8/18/1994 16:05",0.007,"WIDNR_133394","4:05:00"
"22",1994-08-24,"NPS EVAL MONITORING","8/24/1994 10:25",0.196,"10:25:00","WIDNR_133394","NPS EVAL MONITORING","8/24/1994 10:25",0.003,"WIDNR_133394","10:25:00"
"23",1994-08-31,"NPS EVAL MONITORING","8/31/1994 12:45",0.223,"12:45:00","WIDNR_133394","NPS EVAL MONITORING","8/31/1994 12:45",0.004,"WIDNR_133394","12:45:00"
"24",1994-09-09,"NPS EVAL MONITORING","9/9/1994 9:45",0.127,"9:45:00","WIDNR_133394","NPS EVAL MONITORING","9/9/1994 9:45",0.002,"WIDNR_133394","9:45:00"
