"","Yr","daynum_bin","Chla_ugL","CD_cellsmL","ExtP_kgday","HE_ratio","Int_TotP_kgday","Chla_ugL_interp","CD_cellsmL_interp","ExtP_kgday_interp","HE_ratio_interp","IntP_kgday_interp"
"1",2012,196,1.6,521905.4471,NA,24.358024691358,33.552,1.6,521905.4471,NA,24.358024691358,33.552
"2",2012,203,NA,NA,NA,NA,NA,2.75,591521.96585,NA,25.5679012345679,435.941891901224
"3",2012,210,3.9,661138.4846,35.9352352589715,26.7777777777778,838.331783802448,3.9,661138.4846,35.9352352589715,26.7777777777778,838.331783802448
"4",2012,217,NA,NA,NA,NA,NA,3.35,680171.1652,31.6818921468964,28.3382816014395,91.3283026095564
"5",2012,224,2.8,699203.8458,27.4285490348212,29.8987854251012,-655.675178583335,2.8,699203.8458,27.4285490348212,29.8987854251012,-655.675178583335
"6",2012,231,NA,NA,NA,NA,NA,3.45,738610.20645,23.3232970009656,32.9650177125506,-235.292697301891
"7",2012,238,4.1,778016.5671,19.21804496711,36.03125,185.089783979553,4.1,778016.5671,19.21804496711,36.03125,185.089783979553
"8",2012,245,NA,NA,NA,NA,NA,4.05,629476.8637,24.5547995012416,36.5999010180996,-136.389641589946
"9",2012,252,4,480937.1603,29.8915540353731,37.1685520361991,-457.869067159446,4,480937.1603,29.8915540353731,37.1685520361991,-457.869067159446
"10",2013,196,11.2,244407.5851,55.8019482141998,9.46428571428571,33.552,11.2,244407.5851,55.8019482141998,9.46428571428571,33.552
"11",2013,203,NA,NA,NA,NA,NA,13,216540.13495,47.8985869510431,10.7946428571429,264.366405481775
"12",2013,210,14.8,188672.6848,39.9952256878864,12.125,495.180810963549,14.8,188672.6848,39.9952256878864,12.125,495.180810963549
"13",2013,217,NA,NA,NA,NA,NA,13.1,280710.5931,32.7500502590728,13.7503048780488,161.74163000167
"14",2013,224,11.4,372748.5014,25.5048748302591,15.3756097560976,-171.697550960209,11.4,372748.5014,25.5048748302591,15.3756097560976,-171.697550960209
"15",2013,231,NA,NA,NA,NA,NA,8,386432.68335,24.9066545060294,18.2378048780488,-65.3226790453661
"16",2013,238,4.6,400116.8653,24.3084341817996,21.1,41.0521928694769,4.6,400116.8653,24.3084341817996,21.1,41.0521928694769
"17",2013,245,NA,NA,NA,NA,NA,5.55,512796.59265,21.3387591173081,20.6728070175439,21.0997418068232
"18",2013,252,6.5,625476.32,18.3690840528165,20.2456140350877,1.1472907441695,6.5,625476.32,18.3690840528165,20.2456140350877,1.1472907441695
"19",2014,196,10.1,520921.7313,48.9125614510793,7.40322580645161,33.552,10.1,520921.7313,48.9125614510793,7.40322580645161,33.552
"20",2014,203,NA,NA,NA,NA,NA,8.75,408334.58735,40.2454573092286,9.06619623655915,503.602809576224
"21",2014,210,7.4,295747.4434,31.5783531673779,10.7291666666667,973.653619152447,7.4,295747.4434,31.5783531673779,10.7291666666667,973.653619152447
"22",2014,217,NA,NA,NA,NA,NA,6.7,386822.834925,34.0310795391155,11.8732040229885,578.778660128627
"23",2014,224,6,477898.22645,36.483805910853,13.0172413793103,183.903701104806,6,477898.22645,36.483805910853,13.0172413793103,183.903701104806
"24",2014,231,NA,NA,NA,NA,NA,5.3,568973.617975,61.1648491189292,14.3908045977012,-190.822711910439
"25",2014,238,4.6,660049.0095,85.8458923270053,15.764367816092,-565.549124925683,4.6,660049.0095,85.8458923270053,15.764367816092,-565.549124925683
"26",2014,245,NA,NA,NA,NA,NA,6,790107.23885,61.0109616584124,14.3533960292581,-124.031551783477
"27",2014,252,7.4,920165.4682,36.1760309898195,12.9424242424242,317.486021358729,7.4,920165.4682,36.1760309898195,12.9424242424242,317.486021358729
"28",2015,196,14.4,322463.0041,40.3234090223052,9.52044790652386,66.6776817957937,14.4,322463.0041,40.3234090223052,9.52044790652386,66.6776817957937
"29",2015,203,NA,NA,NA,NA,NA,11.2,559091.6687,58.6982525970715,10.7321174443862,434.027423006417
"30",2015,210,8,795720.3333,77.0730961718377,11.9437869822485,801.377164217041,8,795720.3333,77.0730961718377,11.9437869822485,801.377164217041
"31",2015,217,NA,NA,NA,NA,NA,8.35,691013.33325,58.9219060898096,13.952236791235,397.744798809092
"32",2015,224,8.7,586306.3332,40.7707160077815,15.9606866002215,-5.88756659885749,8.7,586306.3332,40.7707160077815,15.9606866002215,-5.88756659885749
"33",2015,231,NA,NA,NA,NA,NA,9.65,577936.9119,35.7231418247925,16.4631719154278,-89.1619221585557
"34",2015,238,10.6,569567.4906,30.6755676418036,16.9656572306342,-172.436277718254,10.6,569567.4906,30.6755676418036,16.9656572306342,-172.436277718254
"35",2015,245,NA,NA,NA,NA,NA,8.625,569439.520375,32.8366135518637,15.8234760229288,-111.519012661331
"36",2015,252,6.65,569311.55015,34.9976594619238,14.6812948152234,-50.6017476044081,6.65,569311.55015,34.9976594619238,14.6812948152234,-50.6017476044081
"37",2016,196,2.7,569055.6097,34.1287345099916,18.3664459161148,33.552,2.7,569055.6097,34.1287345099916,18.3664459161148,33.552
"38",2016,203,NA,NA,NA,NA,NA,3.75,493480.77925,49.9677273373411,17.7901253149597,47.1391765631439
"39",2016,210,4.8,417905.9488,65.8067201646906,17.2138047138047,60.7263531262878,4.8,417905.9488,65.8067201646906,17.2138047138047,60.7263531262878
"40",2016,217,NA,NA,NA,NA,NA,4.35,628858.44365,57.3165211317154,17.1424694790017,85.6962605323589
"41",2016,224,3.9,839810.9385,48.8263220987402,17.0711342441987,110.66616793843,3.9,839810.9385,48.8263220987402,17.0711342441987,110.66616793843
"42",2016,231,NA,NA,NA,NA,NA,3.7,674478.7209,48.7577962947495,19.2038897404512,-7.9963407665845
"43",2016,238,3.5,509146.5033,48.6892704907588,21.3366452367037,-126.658849471599,3.5,509146.5033,48.6892704907588,21.3366452367037,-126.658849471599
"44",2016,245,NA,NA,NA,NA,NA,2.625,469565.5621,195.556158702212,19.9856065689691,-98.1639011779471
"45",2016,252,1.75,429984.6209,342.423046913665,18.6345679012346,-69.6689528842953,1.75,429984.6209,342.423046913665,18.6345679012346,-69.6689528842953
"46",2017,196,0.01,350822.7385,69.0910334549879,7.00612557427259,33.552,0.01,350822.7385,69.0910334549879,7.00612557427259,33.552
"47",2017,203,NA,NA,NA,NA,NA,0.01,635122.0381,68.7797025566246,7.90794494201845,722.25790610127
"48",2017,210,0.01,919421.3377,68.4683716582613,8.80976430976431,1410.96381220254,0.01,919421.3377,68.4683716582613,8.80976430976431,1410.96381220254
"49",2017,217,NA,NA,NA,NA,NA,0.01,847146.17205,49.5357236674812,10.4312610517647,379.525746116743
"50",2017,224,0.01,774871.0064,30.6030756767012,12.052757793765,-651.912319969054,0.01,774871.0064,30.6030756767012,12.052757793765,-651.912319969054
"51",2017,231,NA,NA,NA,NA,NA,0.01,831108.73985,29.715085214203,13.3670774542097,-523.256564775314
"52",2017,238,0.01,887346.4733,28.8270947517047,14.6813971146545,-394.600809581573,0.01,887346.4733,28.8270947517047,14.6813971146545,-394.600809581573
"53",2017,245,NA,NA,NA,NA,NA,0.01,651835.05615,22.7160654972012,16.0295255560167,-10.8450908586735
"54",2017,252,0.01,416323.639,16.6050362426978,17.3776539973788,372.910627864226,0.01,416323.639,16.6050362426978,17.3776539973788,372.910627864226
"55",2018,196,9.8,245147.5721,27.3724833624525,7.07578397212544,33.552,9.8,245147.5721,27.3724833624525,7.07578397212544,33.552
"56",2018,203,NA,NA,NA,NA,NA,10.7,411589.1235,24.6295028812364,8.57974718968262,139.919242238655
"57",2018,210,11.6,578030.6749,21.8865224000204,10.0837104072398,246.28648447731,11.6,578030.6749,21.8865224000204,10.0837104072398,246.28648447731
"58",2018,217,NA,NA,NA,NA,NA,9.45,535860.19835,22.5922976154406,13.3883346585032,84.3983453015104
"59",2018,224,7.3,493689.7218,23.2980728308608,16.6929589097667,-77.4897938742892,7.3,493689.7218,23.2980728308608,16.6929589097667,-77.4897938742892
"60",2018,231,NA,NA,NA,NA,NA,8.15,483922.9759,105.439341219465,16.1845687172142,66.2234047526009
"61",2018,238,9,474156.23,187.580609608069,15.6761785246617,209.936603379491,9,474156.23,187.580609608069,15.6761785246617,209.936603379491
"62",2018,245,NA,NA,NA,NA,NA,7.45,373783.62505,141.692382134438,16.109807409049,299.641432947027
"63",2018,252,5.9,273411.0201,95.804154660807,16.5434362934363,389.346262514563,5.9,273411.0201,95.804154660807,16.5434362934363,389.346262514563
