"","sampledate","cyano_relbiovol","CD_cellsmL","SD_m","Yr","daynum"
"1",1995-01-24,3.221,1615.1007,NA,1995,24
"2",1995-03-28,0.194,35.072,NA,1995,87
"3",1995-04-11,0.071,35.072,NA,1995,101
"4",1995-04-24,0.096,101.86,NA,1995,114
"5",1995-05-09,NA,NA,2.2,1995,129
"6",1995-05-23,98.152,22636.8534,6,1995,143
"7",1995-06-06,34.571,1679.6974,9.5,1995,157
"8",1995-06-20,71.197,13735.6517,NA,1995,171
"9",1995-06-21,NA,NA,4.5,1995,172
"10",1995-07-06,99.763,104182.5091,2.2,1995,187
"11",1995-07-18,99.229,49437.962,2,1995,199
"12",1995-08-02,97.87,264472.3888,1.8,1995,214
"13",1995-08-14,99.575,1093399.6866,1.6,1995,226
"14",1995-08-30,95.731,471682.2763,1.9,1995,242
"15",1995-09-05,0.05,920.311,NA,1995,248
"16",1995-09-11,85.091,258765.652,3.1,1995,254
"17",1995-09-25,94.569,123190.9099,2.3,1995,268
"18",1995-10-11,89.825,170667.1722,3.3,1995,284
"19",1995-10-25,NA,NA,2.9,1995,298
"20",1995-11-07,22.183,31216.4968,NA,1995,311
"21",1995-11-10,NA,NA,2,1995,314
"22",1995-12-06,54.843,47453.9507,NA,1995,340
"23",1996-02-06,58.537,19209.7756,4.8,1996,37
"24",1996-04-09,3.98,20232.346,1.9,1996,100
"25",1996-04-16,2.362,26486.162,NA,1996,107
"26",1996-04-17,NA,NA,2.2,1996,108
"27",1996-05-01,23.226,16967.1523,5,1996,122
"28",1996-05-04,NA,NA,12,1996,125
"29",1996-05-14,41.837,2810.938,8.1,1996,135
"30",1996-05-28,52.269,7946.5958,5.3,1996,149
"31",1996-06-10,38.879,6013.9397,5.3,1996,162
"32",1996-06-26,22.553,5039.1138,7.8,1996,178
"33",1996-07-08,84.225,341070.5879,2.7,1996,190
"34",1996-07-22,99.508,216109.723,1.8,1996,204
"35",1996-08-05,96.622,97589.7806,1.5,1996,218
"36",1996-08-19,93.827,97987.6382,2.1,1996,232
