"","Yr","Source","TotP_kg"
"1",2013,"internal P load",10284.1232824733
"2",2014,"internal P load",16785.2324432018
"3",2015,"internal P load",12302.2695110614
"4",2016,"internal P load",4904.77819926646
"5",2017,"internal P load",23904.583060789
"6",2018,"internal P load",9341.17632004898
"7",2013,"external P load",3122.9985155305
"8",2014,"external P load",3816.60612284377
"9",2015,"external P load",3082.96550581271
"10",2016,"external P load",6827.12112600258
"11",2017,"external P load",10181.3969421702
"12",2018,"external P load",23454.8473455616
