"","Yr","Source","TotP_kgday"
"1","2012","external load",1843.15644370313
"2","2012","internal load",-6481.9395525871
"3","2013","external load",3214.92265937722
"4","2013","internal load",5370.62476526573
"5","2014","external load",4524.99841868708
"6","2014","internal load",12825.8160229848
"7","2015","external load",4692.48615023641
"8","2015","internal load",8539.70549940797
"9","2016","external load",7685.56716982898
"10","2016","internal load",-62.6194616343206
"11","2017","external load",6466.02305451543
"12","2017","internal load",10388.2430332938
"13","2018","external load",16462.1703332911
"14","2018","internal load",9277.81705936623
