"","Yr","daynum","Scenario","CD_cellsmL"
"1",2013,196,"Baseline",216540.13495
"2",2013,203,"Baseline",188672.6848
"3",2013,210,"Baseline",280710.5931
"4",2013,217,"Baseline",372748.5014
"5",2013,224,"Baseline",386432.68335
"6",2013,231,"Baseline",400116.8653
"7",2013,238,"Baseline",512796.59265
"8",2013,245,"Baseline",625476.32
"9",2013,252,"Baseline",639436.6526
"10",2014,196,"Baseline",333061.59835
"11",2014,203,"Baseline",520921.7313
"12",2014,210,"Baseline",408334.58735
"13",2014,217,"Baseline",295747.4434
"14",2014,224,"Baseline",477898.22645
"15",2014,231,"Baseline",660049.0095
"16",2014,238,"Baseline",790107.23885
"17",2014,245,"Baseline",920165.4682
"18",2014,252,"Baseline",593348.61915
"19",2015,196,"Baseline",286672.98605
"20",2015,203,"Baseline",322463.0041
"21",2015,210,"Baseline",559091.6687
"22",2015,224,"Baseline",691013.33325
"23",2015,231,"Baseline",586306.3332
"24",2015,238,"Baseline",577936.9119
"25",2015,245,"Baseline",569567.4906
"26",2015,252,"Baseline",391253.6388
"27",2016,196,"Baseline",528831.668
"28",2016,203,"Baseline",569055.6097
"29",2016,210,"Baseline",493480.77925
"30",2016,217,"Baseline",417905.9488
"31",2016,224,"Baseline",628858.44365
"32",2016,231,"Baseline",839810.9385
"33",2016,238,"Baseline",674478.7209
"34",2016,245,"Baseline",509146.5033
"35",2016,252,"Baseline",373100.3884
"36",2017,196,"Baseline",635122.0381
"37",2017,210,"Baseline",847146.17205
"38",2017,217,"Baseline",774871.0064
"39",2017,224,"Baseline",831108.73985
"40",2017,231,"Baseline",887346.4733
"41",2017,238,"Baseline",651835.05615
"42",2017,245,"Baseline",416323.639
"43",2017,252,"Baseline",421269.90675
"44",2018,196,"Baseline",411589.1235
"45",2018,203,"Baseline",578030.6749
"46",2018,210,"Baseline",535860.19835
"47",2018,217,"Baseline",493689.7218
"48",2018,224,"Baseline",483922.9759
"49",2018,231,"Baseline",474156.23
"50",2018,238,"Baseline",373783.62505
"51",2018,245,"Baseline",273411.0201
"52",2018,252,"Baseline",211248.2342
"53",2013,196,"CF1",310895.692014735
"54",2013,203,"CF1",293552.213217221
"55",2013,210,"CF1",293350.536385923
"56",2013,217,"CF1",403525.350942341
"57",2013,224,"CF1",491966.345570364
"58",2013,231,"CF1",492175.022450887
"59",2013,238,"CF1",451890.077074145
"60",2013,245,"CF1",461652.897136231
"61",2013,252,"CF1",535193.46235652
"62",2014,196,"CF1",345459.787342842
"63",2014,203,"CF1",452258.378434735
"64",2014,210,"CF1",513168.09690848
"65",2014,217,"CF1",418632.078929432
"66",2014,224,"CF1",369253.823996001
"67",2014,231,"CF1",531914.030739954
"68",2014,238,"CF1",669593.615670811
"69",2014,245,"CF1",741407.69272151
"70",2014,252,"CF1",779647.649617319
"71",2015,196,"CF1",299751.768592159
"72",2015,203,"CF1",318625.857650353
"73",2015,210,"CF1",340186.105440711
"74",2015,224,"CF1",671827.998090798
"75",2015,231,"CF1",667128.467364927
"76",2015,238,"CF1",623049.701786567
"77",2015,245,"CF1",598616.532835112
"78",2015,252,"CF1",538925.37490449
"79",2016,196,"CF1",524465.276983466
"80",2016,203,"CF1",523279.598986842
"81",2016,210,"CF1",512503.026303138
"82",2016,217,"CF1",487860.454670095
"83",2016,224,"CF1",457604.67643406
"84",2016,231,"CF1",576124.220478632
"85",2016,238,"CF1",688335.108086074
"86",2016,245,"CF1",591238.0164168
"87",2016,252,"CF1",496028.950654841
"88",2017,196,"CF1",362968.07613722
"89",2017,210,"CF1",773242.83135899
"90",2017,217,"CF1",769578.595687154
"91",2017,224,"CF1",765322.515136508
"92",2017,231,"CF1",808881.582568556
"93",2017,238,"CF1",803791.925625261
"94",2017,245,"CF1",547370.961573142
"95",2017,252,"CF1",401511.358039906
"96",2018,196,"CF1",405709.60791769
"97",2018,203,"CF1",490717.03235722
"98",2018,210,"CF1",555905.211063975
"99",2018,217,"CF1",516526.042910159
"100",2018,224,"CF1",525698.330587935
"101",2018,231,"CF1",521219.358452749
"102",2018,238,"CF1",477907.808296063
"103",2018,245,"CF1",391608.137917512
"104",2018,252,"CF1",353206.890381446
"105",2013,196,"CF2",302053.144938716
"106",2013,203,"CF2",284709.666141203
"107",2013,210,"CF2",284507.989309904
"108",2013,217,"CF2",394682.803866322
"109",2013,224,"CF2",483123.798494345
"110",2013,231,"CF2",483332.475374868
"111",2013,238,"CF2",443047.529998126
"112",2013,245,"CF2",452810.350060213
"113",2013,252,"CF2",526350.915280501
"114",2014,196,"CF2",336617.240266824
"115",2014,203,"CF2",443415.831358716
"116",2014,210,"CF2",504325.549832461
"117",2014,217,"CF2",409789.531853413
"118",2014,224,"CF2",360411.276919983
"119",2014,231,"CF2",523071.483663935
"120",2014,238,"CF2",660751.068594792
"121",2014,245,"CF2",732565.145645491
"122",2014,252,"CF2",770805.102541301
"123",2015,196,"CF2",290909.22151614
"124",2015,203,"CF2",309783.310574334
"125",2015,210,"CF2",331343.558364693
"126",2015,224,"CF2",662985.45101478
"127",2015,231,"CF2",658285.920288909
"128",2015,238,"CF2",614207.154710549
"129",2015,245,"CF2",589773.985759094
"130",2015,252,"CF2",530082.827828472
"131",2016,196,"CF2",515622.729907447
"132",2016,203,"CF2",514437.051910823
"133",2016,210,"CF2",503660.47922712
"134",2016,217,"CF2",479017.907594076
"135",2016,224,"CF2",448762.129358041
"136",2016,231,"CF2",567281.673402614
"137",2016,238,"CF2",679492.561010056
"138",2016,245,"CF2",582395.469340781
"139",2016,252,"CF2",487186.403578822
"140",2017,196,"CF2",354125.529061201
"141",2017,210,"CF2",764400.284282972
"142",2017,217,"CF2",760736.048611136
"143",2017,224,"CF2",756479.968060489
"144",2017,231,"CF2",800039.035492538
"145",2017,238,"CF2",794949.378549242
"146",2017,245,"CF2",538528.414497123
"147",2017,252,"CF2",392668.810963888
"148",2018,196,"CF2",396867.060841671
"149",2018,203,"CF2",481874.485281202
"150",2018,210,"CF2",547062.663987956
"151",2018,217,"CF2",507683.495834141
"152",2018,224,"CF2",516855.783511916
"153",2018,231,"CF2",512376.811376731
"154",2018,238,"CF2",469065.261220045
"155",2018,245,"CF2",382765.590841494
"156",2018,252,"CF2",344364.343305427
"157",2013,196,"CF3",215314.461289451
"158",2013,203,"CF3",197970.982491937
"159",2013,210,"CF3",197769.305660639
"160",2013,217,"CF3",307944.120217056
"161",2013,224,"CF3",396385.11484508
"162",2013,231,"CF3",396593.791725602
"163",2013,238,"CF3",356308.846348861
"164",2013,245,"CF3",366071.666410947
"165",2013,252,"CF3",439612.231631236
"166",2014,196,"CF3",249878.556617558
"167",2014,203,"CF3",356677.147709451
"168",2014,210,"CF3",417586.866183196
"169",2014,217,"CF3",323050.848204148
"170",2014,224,"CF3",273672.593270717
"171",2014,231,"CF3",436332.80001467
"172",2014,238,"CF3",574012.384945527
"173",2014,245,"CF3",645826.461996225
"174",2014,252,"CF3",684066.418892035
"175",2015,196,"CF3",204170.537866875
"176",2015,203,"CF3",223044.626925069
"177",2015,210,"CF3",244604.874715427
"178",2015,224,"CF3",576246.767365514
"179",2015,231,"CF3",571547.236639643
"180",2015,238,"CF3",527468.471061283
"181",2015,245,"CF3",503035.302109828
"182",2015,252,"CF3",443344.144179206
"183",2016,196,"CF3",428884.046258182
"184",2016,203,"CF3",427698.368261557
"185",2016,210,"CF3",416921.795577854
"186",2016,217,"CF3",392279.223944811
"187",2016,224,"CF3",362023.445708776
"188",2016,231,"CF3",480542.989753348
"189",2016,238,"CF3",592753.87736079
"190",2016,245,"CF3",495656.785691515
"191",2016,252,"CF3",400447.719929557
"192",2017,196,"CF3",267386.845411936
"193",2017,210,"CF3",677661.600633706
"194",2017,217,"CF3",673997.36496187
"195",2017,224,"CF3",669741.284411223
"196",2017,231,"CF3",713300.351843272
"197",2017,238,"CF3",708210.694899976
"198",2017,245,"CF3",451789.730847857
"199",2017,252,"CF3",305930.127314622
"200",2018,196,"CF3",310128.377192406
"201",2018,203,"CF3",395135.801631936
"202",2018,210,"CF3",460323.98033869
"203",2018,217,"CF3",420944.812184875
"204",2018,224,"CF3",430117.099862651
"205",2018,231,"CF3",425638.127727465
"206",2018,238,"CF3",382326.577570779
"207",2018,245,"CF3",296026.907192228
"208",2018,252,"CF3",257625.659656162
