"","Yr","Source","TotP_kgday"
"1","2012","atmosphere",456.725368231221
"2","2012","streams",951.05690491495
"3","2013","atmosphere",602.430945753249
"4","2013","streams",1584.59127151016
"5","2014","atmosphere",732.929979283771
"6","2014","streams",2345.30023751016
"7","2015","atmosphere",714.035640686714
"8","2015","streams",2478.1318084537
"9","2016","atmosphere",996.970355101968
"10","2016","streams",4231.30663117625
"11","2017","atmosphere",749.902859718416
"12","2017","streams",3648.75227940773
"13","2018","atmosphere",978.39625953198
"14","2018","streams",10220.3590692375
