"","date","Depth_m","TotP_mgL","daynum"
"1",2013-04-29,0,0.07,119
"2",2013-04-29,1,0.07,119
"3",2013-04-29,2,0.07,119
"4",2013-04-29,3,0.07,119
"5",2013-04-29,4,0.07,119
"6",2013-04-29,5,0.07,119
"7",2013-04-29,6,0.07,119
"8",2013-04-29,7,0.07,119
"9",2013-04-29,8,0.07,119
"10",2013-04-29,9,0.07,119
"11",2013-04-29,10,0.07,119
"12",2013-04-29,11,0.07,119
"13",2013-04-29,12,0.07,119
"14",2013-04-29,13,0.0675,119
"15",2013-04-29,14,0.065,119
"16",2013-04-29,15,0.0625,119
"17",2013-04-29,16,0.06,119
"18",2013-04-29,17,0.065,119
"19",2013-04-29,18,0.07,119
"20",2013-04-29,19,0.075,119
"21",2013-04-29,20,0.08,119
"22",2013-04-29,21,NA,119
"23",2013-04-29,22,NA,119
"24",2013-04-29,23,NA,119
"25",2013-04-29,24,NA,119
"26",2013-04-29,25,NA,119
"27",2013-05-14,0,0.06,134
"28",2013-05-14,1,0.0625,134
"29",2013-05-14,2,0.065,134
"30",2013-05-14,3,0.0675,134
"31",2013-05-14,4,0.07,134
"32",2013-05-14,5,0.07,134
"33",2013-05-14,6,0.07,134
"34",2013-05-14,7,0.07,134
"35",2013-05-14,8,0.07,134
"36",2013-05-14,9,0.07,134
"37",2013-05-14,10,0.07,134
"38",2013-05-14,11,0.07,134
"39",2013-05-14,12,0.07,134
"40",2013-05-14,13,0.07,134
"41",2013-05-14,14,0.07,134
"42",2013-05-14,15,0.07,134
"43",2013-05-14,16,0.07,134
"44",2013-05-14,17,0.07,134
"45",2013-05-14,18,0.07,134
"46",2013-05-14,19,0.07,134
"47",2013-05-14,20,0.07,134
"48",2013-05-14,21,NA,134
"49",2013-05-14,22,NA,134
"50",2013-05-14,23,NA,134
"51",2013-05-14,24,NA,134
"52",2013-05-14,25,NA,134
"53",2013-05-28,0,0.05,148
"54",2013-05-28,1,0.0525,148
"55",2013-05-28,2,0.055,148
"56",2013-05-28,3,0.0575,148
"57",2013-05-28,4,0.06,148
"58",2013-05-28,5,NA,148
"59",2013-05-28,6,NA,148
"60",2013-05-28,7,NA,148
"61",2013-05-28,8,NA,148
"62",2013-05-28,9,NA,148
"63",2013-05-28,10,NA,148
"64",2013-05-28,11,NA,148
"65",2013-05-28,12,NA,148
"66",2013-05-28,13,NA,148
"67",2013-05-28,14,NA,148
"68",2013-05-28,15,NA,148
"69",2013-05-28,16,NA,148
"70",2013-05-28,17,NA,148
"71",2013-05-28,18,NA,148
"72",2013-05-28,19,NA,148
"73",2013-05-28,20,NA,148
"74",2013-05-28,21,NA,148
"75",2013-05-28,22,NA,148
"76",2013-05-28,23,NA,148
"77",2013-05-28,24,NA,148
"78",2013-05-28,25,NA,148
"79",2013-06-10,0,0.04,161
"80",2013-06-10,1,0.04,161
"81",2013-06-10,2,0.04,161
"82",2013-06-10,3,0.04,161
"83",2013-06-10,4,0.04,161
"84",2013-06-10,5,0.0425,161
"85",2013-06-10,6,0.045,161
"86",2013-06-10,7,0.0475,161
"87",2013-06-10,8,0.05,161
"88",2013-06-10,9,0.06,161
"89",2013-06-10,10,0.07,161
"90",2013-06-10,11,0.08,161
"91",2013-06-10,12,0.09,161
"92",2013-06-10,13,0.105,161
"93",2013-06-10,14,0.12,161
"94",2013-06-10,15,0.12,161
"95",2013-06-10,16,0.12,161
"96",2013-06-10,17,0.13,161
"97",2013-06-10,18,0.14,161
"98",2013-06-10,19,0.2,161
"99",2013-06-10,20,0.26,161
"100",2013-06-10,21,0.28,161
"101",2013-06-10,22,0.3,161
"102",2013-06-10,23,NA,161
"103",2013-06-10,24,NA,161
"104",2013-06-10,25,NA,161
"105",2013-06-24,0,0.03,175
"106",2013-06-24,1,0.0325,175
"107",2013-06-24,2,0.035,175
"108",2013-06-24,3,0.0375,175
"109",2013-06-24,4,0.04,175
"110",2013-06-24,5,NA,175
"111",2013-06-24,6,NA,175
"112",2013-06-24,7,NA,175
"113",2013-06-24,8,NA,175
"114",2013-06-24,9,NA,175
"115",2013-06-24,10,NA,175
"116",2013-06-24,11,NA,175
"117",2013-06-24,12,NA,175
"118",2013-06-24,13,NA,175
"119",2013-06-24,14,NA,175
"120",2013-06-24,15,NA,175
"121",2013-06-24,16,NA,175
"122",2013-06-24,17,NA,175
"123",2013-06-24,18,NA,175
"124",2013-06-24,19,NA,175
"125",2013-06-24,20,NA,175
"126",2013-06-24,21,NA,175
"127",2013-06-24,22,NA,175
"128",2013-06-24,23,NA,175
"129",2013-06-24,24,NA,175
"130",2013-06-24,25,NA,175
"131",2013-07-08,0,0.04,189
"132",2013-07-08,1,0.0375,189
"133",2013-07-08,2,0.035,189
"134",2013-07-08,3,0.0325,189
"135",2013-07-08,4,0.03,189
