"","Yr","Source","TotP_kgyr"
"1",2013,"atmosphere",527.336455802754
"2",2013,"other",998.509729455331
"3",2013,"streams",1597.15233027242
"4",2014,"atmosphere",669.043995280683
"5",2014,"other",1220.27542703168
"6",2014,"streams",1927.28670053141
"7",2015,"atmosphere",663.920106847582
"8",2015,"other",985.710059681616
"9",2015,"streams",1433.33533928352
"10",2016,"atmosphere",918.032948826647
"11",2016,"other",2182.82104028654
"12",2016,"streams",3726.26713688939
"13",2017,"atmosphere",709.714859718416
"14",2017,"other",3255.27657334693
"15",2017,"streams",6216.40550910485
"16",2018,"atmosphere",938.20825953198
"17",2018,"other",7499.16887919318
"18",2018,"streams",15017.4702068365
