"","Yr","Source","TotP_kgyr"
"1",2013,"stratified region",8371.65928247332
"2",2013,"unstratified region",1912.464
"3",2014,"stratified region",14872.7684432018
"4",2014,"unstratified region",1912.464
"5",2015,"stratified region",10389.8055110614
"6",2015,"unstratified region",1912.464
"7",2016,"stratified region",2992.31419926646
"8",2016,"unstratified region",1912.464
"9",2017,"stratified region",21992.119060789
"10",2017,"unstratified region",1912.464
"11",2018,"stratified region",7428.71232004899
"12",2018,"unstratified region",1912.464
