"","Yr","Source","TotP_kgyr"
"1",2013,"stratified region",3451.27702080071
"2",2013,"unstratified region",1912.464
"3",2014,"stratified region",9120.50035485197
"4",2014,"unstratified region",1912.464
"5",2015,"stratified region",7459.01095320835
"6",2015,"unstratified region",1912.464
"7",2016,"stratified region",-863.018022432134
"8",2016,"unstratified region",1912.464
"9",2017,"stratified region",6238.3152661085
"10",2017,"unstratified region",1912.464
"11",2018,"stratified region",6561.53908461439
"12",2018,"unstratified region",1912.464
