"","sampledate","daynum","year4","TotPload_gday","TotPexp_gday","P_stored_gday","P_netintload_gday"
"1",2012-08-06,"219",2012,16025.450186353,16711.0126944304,-685.562508077373,685.562508077373
"2",2012-08-20,"233",2012,12574.9004530351,1172.88721127463,11402.0132417605,-11402.0132417605
"3",2012-09-04,"248",2012,7441.91603271839,19298.5697174265,-11856.6536847081,11856.6536847081
"4",2012-10-01,"275",2012,5561.16094403747,23321.5924246843,-17760.4314806469,17760.4314806469
"5",2012-10-29,"303",2012,5506.39928395144,14562.0039247112,-9055.6046407598,9055.6046407598
"6",2012-11-29,"334",2012,6227.50961143682,40867.559401609,-34640.0497901721,34640.0497901721
"7",2013-04-29,"119",2013,29500.3011407261,54631.9804500675,-25131.6793093414,25131.6793093414
"8",2013-05-14,"134",2013,20329.5679381108,45004.7147505147,-24675.1468124039,24675.1468124039
"9",2013-05-28,"148",2013,45805.4914930813,28624.9069084546,17180.5845846268,-17180.5845846268
"10",2013-06-10,"161",2013,26944.6108738809,72516.4308347515,-45571.8199608707,45571.8199608707
"11",2013-06-24,"175",2013,290697.03158329,15193.2198206413,275503.811762648,-275503.811762648
"12",2013-07-08,"189",2013,49377.3130903561,165492.330389328,-116115.017298972,116115.017298972
"13",2013-07-22,"203",2013,46216.7591120525,25689.0190204079,20527.7400916446,-20527.7400916446
"14",2013-08-05,"217",2013,18224.8953183485,115071.514128677,-96846.6188103288,96846.6188103288
"15",2013-08-21,"233",2013,12607.4394037157,1839.82307650922,10767.6163272065,-10767.6163272065
"16",2013-09-04,"247",2013,10825.307352127,18971.0784137241,-8145.7710615971,8145.7710615971
"17",2013-09-30,"273",2013,6618.44949468408,38422.2094481901,-31803.759953506,31803.759953506
"18",2013-10-29,"302",2013,2832.22305875797,35817.8322341688,-32985.6091754108,32985.6091754108
"19",2013-12-02,"336",2013,5546.89422887851,55194.6922952765,-49647.798066398,49647.798066398
"20",2014-02-03,"034",2014,6581.40730026737,24609.2646971375,-18027.8573968701,18027.8573968701
"21",2014-04-29,"119",2014,46867.5753563927,53084.522875743,-6216.94751935029,6216.94751935029
"22",2014-05-14,"134",2014,36265.1185461012,48735.7389415739,-12470.6203954727,12470.6203954727
"23",2014-05-28,"148",2014,46214.577398715,28184.5237252476,18030.0536734674,-18030.0536734674
"24",2014-06-09,"160",2014,21520.2688089073,44909.9100374631,-23389.6412285558,23389.6412285558
"25",2014-06-23,"174",2014,74592.6532625383,10349.0048053643,64243.6484571739,-64243.6484571739
"26",2014-07-07,"188",2014,27684.8539070699,86461.898302973,-58777.0443959031,58777.0443959031
"27",2014-08-04,"216",2014,32061.1783544688,51524.8324352182,-19463.6540807494,19463.6540807494
"28",2014-08-20,"232",2014,25135.1183558122,2612.94022036149,22522.1781354507,-22522.1781354507
"29",2014-09-02,"245",2014,26364.9851861504,22618.5696041592,3746.41558199118,-3746.41558199118
"30",2014-10-30,"303",2014,10151.5562149056,52760.3519214378,-42608.7957065322,42608.7957065322
"31",2015-02-11,"042",2015,4511.87391998006,40006.3656211153,-35494.4917011352,35494.4917011352
"32",2015-04-10,"100",2015,201338.73992009,9732.46834887455,191606.271571215,-191606.271571215
"33",2015-04-24,"114",2015,15904.4452613965,5262.33438199956,10642.110879397,-10642.110879397
"34",2015-05-01,"121",2015,14199.1560511538,21652.1731743438,-7453.01712319006,7453.01712319006
"35",2015-05-13,"133",2015,15855.5650733457,19198.2602145849,-3342.6951412392,3342.6951412392
"36",2015-05-27,"147",2015,146036.96603489,10365.1521887486,135671.813846141,-135671.813846141
"37",2015-06-08,"159",2015,20055.7902369721,39740.7376693396,-19684.9474323675,19684.9474323675
"38",2015-06-23,"174",2015,27375.1092374428,13226.17493565,14148.9343017927,-14148.9343017927
"39",2015-07-08,"189",2015,22752.1605094762,37763.1637816547,-15011.0032721784,15011.0032721784
"40",2015-08-03,"215",2015,34410.3238324845,26869.6863345859,7540.63749789861,-7540.63749789861
"41",2015-08-18,"230",2015,53893.8562175638,3432.54225577451,50461.3139617893,-50461.3139617893
"42",2015-08-31,"243",2015,30638.4536688733,27833.685122626,2804.76854624732,-2804.76854624732
"43",2015-10-07,"280",2015,17280.1364835561,136025.8022863,-118745.665802744,118745.665802744
"44",2015-11-02,"306",2015,13400.7563795745,25987.5009556927,-12586.7445761182,12586.7445761182
"45",2016-01-27,"027",2016,6003.209087664,45043.8599223553,-39040.6508346913,39040.6508346913
"46",2016-03-28,"088",2016,14290.1579494817,18826.381082099,-4536.2231326173,4536.2231326173
"47",2016-04-12,"103",2016,10423.2909842802,13184.0938759214,-2760.80289164116,2760.80289164116
"48",2016-04-25,"116",2016,16280.6536918394,16507.0296505421,-226.375958702747,226.375958702747
"49",2016-05-11,"132",2016,17917.89266721,25221.7235315605,-7303.83086435054,7303.83086435054
"50",2016-05-23,"144",2016,11284.0218655325,15303.315616443,-4019.29375091053,4019.29375091053
"51",2016-06-07,"159",2016,13881.8686992284,31332.3460202125,-17450.4773209842,17450.4773209842
"52",2016-06-20,"172",2016,20446.2476017115,3466.79428113505,16979.4533205764,-16979.4533205764
"53",2016-07-05,"187",2016,15222.6869603876,75977.9824589436,-60755.295498556,60755.295498556
"54",2016-07-18,"200",2016,21492.1774988886,3697.75079499472,17794.4267038938,-17794.4267038938
"55",2016-08-01,"214",2016,19298.1919371593,55372.0688551793,-36073.87691802,36073.87691802
"56",2016-08-15,"228",2016,19797.1939617032,7146.44043415348,12650.7535275497,-12650.7535275497
"57",2016-08-30,"243",2016,25687.8120235619,68034.3086590004,-42346.4966354385,42346.4966354385
"58",2016-10-04,"278",2016,24330.2536900452,159259.685060329,-134929.431370284,134929.431370284
"59",2016-11-09,"314",2016,10955.2272007204,196565.033824441,-185609.806623721,185609.806623721
"60",2017-02-06,"037",2017,12754.8986181868,78669.5625334493,-65914.6639152625,65914.6639152625
"61",2017-04-17,"107",2017,44775.9877460027,68344.2079360719,-23568.2201900693,23568.2201900693
"62",2017-05-03,"123",2017,65966.9790070016,51011.05205481,14955.9269521916,-14955.9269521916
"63",2017-05-15,"135",2017,19759.9281363511,53308.3843272065,-33548.4561908554,33548.4561908554
"64",2017-05-30,"150",2017,23925.6541983661,53863.7564526953,-29938.1022543292,29938.1022543292
"65",2017-06-12,"163",2017,22271.0780996695,68347.4700337253,-46076.3919340558,46076.3919340558
"66",2017-06-26,"177",2017,24288.8880924941,18134.000855168,6154.88723732609,-6154.88723732609
"67",2017-07-10,"191",2017,164541.380893871,128021.837931513,36519.5429623584,-36519.5429623584
"68",2017-07-24,"205",2017,73994.7533039329,30836.6091174497,43158.1441864833,-43158.1441864833
"69",2017-08-07,"219",2017,10988.7269172871,150006.745066502,-139018.018149215,139018.018149215
"70",2017-08-23,"235",2017,10539.5616327025,19494.2955766296,-8954.73394392703,8954.73394392703
"71",2017-09-06,"249",2017,7164.75230284046,90586.8207856785,-83422.068482838,83422.068482838
"72",2017-09-25,"268",2017,5098.93378414315,8587.47207253637,-3488.53828839322,3488.53828839322
"73",2017-10-04,"277",2017,13644.3230329715,70622.7831469615,-56978.4601139899,56978.4601139899
"74",2017-11-02,"306",2017,6536.12905574166,52864.3312841395,-46328.2022283978,46328.2022283978
"75",2017-12-19,"353",2017,5091.31098807012,47847.6328554398,-42756.3218673697,42756.3218673697
"76",2018-01-23,"023",2018,851359.410412095,44560.6617074476,806798.748704647,-806798.748704647
"77",2018-04-05,"095",2018,9444.00330958292,66174.9129965708,-56730.9096869879,56730.9096869879
"78",2018-04-20,"110",2018,31493.5367892011,48809.1361387751,-17315.599349574,17315.599349574
"79",2018-05-07,"127",2018,61759.0068164294,60931.9065431676,827.100273261829,-827.100273261829
"80",2018-05-14,"134",2018,182861.933076028,136704.726360411,46157.206715617,-46157.206715617
"81",2018-05-29,"149",2018,31810.6396709721,65506.9985020402,-33696.3588310681,33696.3588310681
"82",2018-06-11,"162",2018,35346.2214246373,56374.5522402852,-21028.3308156479,21028.3308156479
"83",2018-06-25,"176",2018,15131.6114148227,28991.8928944604,-13860.2814796377,13860.2814796377
"84",2018-07-09,"190",2018,12274.9398908443,65763.8886922443,-53488.9488014,53488.9488014
"85",2018-07-23,"204",2018,11233.4506452033,16250.139460338,-5016.68881513478,5016.68881513478
"86",2018-08-06,"218",2018,16252.8931286745,77686.6517342636,-61433.7586055892,61433.7586055892
"87",2018-08-22,"234",2018,306773.548515491,28478.1125140522,278295.436001439,-278295.436001439
"88",2018-09-04,"247",2018,110124.47167567,224799.1006578,-114674.628982129,114674.628982129
"89",2018-09-19,"262",2018,32918.5307228548,21255.8283094575,11662.7024133972,-11662.7024133972
"90",2018-10-02,"275",2018,409116.287669441,213287.361920107,195828.925749334,-195828.925749334
"91",2018-10-18,"291",2018,38466.2730087856,87394.0427074278,-48927.7696986422,48927.7696986422
"92",2018-10-29,"302",2018,17284.9595317984,135912.036630638,-118627.07709884,118627.07709884
"93",2018-11-14,"318",2018,12690.7278499118,135329.752199509,-122639.024349597,122639.024349597
"94",2018-11-30,"334",2018,13027.569994075,112385.788354425,-99358.2183603497,99358.2183603497
